玻姆帕因斯理论,bo'mu'pa'yin'si'li'lun
伯努利定律,bo'nu'li'ding'lv
波谱,bo'pu
波前,bo'qian
波前分割,bo'qian'fen'ge
波前再现,bo'qian'zai'xian
波群,bo'qun
玻色爱因斯坦凝聚,bo'se'ai'yin'si'tan'ning'ju
玻色爱因斯坦气体,bo'se'ai'yin'si'tan'qi'ti
玻色爱因斯坦统计,bo'se'ai'yin'si'tan'tong'ji
玻色铃,bo'se'ling
玻色凝聚物,bo'se'ning'ju'wu
玻色气体,bo'se'qi'ti
玻色子,bo'shai'zi
波矢,bo'shi
波数,bo'shu
波数空间,bo'shu'kong'jian
波数矢量,bo'shu'shi'liang
波束引导,bo'shu'yin'dao
泊松比,bo'song'bi
泊松方程,bo'song'fang'cheng
泊松分布,bo'song'fen'bu
泊松过程,bo'song'guo'cheng
泊松括号,bo'song'kuo'hao
波速,bo'su
波速度,bo'su'du
波速率,bo'su'lv
泊肃叶公式,bo'su'ye'gong'shi
波特模型,bo'te'mo'xing
波尾,bo'wei
波纹,bo'wen
波纹电流弱脉动电流,bo'wen'dian'liu'ruo'mai'dong'dian'liu
波纹管,bo'wen'guan
波象差,bo'xiang'cha
泊萧叶定律,bo'xiao'ye'ding'lv
泊萧叶怜,bo'xiao'ye'lian
波形,bo'xing
波形记录仪,bo'xing'ji'lu'yi
波形图,bo'xing'tu
箔验电器,bo'yan'dian'qi
博伊尔定律,bo'yi'er'ding'lv
玻意耳定律,bo'yi'er'ding'lv
玻意耳温度,bo'yi'er'wen'du
波源,bo'yuan
波阵面,bo'zhen'mian
波阵面分割,bo'zhen'mian'fen'ge
波阻,bo'zu
波阻抗,bo'zu'kang
铂阻温度计,bo'zu'wen'du'ji
铂族元素,bo'zu'yuan'su
不摆的,bu'bai'de
不摆电疗,bu'bai'dian'liao
不饱和色,bu'bao'he'se
不变平面,bu'bian'ping'mian
不变式,bu'bian'shi
不变性,bu'bian'xing
不变子群,bu'bian'zi'qun
补偿,bu'chang
补偿摆,bu'chang'bai
补偿定理,bu'chang'ding'li
补偿法,bu'chang'fa
补偿滤光镜,bu'chang'lv'guang'jing
补偿摩擦作用,bu'chang'mo'ca'zuo'yong
补偿目镜,bu'chang'mu'jing
补偿片,bu'chang'pian
不成对电子,bu'cheng'dui'dian'zi
补充单位,bu'chong'dan'wei
不定度量,bu'ding'du'liang
不定积分,bu'ding'ji'fen
不定向的,bu'ding'xiang'de
钚堆,bu'dui
布尔代数,bu'er'dai'shu
布尔登气压计,bu'er'deng'qi'ya'ji
布尔顿管,bu'er'dun'guan
部分偏振,bu'fen'pian'zhen
部分偏振波,bu'fen'pian'zhen'bo
部分偏振光,bu'fen'pian'zhen'guang
部分平衡,bu'fen'ping'heng
部分子模型,bu'fen'zi'mo'xing
不符合,bu'fu'he
不腐蚀的,bu'fu'shi'de
布格定律,bu'ge'ding'lv
不规则变星,bu'gui'ze'bian'xing
不规则反射,bu'gui'ze'fan'she
不规则星系,bu'gui'ze'xing'xi
不规则星云,bu'gui'ze'xing'yun
捕获粒子,bu'huo'li'zi
不交轴光线,bu'jiao'zhou'guang'xian
不均匀的,bu'jun'yun'de
不可见的辐射,bu'ke'jian'de'fu'she
不可见的射线,bu'ke'jian'de'she'xian
不可逆反应,bu'ke'ni'fan'ying
不可逆过程,bu'ke'ni'guo'cheng
不可逆过程热力学,bu'ke'ni'guo'cheng're'li'xue
不可逆性,bu'ke'ni'xing
不可压缩流,bu'ke'ya'suo'liu
不可压缩性,bu'ke'ya'suo'xing
不可约表示,bu'ke'yue'biao'shi
布喇菲符号,bu'la'fei'fu'hao
布喇菲空间点阵,bu'la'fei'kong'jian'dian'zhen
布喇格定律,bu'la'ge'ding'lv
布喇格反射,bu'la'ge'fan'she
布喇格方程,bu'la'ge'fang'cheng
布喇格格雷原理,bu'la'ge'ge'lei'yuan'li
布喇格光谱仪,bu'la'ge'guang'pu'yi
布喇格角,bu'la'ge'jiao
布喇格平面,bu'la'ge'ping'mian
布喇格曲线,bu'la'ge'qu'xian
布喇格绕射,bu'la'ge'rao'she
布喇格条件,bu'la'ge'tiao'jian
布喇格维利阿姆斯近似,bu'la'ge'wei'li'a'mu'si'jin'si
布喇格衍射,bu'la'ge'yan'she
布喇开光谱,bu'la'kai'guang'pu
布喇开系,bu'la'kai'xi
布拉乌斯公式,bu'la'wu'si'gong'shi
