阿母种桃云海际,a'mu'zhong'tao'yun'hai'ji
潘岳岁寒思,pan'yue'sui'han'si
潘宅雨新晴,pan'zhai'yu'xin'qing
叛者为谁蔡吴蜀,pan'zhe'wei'shui'cai'wu'shu
攀枝弄雪时回顾,pan'zhi'nong'xue'shi'hui'gu
磅礴宣地脉,pang'bo'xuan'di'mai
抛官归旧谿,pao'guan'gui'jiu'ji
抛官为折腰,pao'guan'wei'zhe'yao
抛球乐词,pao'qiu'le'ci
抛却丞郎争奈何,pao'que'cheng'lang'zheng'nai'he
抛却人间第一官,pao'que'ren'jian'di'yi'guan
裴回明月天,pei'hui'ming'yue'tian
裴回照温泉,pei'hui'zhao'wen'quan
佩鞬来历阳,pei'jian'lai'li'yang
毰毸饱腹蹲枯枝,pei'sai'bao'fu'dun'ku'zhi
毰毸止林表,pei'sai'zhi'lin'biao
裴生久在风尘里,pei'sheng'jiu'zai'feng'chen'li
湓城粉堞明,pen'cheng'fen'die'ming
喷洒如丝棼,pen'sa'ru'si'fen
喷雪含风意思生,pen'xue'han'feng'yi'si'sheng
鹏飞终背负,peng'fei'zhong'bei'fu
彭蠡秋声雁送来,peng'li'qiu'sheng'yan'song'lai
捧鳞望青玄,peng'lin'wang'qing'xuan
捧日皆元老,peng'ri'jie'yuan'lao
鹏息风还起,peng'xi'feng'hai'qi
鹏鷃各逍遥,peng'yan'ge'xiao'yao
蓬瀛落眼前,peng'ying'luo'yan'qian
彭泽因家凡几世,peng'ze'yin'jia'fan'ji'shi
鼙鼓夜闻惊朔雁,pi'gu'ye'wen'jing'shuo'yan
疲马再三嘶,pi'ma'zai'san'si
披沙金粟见,pi'sha'jin'su'jian
披衣犹带令公香,pi'yi'you'dai'ling'gong'xiang
辟雍流水近灵台,pi'yong'liu'shui'jin'ling'tai
披云赴月宫,pi'yun'fu'yue'gong
批章答献獒,pi'zhang'da'xian'ao
偏称落花前,pian'cheng'luo'hua'qian
偏能识主为情通,pian'neng'shi'zhu'wei'qing'tong
翩翩马上郎,pian'pian'ma'shang'lang
翩翩双鸟征,pian'pian'shuang'niao'zheng
偏伤朋友尽,pian'shang'peng'you'jin
片石亭亭号女郎,pian'shi'ting'ting'hao'nv'lang
偏宜曲江上,pian'yi'qu'jiang'shang
偏在上丁时,pian'zai'shang'ding'shi
篇章空寄情,pian'zhang'kong'ji'qing
骈臻水陆兼,pian'zhen'shui'lu'jian
扁舟尽室贫相逐,pian'zhou'jin'shi'pin'xiang'zhu
飘零劝行乐,piao'ling'quan'xing'le
骠骑非无势,piao'qi'fei'wu'shi
飘蕊泛金罍,piao'rui'fan'jin'lei
飘飏南陌起东邻,piao'yang'nan'mo'qi'dong'lin
瞥然此生中,pie'ran'ci'sheng'zhong
瞥下云中争腐鼠,pie'xia'yun'zhong'zheng'fu'shu
蘋风有时起,pin'feng'you'shi'qi
频经伏毒岩,pin'jing'fu'du'yan
频惊转斗杓,pin'jing'zhuan'dou'biao
嚬眉厌老终难去,pin'mei'yan'lao'zhong'nan'qu
蘋生枉渚暄,pin'sheng'wang'zhu'xuan
频为佝偻欺,pin'wei'gou'lou'qi
频学唤人缘性慧,pin'xue'huan'ren'yuan'xing'hui
平安出岭人,ping'an'chu'ling'ren
平蔡州三首,ping'cai'zhou'san'shou
平地生峰峦,ping'di'sheng'feng'luan
屏风所画至精,ping'feng'suo'hua'zhi'jing
平湖见草青,ping'hu'jian'cao'qing
平湖晚泛窥清镜,ping'hu'wan'fan'kui'qing'jing
凭寄狂夫书一纸,ping'ji'kuang'fu'shu'yi'zhi
凭将杂拟三十首,ping'jiang'za'ni'san'shi'shou
萍开绿池满,ping'kai'lv'chi'man
平齐行二首,ping'qi'xing'er'shou
平泉占上原,ping'quan'zhan'shang'yuan
平生多感慨,ping'sheng'duo'gan'kai
平生服杏丹,ping'sheng'fu'xing'dan
平生红粉爱,ping'sheng'hong'fen'ai
平生有己知,ping'sheng'you'ji'zhi
平芜来去飞,ping'wu'lai'qu'fei
平阳不独容宾醉,ping'yang'bu'du'rong'bin'zui
平野多层阴,ping'ye'duo'ceng'yin
平野分风使,ping'ye'fen'feng'shi
平章贵价车,ping'zhang'gui'jia'che
平章宅里一栏花,ping'zhang'zhai'li'yi'lan'hua
仆夫前致词,pu'fu'qian'zhi'ci
蒲根抽九节,pu'gen'chou'jiu'jie
瀑流飞缟带,pu'liu'fei'gao'dai
蒲柳任先凋,pu'liu'ren'xian'diao
朴樕危巢向暮时,pu'su'wei'chao'xiang'mu'shi
扑樕昔所嗤,pu'su'xi'suo'chi
葡萄歌,pu'tao'ge
曝衣楼上拂香裙,pu'yi'lou'shang'fu'xiang'qun
棋布不曾斜,qi'bu'bu'ceng'xie
起草香生帐,qi'cao'xiang'sheng'zhang
齐唱郢中歌,qi'chang'ying'zhong'ge
骑吹礼容全,qi'chui'li'rong'quan
骑吹息繁阴,qi'chui'xi'fan'yin
齐飞凌烟旻,qi'fei'ling'yan'min
岂非山水乡,qi'fei'shan'shui'xiang
奇峰扳祝融,qi'feng'ban'zhu'rong
奇峰一见惊魂魄,qi'feng'yi'jian'jing'hun'po
奇觚率尔操,qi'gu'shuai'er'cao
骑过虹桥剑戟随,qi'guo'hong'qiao'jian'ji'sui
奇货通幸卿,qi'huo'tong'xing'qing
绮季衣冠称鬓面,qi'ji'yi'guan'cheng'bin'mian
其间十馀步,qi'jian'shi'yu'bu
泣尽弓剑前,qi'jin'gong'jian'qian
气劲言高少知己,qi'jing'yan'gao'shao'zhi'ji
棋局就红桃,qi'ju'jiu'hong'tao
期君当此时,qi'jun'dang'ci'shi
契阔话凉温,qi'kuo'hua'liang'wen
骑吏尘未息,qi'li'chen'wei'xi
气力侔陶钧,qi'li'mou'tao'jun
气力已微心尚在,qi'li'yi'wei'xin'shang'zai
凄凉吹素旗,qi'liang'chui'su'qi
凄凉从此后,qi'liang'cong'ci'hou
凄凉蜀故妓,qi'liang'shu'gu'ji
凄凉同到故人居,qi'liang'tong'dao'gu'ren'ju
凄凉沃州僧,qi'liang'wo'zhou'seng
凄凉竹林下,qi'liang'zhu'lin'xia
绮罗随世尽,qi'luo'sui'shi'jin
其奈明年好春日,qi'nai'ming'nian'hao'chun'ri
其奈钱塘苏小小,qi'nai'qian'tang'su'xiao'xiao
其奈无成空老去,qi'nai'wu'cheng'kong'lao'qu
岂念寒炉有死灰,qi'nian'han'lu'you'si'hui
槭槭林已成,qi'qi'lin'yi'cheng
祁祁庶士,qi'qi'shu'shi
乞取斗升水,qi'qu'dou'sheng'shui
乞取新诗合掌看,qi'qu'xin'shi'he'zhang'kan
齐人不复闻箫韶,qi'ren'bu'fu'wen'xiao'shao
其如草玄客,qi'ru'cao'xuan'ke
岂如春色嗾人狂,qi'ru'chun'se'sou'ren'kuang
气如坏山堕其庭,qi'ru'huai'shan'duo'qi'ting
其如天下望,qi'ru'tian'xia'wang
其如心似不然灰,qi'ru'xin'si'bu'ran'hui
乞身来阙下,qi'shen'lai'que'xia
气势不死如腾屳,qi'shi'bu'si'ru'teng'xian
起视蚩尤旗,qi'shi'chi'you'qi
琪树春朝风正吹,qi'shu'chun'chao'feng'zheng'chui
旗槊光参差,qi'shuo'guang'cen'ci
旗亭绿云里,qi'ting'lv'yun'li
旗亭无酒濡,qi'ting'wu'jiu'ru
旗尾飘扬势渐高,qi'wei'piao'yang'shi'jian'gao
岂无花下侣,qi'wu'hua'xia'lv
岂无三千女,qi'wu'san'qian'nv
七夕二首,qi'xi'er'shou
绮席乃增华,qi'xi'nai'zeng'hua
栖息无少安,qi'xi'wu'shao'an
泣下为人悲,qi'xia'wei'ren'bei
七贤遗老在,qi'xian'yi'lao'zai
绮筵红烛醉兰闺,qi'yan'hong'zhu'zui'lan'gui
绮筵陪一笑,qi'yan'pei'yi'xiao
七言诗里寄深情,qi'yan'shi'li'ji'shen'qing
岂伊山水异,qi'yi'shan'shui'yi
凄音激清徵,qi'yin'ji'qing'zheng
旗影度东辽,qi'ying'du'dong'liao
岂有仙踪更可寻,qi'you'xian'zong'geng'ke'xun
其馀安可论,qi'yu'an'ke'lun
起于毫芒,qi'yu'hao'mang
其馀事事新,qi'yu'shi'shi'xin
妻约雕金钏,qi'yue'diao'jin'chuan
栖月啼烟凌缥缈,qi'yue'ti'yan'ling'piao'miao
欹枕闲看知自适,qi'zhen'xian'kan'zhi'zi'shi
欹枕昼眠静,qi'zhen'zhou'mian'jing
欹枕醉眠成戏蝶,qi'zhen'zui'mian'cheng'xi'die
蕲州刺史张公子,qi'zhou'ci'shi'zhang'gong'zi
骑竹见新童,qi'zhu'jian'xin'tong
前波未灭后波生,qian'bo'wei'mie'hou'bo'sheng
浅草遥迎鹔鹴马,qian'cao'yao'ying'su'shuang'ma
前筹得上策,qian'chou'de'shang'ce
前当祝融居,qian'dang'zhu'rong'ju
前度刘郎今又来,qian'du'liu'lang'jin'you'lai
千竿竹翠数莲红,qian'gan'zhu'cui'shu'lian'hong
千行宰树荆州道,qian'hang'zai'shu'jing'zhou'dao
前欢渐成昔,qian'huan'jian'cheng'xi
浅黄轻绿映楼台,qian'huang'qing'lv'ying'lou'tai
千级扳峭壁,qian'ji'ban'qiao'bi
千家万家去,qian'jia'wan'jia'qu
黔江秋水浸云霓,qian'jiang'qiu'shui'jin'yun'ni
千金买绝境,qian'jin'mai'jue'jing
前旌光照日,qian'jing'guang'zhao'ri
前旌指晋城,qian'jing'zhi'jin'cheng
前旌指渭河,qian'jing'zhi'wei'he
前旌转谷去,qian'jing'zhuan'gu'qu
千钧猛簴顺流下,qian'jun'meng'ju'shun'liu'xia
搴开偶虚清,qian'kai'ou'xu'qing
千里孤云生,qian'li'gu'yun'sheng
千里江蓠春,qian'li'jiang'li'chun
千里难同赏,qian'li'nan'tong'shang
千里水葵羹,qian'li'shui'kui'geng
千里同一色,qian'li'tong'yi'se
千里相思难命驾,qian'li'xiang'si'nan'ming'jia
千里远扬舲,qian'li'yuan'yang'ling
千里之差,qian'li'zhi'cha
千里追戎首,qian'li'zhui'rong'shou
前临震泽波,qian'lin'zhen'ze'bo
浅流忽浊山兽过,qian'liu'hu'zhuo'shan'shou'guo
前旒为蔽明,qian'liu'wei'bi'ming
前路何狭窄,qian'lu'he'xia'zhai
前马悲无主,qian'ma'bei'wu'zhu
千门闭霜月,qian'men'bi'shuang'yue
千门九陌飞悠扬,qian'men'jiu'mo'fei'you'yang
千门生早寒,qian'men'sheng'zao'han
千门万户垂杨里,qian'men'wan'hu'chui'yang'li
阡陌不可越,qian'mo'bu'ke'yue
前年曾见两鬟时,qian'nian'ceng'jian'liang'huan'shi
前年初缺守,qian'nian'chu'que'shou
千年列郡名,qian'nian'lie'jun'ming
前年牧锦城,qian'nian'mu'jin'cheng
前陪看花处,qian'pei'kan'hua'chu
堑平陈叶满,qian'ping'chen'ye'man
千骑尘中白面人,qian'qi'chen'zhong'bai'mian'ren
千秋尚凛然,qian'qiu'shang'lin'ran
千秋亭下赋初成,qian'qiu'ting'xia'fu'chu'cheng
潜去不见迹,qian'qu'bu'jian'ji
前驱抗旆旌,qian'qu'kang'pei'jing
前人秉艺文,qian'ren'bing'yi'wen
前日过萧寺,qian'ri'guo'xiao'si
前日见铺歌舞筵,qian'ri'jian'pu'ge'wu'yan
前日寝门恸,qian'ri'qin'men'tong
千山万江口,qian'shan'wan'jiang'kou
前山正无云,qian'shan'zheng'wu'yun
前身后身付馀习,qian'shen'hou'shen'fu'yu'xi
前事常被谪,qian'shi'chang'bei'zhe
前时明月中,qian'shi'ming'yue'zhong
前时送君去,qian'shi'song'jun'qu
前时学得经论成,qian'shi'xue'de'jing'lun'cheng
千思万虑尽如空,qian'si'wan'lv'jin'ru'kong
钱塘山水有奇声,qian'tang'shan'shui'you'qi'sheng
千淘万漉虽辛苦,qian'tao'wan'lu'sui'xin'ku
千条金缕万条丝,qian'tiao'jin'lv'wan'tiao'si
前望顺阳路,qian'wang'shun'yang'lu
浅笑低鬟初目成,qian'xiao'di'huan'chu'mu'cheng
搴撷忘幽遐,qian'xie'wang'you'xia
嵌穴胡雏貌,qian'xue'hu'chu'mao
千寻铁锁沉江底,qian'xun'tie'suo'chen'jiang'di
前与计吏西,qian'yu'ji'li'xi
千载威灵尽,qian'zai'wei'ling'jin
千载惟丘墓,qian'zai'wei'qiu'mu
前者匆匆襆被行,qian'zhe'cong'cong'fu'bei'xing
牵拽彩绳斜,qian'zhuai'cai'sheng'xie
墙东便是伤心地,qiang'dong'bian'shi'shang'xin'de
强将衫袖拂埃尘,qiang'jiang'shan'xiu'fu'ai'chen
墙内池亭万境闲,qiang'nei'chi'ting'wan'jing'xian
锵如振琅玕,qiang'ru'zhen'lang'gan
墙外丽行尘,qiang'wai'li'xing'chen
蔷薇乱发多临水,qiang'wei'luan'fa'duo'lin'shui
抢榆念陵厉,qiang'yu'nian'ling'li
抢榆尚笑鲲,qiang'yu'shang'xiao'kun
抢榆水击各逍遥,qiang'yu'shui'ji'ge'xiao'yao
抢榆与水击,qiang'yu'yu'shui'ji
桥边平岸草如烟,qiao'bian'ping'an'cao'ru'yan
桥成不碍槎,qiao'cheng'bu'ai'cha
憔悴柴桑宰,qiao'cui'chai'sang'zai
桥东桥西好杨柳,qiao'dong'qiao'xi'hao'yang'liu
桥峻通星渚,qiao'jun'tong'xing'zhu
乔木在天涯,qiao'mu'zai'tian'ya
悄然伤我神,qiao'ran'shang'wo'shen
悄如促柱弦,qiao'ru'cu'zhu'xian
敲石弥天隅,qiao'shi'mi'tian'yu
桥形出树曲,qiao'xing'chu'shu'qu
翘袖中繁鼓,qiao'xiu'zhong'fan'gu
巧言忽成锦,qiao'yan'hu'cheng'jin
樵音绕故垒,qiao'yin'rao'gu'lei
桥影与虹低,qiao'ying'yu'hong'di
且尽姜芽敛手徒,qie'jin'jiang'ya'lian'shou'tu
箧留马卿赋,qie'liu'ma'qing'fu
切切别弦急,qie'qie'bie'xian'ji
且赏同心处,qie'shang'tong'xin'chu
且上新楼看风月,qie'shang'xin'lou'kan'feng'yue
且释其枯树之叹,qie'shi'qi'ku'shu'zhi'tan
且随鱼鸟泛烟波,qie'sui'yu'niao'fan'yan'bo
且为一裴回,qie'wei'yi'pei'hui
且无三已色,qie'wu'san'yi'se
且喜炎前别,qie'xi'yan'qian'bie
且向人间呈羽仪,qie'xiang'ren'jian'cheng'yu'yi
惬心时拊髀,qie'xin'shi'fu'bi
惬心同笑语,qie'xin'tong'xiao'yu
且须欢喜作邻州,qie'xu'huan'xi'zuo'lin'zhou
且欲去沉痗,qie'yu'qu'chen'mei
且欲遗姓名,qie'yu'yi'xing'ming
亲爱从此辞,qin'ai'cong'ci'ci
亲耕钩盾田,qin'geng'gou'dun'tian
秦宫岂不重,qin'gong'qi'bu'zhong
禽归讲席收,qin'gui'jiang'xi'shou
秦国功成思税驾,qin'guo'gong'cheng'si'shui'jia
秦嘉镜有前时结,qin'jia'jing'you'qian'shi'jie
禽惊格磔起,qin'jing'ge'zhe'qi
溱流芍药芳,qin'liu'shao'yao'fang
秦声一曲此时闻,qin'sheng'yi'qu'ci'shi'wen
秦狩迹犹在,qin'shou'ji'you'zai
秦望峰前禹穴西,qin'wang'feng'qian'yu'xue'xi
亲问主人翁,qin'wen'zhu'ren'weng
禽兴大旆摇,qin'xing'da'pei'yao
亲友关心皆不见,qin'you'guan'xin'jie'bu'jian
禽鱼各有化,qin'yu'ge'you'hua
琴韵白蘋风,qin'yun'bai'pin'feng
清白家传远,qing'bai'jia'chuan'yuan
轻波触砌回,qing'bo'chu'qi'hui
清晨登天坛,qing'chen'deng'tian'tan
倾城看斩蛟,qing'cheng'kan'zhan'jiao
清池曲榭人所致,qing'chi'qu'xie'ren'suo'zhi
请待花时作主人,qing'dai'hua'shi'zuo'zhu'ren
轻电闪红绡,qing'dian'shan'hong'xiao
晴芳飘野丛,qing'fang'piao'ye'cong
轻飞不假风,qing'fei'bu'jia'feng
凊风稍改叶,qing'feng'shao'gai'ye
清风夐无邻,qing'feng'xiong'wu'lin
轻风漾水光,qing'feng'yang'shui'guang
清歌不是世间音,qing'ge'bu'shi'shi'jian'yin
青菰寒菽非适口,qing'gu'han'shu'fei'shi'kou
青菰已熟奈秋风,qing'gu'yi'shu'nai'qiu'feng
清光含碧流,qing'guang'han'bi'liu
清光门外一渠水,qing'guang'men'wai'yi'qu'shui
清光绕砌回,qing'guang'rao'qi'hui
清光如为人,qing'guang'ru'wei'ren
清光正如此,qing'guang'zheng'ru'ci
晴河逼翠帘,qing'he'bi'cui'lian
清淮变寒色,qing'huai'bian'han'se
清淮春浪软,qing'huai'chun'lang'ruan
清淮南岸家山树,qing'huai'nan'an'jia'shan'shu
清淮晓色鸭头春,qing'huai'xiao'se'ya'tou'chun
清淮月影落金卮,qing'huai'yue'ying'luo'jin'zhi
清辉同夕阴,qing'hui'tong'xi'yin
青简叹犹新,qing'jian'tan'you'xin
清江悠悠王气沉,qing'jiang'you'you'wang'qi'chen
清江直下看,qing'jiang'zhi'xia'kan
清景复追游,qing'jing'fu'zhui'you
请君莫奏前朝曲,qing'jun'mo'zou'qian'chao'qu
晴空礼拜见真像,qing'kong'li'bai'jian'zhen'xiang
晴空一鹤排云上,qing'kong'yi'he'pai'yun'shang
晴来意态行,qing'lai'yi'tai'xing
清羸已拖绅,qing'lei'yi'tuo'shen
清羸隐几望云空,qing'lei'yin'ji'wang'yun'kong
青莲译梵书,qing'lian'yi'fan'shu
晴林长落过春花,qing'lin'chang'luo'guo'chun'hua
青林虎丘寺,qing'lin'hu'qiu'si
青林露早晞,qing'lin'lu'zao'xi
青林望靡靡,qing'lin'wang'mi'mi
青楼春望日将斜,qing'lou'chun'wang'ri'jiang'xie
清漏滴铜壶,qing'lou'di'tong'hu
轻落不委地,qing'luo'bu'wei'di
清洛晓光铺碧簟,qing'luo'xiao'guang'pu'bi'dian
轻煤飞入郭,qing'mei'fei'ru'guo
青门大道属车尘,qing'men'da'dao'shu'che'chen
清庙既策勋,qing'miao'ji'ce'xun
青冥结精气,qing'ming'jie'jing'qi
倾眸溯华榱,qing'mou'su'hua'cui
青囊既深味,qing'nang'ji'shen'wei
青鸟去时云路断,qing'niao'qu'shi'yun'lu'duan
青鸟自爱玉山禾,qing'niao'zi'ai'yu'shan'he
青牛文梓赤金簧,qing'niu'wen'zi'chi'jin'huang
青袍仙掌下,qing'pao'xian'zhang'xia
轻抛一点入云去,qing'pao'yi'dian'ru'yun'qu
轻珮垂璁珑,qing'pei'chui'cong'long
清峭彻骨烦襟开,qing'qiao'che'gu'fan'jin'kai
清琴入性灵,qing'qin'ru'xing'ling
清琴入夜弹,qing'qin'ru'ye'tan
晴清依露叶,qing'qing'yi'lu'ye
晴日凤鶱腾,qing'ri'feng'xian'teng
青山云绕栏干外,qing'shan'yun'rao'lan'gan'wai
清商一来秋日晓,qing'shang'yi'lai'qiu'ri'xiao
情深取断章,qing'shen'qu'duan'zhang
情深是德邻,qing'shen'shi'de'lin
青实长玫瑰,qing'shi'chang'mei'gui
清时为丞郎,qing'shi'wei'cheng'lang
青绶初县左顾龟,qing'shou'chu'xian'zuo'gu'gui
清似湘灵促柱弦,qing'si'xiang'ling'cu'zhu'xian
青松步障深五里,qing'song'bu'zhang'shen'wu'li
青松郁成坞,qing'song'yu'cheng'wu
情随彩翰飞,qing'sui'cai'han'fei
清谈信古风,qing'tan'xin'gu'feng
晴天闇闇雪,qing'tian'an'an'xue
青天绝纤滓,qing'tian'jue'xian'zi
蜻蜓飞上玉搔头,qing'ting'fei'shang'yu'sao'tou
青童护金液,qing'tong'hu'jin'ye
清望寰中许,qing'wang'huan'zhong'xu
青箱传学远,qing'xiang'chuan'xue'yuan
清湘词二首,qing'xiang'ci'er'shou
请向东山为近邻,qing'xiang'dong'shan'wei'jin'lin
清香断续来,qing'xiang'duan'xu'lai
清香绝复寻,qing'xiang'jue'fu'xun
情兴占年华,qing'xing'zhan'nian'hua
轻烟去何托,qing'yan'qu'he'tuo
晴烟沙苑树,qing'yan'sha'yuan'shu
晴夜月光来,qing'ye'yue'guang'lai
晴宜连夜赏,qing'yi'lian'ye'shang
清音常满听,qing'yin'chang'man'ting
清阴覆池阁,qing'yin'fu'chi'ge
清吟晓露叶,qing'yin'xiao'lu'ye
轻阴迎晓日,qing'yin'ying'xiao'ri
轻盈袅娜占年华,qing'ying'niao'nuo'zhan'nian'hua
轻盈烟际林,qing'ying'yan'ji'lin
青油昼卷临高阁,qing'you'zhou'juan'lin'gao'ge
清猿伺晓发,qing'yuan'ci'xiao'fa
清猿啼在最高枝,qing'yuan'ti'zai'zui'gao'zhi
清源寻尽花绵绵,qing'yuan'xun'jin'hua'mian'mian
清越敲寒玉,qing'yue'qiao'han'yu
清韵初调众乐随,qing'yun'chu'diao'zhong'le'sui
青云路上愿逢君,qing'yun'lu'shang'yuan'feng'jun
庆云清景相回旋,qing'yun'qing'jing'xiang'hui'xuan
清韵投所希,qing'yun'tou'suo'xi
晴云遥盖覆,qing'yun'yao'gai'fu
青云意长在,qing'yun'yi'zhang'zai
青云直上无多地,qing'yun'zhi'shang'wu'duo'di
青帐联延喧驿步,qing'zhang'lian'yan'xuan'yi'bu
情知点污投泥玉,qing'zhi'dian'wu'tou'ni'yu
青纸凤凰衔,qing'zhi'feng'huang'xian
顷坐事除名,qing'zuo'shi'chu'ming
琼林满眼映旂竿,qiong'lin'man'yan'ying'qi'gan
琼葩亦屡摘,qiong'pa'yi'lv'zhai
琼书舍文字,qiong'shu'she'wen'zi
蛩思绕阶声,qiong'si'rao'jie'sheng
蛩响偏依井,qiong'xiang'pian'yi'jing
穷巷秋风起,qiong'xiang'qiu'feng'qi
穷巷唯秋草,qiong'xiang'wei'qiu'cao
琼瑶满匣中,qiong'yao'man'xia'zhong
琼枝曲不折,qiong'zhi'qu'bu'zhe
琼枝未识魂空断,qiong'zhi'wei'shi'hun'kong'duan
球场簇看车,qiu'chang'cu'kan'che
秋澄万景清,qiu'cheng'wan'jing'qing
秋虫镂宫树,qiu'chong'lou'gong'shu
秋次池上馆,qiu'ci'chi'shang'guan
秋词二首,qiu'ci'er'shou
秋灯对讲经,qiu'deng'dui'jiang'jing
秋蝶近悠扬,qiu'die'jin'you'yang
秋风白露晞,qiu'feng'bai'lu'xi
秋风吹柳条,qiu'feng'chui'liu'tiao
秋风词尚新,qiu'feng'ci'shang'xin
秋风函谷尘,qiu'feng'han'gu'chen
秋风怜越绝,qiu'feng'lian'yue'jue
秋风门外旌旗动,qiu'feng'men'wai'jing'qi'dong
秋风入庭树,qiu'feng'ru'ting'shu
秋光起天津,qiu'guang'qi'tian'jin
秋稼与云平,qiu'jia'yu'yun'ping
秋江鳞甲生,qiu'jiang'lin'jia'sheng
秋江晚泊,qiu'jiang'wan'bo
秋江早发,qiu'jiang'zao'fa
秋来念归去,qiu'lai'nian'gui'qu
秋来却赴白云期,qiu'lai'que'fu'bai'yun'qi
秋林千叶声,qiu'lin'qian'ye'sheng
秋千争次第,qiu'qian'zheng'ci'di
秋日书怀寄白宾客,qiu'ri'shu'huai'ji'bai'bin'ke
秋日送客至潜水驿,qiu'ri'song'ke'zhi'qian'shui'yi
秋色墙头数点山,qiu'se'qiang'tou'shu'dian'shan
秋扇一离手,qiu'shan'yi'li'shou
秋声思芦苇,qiu'sheng'si'lu'wei
秋霜动鸷禽,qiu'shuang'dong'zhi'qin
秋水清无力,qiu'shui'qing'wu'li
秋隼得时凌汗漫,qiu'sun'de'shi'ling'han'man
秋堂境寂夜方半,qiu'tang'jing'ji'ye'fang'ban
秋晚病中,qiu'wan'bing'zhong
秋夕不寐寄乐天,qiu'xi'bu'mei'ji'le'tian
秋夜安国观闻笙,qiu'ye'an'guo'guan'wen'sheng
秋雨离情动,qiu'yu'li'qing'dong
秋斋独坐寄乐天,qiu'zhai'du'zuo'ji'le'tian
秋中暑退赠乐天,qiu'zhong'shu'tui'zeng'le'tian
曲岸留缇骑,qu'an'liu'ti'qi
驱传渡三湘,qu'chuan'du'san'xiang
曲岛花千树,qu'dao'hua'qian'shu
曲盖幽深苍桧下,qu'gai'you'shen'cang'gui'xia
去国十年同赴召,qu'guo'shi'nian'tong'fu'zhao
曲江春望,qu'jiang'chun'wang
曲江僧向松江见,qu'jiang'seng'xiang'song'jiang'jian
曲江一会时,qu'jiang'yi'hui'shi
曲尽回身处,qu'jin'hui'shen'chu
曲尽有馀意,qu'jin'you'yu'yi
渠口起晴雷,qu'kou'qi'qing'lei
去年为狎客,qu'nian'wei'xia'ke
屈平祠下沅江水,qu'ping'ci'xia'yuan'jiang'shui
屈平憔悴颜,qu'ping'qiao'cui'yan
去秋诏下诛东平,qu'qiu'zhao'xia'zhu'dong'ping
去杀令逾严,qu'sha'ling'yu'yan
趋时鸷鸟思,qu'shi'zhi'niao'si
瞿塘嘈嘈十二滩,qu'tang'cao'cao'shi'er'tan
曲头驻马闻新声,qu'tou'zhu'ma'wen'xin'sheng
蘧瑗亦屡化,qu'yuan'yi'lv'hua
去棹闻遗声,qu'zhao'wen'yi'sheng
曲沼疑瑶镜,qu'zhao'yi'yao'jing
曲直既了然,qu'zhi'ji'liao'ran
屈指如今无四五,qu'zhi'ru'jin'wu'si'wu
屈指如今已零落,qu'zhi'ru'jin'yi'ling'luo
屈指同登耳顺科,qu'zhi'tong'deng'er'shun'ke
曲终人散空愁暮,qu'zhong'ren'san'kong'chou'mu
曲终韵尽意不足,qu'zhong'yun'jin'yi'bu'zu
曲奏埙篪处处听,qu'zou'xun'chi'chu'chu'ting
铨材秉秦镜,quan'cai'bing'qin'jing
全家少俗情,quan'jia'shao'su'qing
劝酒夜相依,quan'jiu'ye'xiang'yi
劝君多买长安酒,quan'jun'duo'mai'chang'an'jiu
泉客泣酬恩,quan'ke'qi'chou'en
泉清石布博棋子,quan'qing'shi'bu'bo'qi'zi
劝我税归轭,quan'wo'shui'gui'e
泉眼潜通海,quan'yan'qian'tong'hai
却泛沧浪狎钓童,que'fan'cang'lang'xia'diao'tong
却顾空丹灶,que'gu'kong'dan'zao
却顾膝上弦,que'gu'xi'shang'xian
却归天上去,que'gui'tian'shang'qu
却恨江帆驶,que'hen'jiang'fan'shi
却见山下侣,que'jian'shan'xia'lv
却将山屐上丹梯,que'jiang'shan'ji'shang'dan'ti
阙里庙堂空旧物,que'li'miao'tang'kong'jiu'wu
却立视云背,que'li'shi'yun'bei
雀罗秋寂寂,que'luo'qiu'ji'ji
却甚少年欢,que'shen'shao'nian'huan
却是人间久远期,que'shi'ren'jian'jiu'yuan'qi
却思未磨时,que'si'wei'mo'shi
却望归塞鸿,que'wang'gui'sai'hong
却望琼沙际,que'wang'qiong'sha'ji
却为精舍读书人,que'wei'jing'she'du'shu'ren
却为离披无俗姿,que'wei'li'pi'wu'su'zi
阙下口号呈柳仪曹,que'xia'kou'hao'cheng'liu'yi'cao
鹊衔金印空为瑞,que'xian'jin'yin'kong'wei'rui
却向青云索得身,que'xiang'qing'yun'suo'de'shen
却想似前身,que'xiang'si'qian'shen
却向五云翻翅飞,que'xiang'wu'yun'fan'chi'fei
却寻故乡路,que'xun'gu'xiang'lu
却要白头人,que'yao'bai'tou'ren
却要霜须一两茎,que'yao'shuang'xu'yi'liang'jing
却要斜飞取势回,que'yao'xie'fei'qu'shi'hui
缺一不成曲,que'yi'bu'cheng'qu
却忆郡斋中,que'yi'jun'zhai'zhong
却忆未开时,que'yi'wei'kai'shi
却忆朱方是乐郊,que'yi'zhu'fang'shi'le'jiao
却因政事赐金鱼,que'yin'zheng'shi'ci'jin'yu
鹊噪晚禾地,que'zao'wan'he'di
群动翛然一顾中,qun'dong'xiao'ran'yi'gu'zhong
群儿多侮剧,qun'er'duo'wu'ju
群峰朝拱如骏奔,qun'feng'chao'gong'ru'jun'ben
