皑皑轻趁步,ai'ai'qing'chen'bu
其为神则星月不足喻其精,qi'wei'shen'ze'xing'yue'bu'zu'yu'qi'jing
其为性则冰雪不足喻其洁,qi'wei'xing'ze'bing'xue'bu'zu'yu'qi'jie
其为质则金玉不足喻其贵,qi'wei'zhi'ze'jin'yu'bu'zu'yu'qi'gui
其文若何,qi'wen'ruo'he
岂系良工堆砌成,qi'xi'liang'gong'dui'qi'cheng
栖息宴游之夕,qi'xi'yan'you'zhi'xi
其先之乡籍姓氏,qi'xian'zhi'xiang'ji'xing'shi
绮袖笼金貂,qi'xiu'long'jin'diao
其艳若何,qi'yan'ruo'he
奇矣哉,qi'yi'zai
岂招尤则替,qi'zhao'you'ze'ti
气质美如兰,qi'zhi'mei'ru'lan
恰便是活神仙离碧霄,qia'bian'shi'huo'shen'xian'li'bi'xiao
恰便是遮不住的青山隐隐,qia'bian'shi'zhe'bu'zhu'de'qing'shan'yin'yin
钳诐奴之口,qian'bi'nu'zhi'kou
潜赤水兮龙吟,qian'chi'shui'xi'long'yin
牵愁照恨动离情,qian'chou'zhao'hen'dong'li'qing
潜度偷移三径中,qian'du'tou'yi'san'jing'zhong
倩风廉之为余驱车兮,qian'feng'lian'zhi'wei'yu'qu'che'xi
千古独风流,qian'gu'du'feng'liu
千古风流造孽人,qian'gu'feng'liu'zao'nie'ren
千古高风说到今,qian'gu'gao'feng'shuo'dao'jin
欠泪的,qian'lei'de
千里东风一梦遥,qian'li'dong'feng'yi'meng'yao
牵连大抵难休绝,qian'lian'da'di'nan'xiu'jue
前门绿柳垂金锁,qian'men'lv'liu'chui'jin'suo
欠命的,qian'ming'de
茜裙偷傍桃花立,qian'qun'tou'bang'tao'hua'li
茜纱窗下公子多情,qian'sha'chuang'xia'gong'zi'duo'qing
前身定是瑶台种,qian'shen'ding'shi'yao'tai'zhong
前身色相总无成,qian'shen'se'xiang'zong'wu'cheng
纤手自拈来,qian'shou'zi'nian'lai
倩谁记去作奇传,qian'shui'ji'qu'zuo'qi'chuan
前夕新霁,qian'xi'xin'ji
搴烟萝而为步障,qian'yan'luo'er'wei'bu'zhang
倩影三更月有痕,qian'ying'san'geng'yue'you'hen
戕宝钗之仙姿,qiang'bao'chai'zhi'xian'zi
襁褓之间父母违,qiang'bao'zhi'jian'fu'mu'wei
襁褓中,qiang'bao'zhong
戕其仙姿,qiang'qi'xian'zi
强吞虎豹势如蜂,qiang'tun'hu'bao'shi'ru'feng
强于污淖陷渠沟,qiang'yu'wu'nao'xian'qu'gou
憔悴花遮憔悴人,qiao'cui'hua'zhe'qiao'cui'ren
巧得遇恩人,qiao'de'yu'en'ren
敲断玉钗红烛冷,qiao'duan'yu'chai'hong'zhu'leng
巧者劳而智者忧,qiao'zhe'lao'er'zhi'zhe'you
窃思女儿自临浊世,qie'si'nv'er'zi'lin'zhuo'shi
窃同叨栖处于泉石之间,qie'tong'dao'qi'chu'yu'quan'shi'zhi'jian
窃尧舜之词,qie'yao'shun'zhi'ci
且住,qie'zhu
琴边衾里总无缘,qin'bian'qin'li'zong'wu'yuan
沁芳亭,qin'fang'ting
沁芳之泉,qin'fang'zhi'quan
沁梅香可嚼,qin'mei'xiang'ke'jiao
亲昵狎亵,qin'ni'xia'xie
衾倩侍儿温,qin'qian'shi'er'wen
晴彩辉煌映画栏,qing'cai'hui'huang'ying'hua'lan
青春已大守空闺,qing'chun'yi'da'shou'kong'gui
青灯古殿人将老,qing'deng'gu'dian'ren'jiang'lao
青灯照壁人初睡,qing'deng'zhao'bi'ren'chu'shui
青枫林下鬼吟哦,qing'feng'lin'xia'gui'yin'e
清光皎皎影团团,qing'guang'jiao'jiao'ying'tuan'tuan
晴光摇院宇,qing'guang'yao'yuan'yu
倾国倾城貌多愁多病身,qing'guo'qing'cheng'mao'duo'chou'duo'bing'shen
轻寒风剪剪,qing'han'feng'jian'jian
情既相逢必主淫,qing'ji'xiang'feng'bi'zhu'yin
情郎不舍还家里,qing'lang'bu'she'hai'jia'li
清冷香中抱膝吟,qing'leng'xiang'zhong'bao'xi'yin
擎莲焰以烛兰膏耶,qing'lian'yan'yi'zhu'lan'gao'ye
清梦转聊聊,qing'meng'zhuan'liao'liao
清明涕送江边望,qing'ming'ti'song'jiang'bian'wang
清明装点最堪宜,qing'ming'zhuang'dian'zui'kan'yi
黥彭甘受他年醢,qing'peng'gan'shou'ta'nian'hai
清贫怀箪瓢,qing'pin'huai'dan'piao
青山寂寂水澌澌,qing'shan'ji'ji'shui'si'si
情天情海幻情身,qing'tian'qing'hai'huan'qing'shen
轻烟迷曲径,qing'yan'mi'qu'jing
清游拟上元,qing'you'ni'shang'yuan
情缘自浅深,qing'yuan'zi'qian'shen
清砧怨笛送黄昏,qing'zhen'yuan'di'song'huang'hun
青州眼见皆灰尘,qing'zhou'yan'jian'jie'hui'chen
秋窗风雨夕,qiu'chuang'feng'yu'xi
秋光叠叠复重重,qiu'guang'die'die'fu'chong'chong
秋光荏苒休辜负,qiu'guang'ren'ran'xiu'gu'fu
秋闺怨女拭啼痕,qiu'gui'yuan'nv'shi'ti'hen
秋花惨淡秋草黄,qiu'hua'can'dan'qiu'cao'huang
秋菊披霜,qiu'ju'pi'shuang
秋千架上春衫薄,qiu'qian'jia'shang'chun'shan'bo
秋容浅淡映重门,qiu'rong'qian'dan'ying'zhong'men
秋湍泻石髓,qiu'tuan'xie'shi'sui
秋夜即事,qiu'ye'ji'shi
秋阴捧出何方雪,qiu'yin'peng'chu'he'fang'xue
秋榆飒飒,qiu'yu'sa'sa
驱丰隆以为比从兮,qu'feng'long'yi'wei'bi'cong'xi
曲径接天台之路,qu'jing'jie'tian'tai'zhi'lu
曲径通幽处,qu'jing'tong'you'chu
觑着那,qu'zhe'na
全不念当日根由,quan'bu'nian'dang'ri'gen'you
泉溉泥封勤护惜,quan'gai'ni'feng'qin'hu'xi
劝人生,quan'ren'sheng
泉香而酒冽,quan'xiang'er'jiu'lie
泉知不问源,quan'zhi'bu'wen'yuan
却不道人去梁空巢也倾,que'bu'dao'ren'qu'liang'kong'chao'ye'qing
却不知太高人愈妒,que'bu'zhi'tai'gao'ren'yu'du
却将丑语怪他人,que'jiang'chou'yu'guai'ta'ren
却是一只折足雁,que'shi'yi'zhi'zhe'zu'yan
却为宜会亲友,que'wei'yi'hui'qin'you
却喜侍儿知试茗,que'xi'shi'er'zhi'shi'ming
却喜诗人吟不倦,que'xi'shi'ren'yin'bu'juan
却因锻炼通灵后,que'yin'duan'lian'tong'ling'hou
然玉之鄙意岂终,ran'yu'zhi'bi'yi'qi'zhong
让余脂粉,rang'yu'zhi'fen
绕堤柳借三篙翠,rao'di'liu'jie'san'gao'cui
绕篱欹石自沉音,rao'li'qi'shi'zi'chen'yin
绕烟塍而泣鬼,rao'yan'cheng'er'qi'gui
惹得纷纷口舌多,re'de'fen'fen'kou'she'duo
纫杜衡以为纕耶,ren'du'heng'yi'wei'xiang'ye
人间万姓仰头看,ren'jian'wan'xing'yang'tou'kan
忍捐弃余于尘埃也,ren'juan'qi'yu'yu'chen'ai'ye
人生莫受老来贫,ren'sheng'mo'shou'lao'lai'pin
任他点点与斑斑,ren'ta'dian'dian'yu'ban'ban
忍踏落花来复回,ren'ta'luo'hua'lai'fu'hui
任他随聚随分,ren'ta'sui'ju'sui'fen
人为悲秋易断魂,ren'wei'bei'qiu'yi'duan'hun
人向广寒奔,ren'xiang'guang'han'ben
忍淹留,ren'yan'liu
人与桃花隔不远,ren'yu'tao'hua'ge'bu'yuan
人语兮寂历,ren'yu'xi'ji'li
日边红杏倚云栽,ri'bian'hong'xing'yi'yun'zai
日照旌旗虎帐空,ri'zhao'jing'qi'hu'zhang'kong
蓉桂竞芳之月,rong'gui'jing'fang'zhi'yue
蓉帐香残,rong'zhang'xiang'can
肉儿小心肝,rou'er'xiao'xin'gan
揉碎桃花红满地玉山倾倒难再扶,rou'sui'tao'hua'hong'man'di'yu'shan'qing'dao'nan'zai'fu
柔拖一缕香,rou'tuo'yi'lv'xiang
如冰水好空相妒,ru'bing'shui'hao'kong'xiang'du
如何两鬓又成霜,ru'he'liang'bin'you'cheng'shuang
如何心事终虚化,ru'he'xin'shi'zhong'xu'hua
汝南泪血,ru'nan'lei'xue
入泥怜洁白,ru'ni'lian'jie'bai
入世冷挑红雪去,ru'shi'leng'tiao'hong'xue'qu
如斯之美也,ru'si'zhi'mei'ye
软衬三春草,ruan'chen'san'chun'cao
瑞释九重焦,rui'shi'jiu'chong'jiao
睿藻仙才盈彩笔,rui'zao'xian'cai'ying'cai'bi
若迟呵,ruo'chi'he
若飞若扬,ruo'fei'ruo'yang
若夫鸿蒙而居,ruo'fu'hong'meng'er'ju
若将人泪比桃花,ruo'jiang'ren'lei'bi'tao'hua
若蒙棹雪而来,ruo'meng'zhao'xue'er'lai
若说没奇缘,ruo'shuo'mei'qi'yuan
若说有奇缘,ruo'shuo'you'qi'yuan
若寤寐之栩栩,ruo'wu'mei'zhi'xu'xu
洒上空枝见血痕,sa'shang'kong'zhi'jian'xue'hen
撒天箕斗灿,sa'tian'ji'dou'can
撒盐是旧谣,sa'yan'shi'jiu'yao
塞瞽旷之耳,sai'gu'kuang'zhi'er
三春去后诸芳尽各自须寻各自门,san'chun'qu'hou'zhu'fang'jin'ge'zi'xu'xun'ge'zi'men
三春事业付东风,san'chun'shi'ye'fu'dong'feng
三春争及初春景,san'chun'zheng'ji'chu'chun'jing
三径香风飘玉蕙,san'jing'xiang'feng'piao'yu'hui
三齐位定盖棺时,san'qi'wei'ding'gai'guan'shi
三山半落青天外,san'shan'ban'luo'qing'tian'wai
散五彩,san'wu'cai
三五中秋夕,san'wu'zhong'qiu'xi
三月香巢初垒成,san'yue'xiang'chao'chu'lei'cheng
丧减情谊,sang'jian'qing'yi
桑榆燕子梁,sang'yu'yan'zi'liang
扫将新雪及时烹,sao'jiang'xin'xue'ji'shi'peng
色陈顑颔,se'chen'kan'han
色健茂金萱,se'jian'mao'jin'xuan
色岂畏霜凋,se'qi'wei'shuang'diao
纱窗也没有红娘报,sha'chuang'ye'mei'you'hong'niang'bao
擅风情,shan'feng'qing
山木自寇源泉自盗,shan'mu'zi'kou'yuan'quan'zi'dao
山水横拖千里外,shan'shui'heng'tuo'qian'li'wai
山中高士晶莹雪,shan'zhong'gao'shi'jing'ying'xue
闪灼文章,shan'zhuo'wen'zhang
赏罚无宾主,shang'fa'wu'bin'zhu
伤怀日,shang'huai'ri
上结着长生果,shang'jie'zhe'chang'sheng'guo
尚飨,shang'xiang
上有苍穹,shang'you'cang'qiong
韶华竟白头,shao'hua'jing'bai'tou
韶华胜极开到荼蘼花事了,shao'hua'sheng'ji'kai'dao'tu'mi'hua'shi'le
韶华休笑本无根,shao'hua'xiu'xiao'ben'wu'gen
射覆听三宣,she'fu'ting'san'xuan
麝兰芳霭斜阳院,she'lan'fang'ai'xie'yang'yuan
麝煤融宝鼎,she'mei'rong'bao'ding
谁人识苦甘,shei'ren'shi'ku'gan
身后有余忘缩手眼前无路想回头,shen'hou'you'yu'wang'suo'shou'yan'qian'wu'lu'xiang'hui'tou
甚荒唐,shen'huang'tang
身如束帛气如雷,shen'ru'shu'bo'qi'ru'lei
身是菩提树,shen'shi'pu'ti'shu
深庭长日静,shen'ting'zhang'ri'jing
身为下贱,shen'wei'xia'jian
神仙何幸下瑶台,shen'xian'he'xing'xia'yao'tai
神仙昨日降都门,shen'xian'zuo'ri'jiang'dou'men
深院惊寒雀,shen'yuan'jing'han'que
慎终追远,shen'zhong'zhui'yuan
身自端方,shen'zi'duan'fang
生侪兰蕙,sheng'chai'lan'hui
声传海外播戎羌,sheng'chuan'hai'wai'bo'rong'qiang
剩的一张六与幺,sheng'de'yi'zhang'liu'yu'yao
胜负自难先预定,sheng'fu'zi'nan'xian'yu'ding
生关死劫谁能躲,sheng'guan'si'jie'shui'neng'duo
笙簧盈耳,sheng'huang'ying'er
剩了二六八点齐,sheng'le'er'liu'ba'dian'qi
生前心已碎,sheng'qian'xin'yi'sui
盛世无饥馁,sheng'shi'wu'ji'nei
盛席华筵终散场,sheng'xi'hua'yan'zhong'san'chang
生于末世运偏消,sheng'yu'mo'shi'yun'pian'xiao
生于孰地,sheng'yu'shu'di
室霭檀云品御香,shi'ai'tan'yun'pin'yu'xiang
势败休云贵,shi'bai'xiu'yun'gui
拾翠盒于尘埃,shi'cui'he'yu'chen'ai
是方干净,shi'fang'gan'jing
时逢三五便团圆,shi'feng'san'wu'bian'tuan'yuan
是个庄家人罢,shi'ge'zhuang'jia'ren'ba
石椁成灾,shi'guo'cheng'zai
尸居余气杨公幕,shi'ju'yu'qi'yang'gong'mu
试看春残花渐落,shi'kan'chun'can'hua'jian'luo
试看晴空护玉盘,shi'kan'qing'kong'hu'yu'pan
实愧王嫱,shi'kui'wang'qiang
十里稻花香,shi'li'dao'hua'xiang
是立足境,shi'li'zu'jing
释莲心之味苦,shi'lian'xin'zhi'wei'ku
石楼闲睡鹤,shi'lou'xian'shui'he
时漏已三转,shi'lou'yi'san'zhuan
誓盟生死报前王,shi'meng'sheng'si'bao'qian'wang
世难容,shi'nan'rong
十年辛苦不寻常,shi'nian'xin'ku'bu'xun'chang
时凝翡翠翘,shi'ning'fei'cui'qiao
侍女金盆进水来,shi'nv'jin'pen'jin'shui'lai
视绮罗俗厌,shi'qi'luo'su'yan
石奇神鬼搏,shi'qi'shen'gui'bo
试遣愚衷,shi'qian'yu'zhong
实攘诟而终,shi'rang'gou'er'zhong
世人不及神仙乐,shi'ren'bu'ji'shen'xian'le
世人都晓神仙好,shi'ren'dou'xiao'shen'xian'hao
诗人助兴常思玩,shi'ren'zhu'xing'chang'si'wan
世事洞明皆学问人情练达即文章,shi'shi'dong'ming'jie'xue'wen'ren'qing'lian'da'ji'wen'zhang
时时勤拂拭,shi'shi'qin'fu'shi
事虽殊,shi'sui'shu
世外仙姝寂寞林,shi'wai'xian'shu'ji'mo'lin
世外仙源,shi'wai'xian'yuan
是无有证,shi'wu'you'zheng
始信黄土垄中,shi'xin'huang'tu'long'zhong
始信上帝委托权衡,shi'xin'shang'di'wei'tuo'quan'heng
诗余戏笔不知狂,shi'yu'xi'bi'bu'zhi'kuang
十月梅花岭上香,shi'yue'mei'hua'ling'shang'xiang
始知上帝垂旌,shi'zhi'shang'di'chui'jing
石中清流激湍,shi'zhong'qing'liu'ji'tuan
手把花锄出绣闺,shou'ba'hua'chu'chu'xiu'gui
寿宴开处风光好,shou'yan'kai'chu'feng'guang'hao
寿夭多因毁谤生,shou'yao'duo'yin'hui'bang'sheng
瘦月清霜梦有知,shou'yue'qing'shuang'meng'you'zhi
兽作咸池之舞,shou'zuo'xian'chi'zhi'wu
庶不负其所秉赋也,shu'bu'fu'qi'suo'bing'fu'ye
书成蕉叶文犹绿,shu'cheng'jiao'ye'wen'you'lv
梳化龙飞,shu'hua'long'fei
孰料鸠鸩恶其高,shu'liao'jiu'zhen'e'qi'gao
疏林如画,shu'lin'ru'hua
数去更无君傲世,shu'qu'geng'wu'jun'ao'shi
蔬食而遨游,shu'shi'er'ao'you
疏是枝条艳是花,shu'shi'zhi'tiao'yan'shi'hua
树头红叶翩翩,shu'tou'hong'ye'pian'pian
孰谓莲社之雄才,shu'wei'lian'she'zhi'xiong'cai
疏竹虚窗时滴沥,shu'zhu'xu'chuang'shi'di'li
衰草寒烟无限情,shuai'cao'han'yan'wu'xian'qing
衰草枯杨,shuai'cao'ku'yang
衰草闲花映浅池,shuai'cao'xian'hua'ying'qian'chi
霜矛雪剑娇难举,shuang'mao'xue'jian'jiao'nan'ju
霜前月下谁家种,shuang'qian'yue'xia'shui'jia'zhong
霜清纸帐来新梦,shuang'qing'zhi'zhang'lai'xin'meng
双双燕子语梁间,shuang'shuang'yan'zi'yu'liang'jian
霜晓寒姿竹篱茅舍自甘心,shuang'xiao'han'zi'zhu'li'mao'she'zi'gan'xin
双悬日月照乾坤,shuang'xuan'ri'yue'zhao'qian'kun
霜印传神梦也空,shuang'yin'chuan'shen'meng'ye'kong
双瞻御座引朝仪,shuang'zhan'yu'zuo'yin'chao'yi
霜重竹难扪,shuang'zhong'zhu'nan'men
谁把秋捱过,shui'ba'qiu'ai'guo
睡不稳纱窗风雨黄昏后,shui'bu'wen'sha'chuang'feng'yu'huang'hun'hou
谁承望流落在烟花巷,shui'cheng'wang'liu'luo'zai'yan'hua'xiang
水涸湘江,shui'he'xiang'jiang
谁家碧玉箫,shui'jia'bi'yu'xiao
谁家不启轩,shui'jia'bu'qi'xuan
谁家儿女不伤悲,shui'jia'er'nv'bu'shang'bei
谁家秋院无风入,shui'jia'qiu'yuan'wu'feng'ru
谁家香雪帘栊,shui'jia'xiang'xue'lian'long
谁解其中味,shui'jie'qi'zhong'wei
谁堪月下俦,shui'kan'yue'xia'chou
谁怜我为黄花病,shui'lian'wo'wei'huang'hua'bing
谁怜夭折,shui'lian'yao'zhe
睡去依依随雁断,shui'qu'yi'yi'sui'yan'duan
谁题忠义墓,shui'ti'zhong'yi'mu
水亭处处齐纨动,shui'ting'chu'chu'qi'wan'dong
谁谓池塘曲,shui'wei'chi'tang'qu
谁为情种,shui'wei'qing'zhong
水向石边流出冷,shui'xiang'shi'bian'liu'chu'leng
谁信世间有此境,shui'xin'shi'jian'you'ci'jing
水荇牵风翠带长,shui'xing'qian'feng'cui'dai'chang
谁续五丝之缕,shui'xu'wu'si'zhi'lv
谁知公子无缘,shui'zhi'gong'zi'wu'yuan
谁知娇养,shui'zhi'jiao'yang
睡足荼蘼梦也香,shui'zu'tu'mi'meng'ye'xiang
说不尽帘卷虾须,shuo'bu'jin'lian'juan'xia'xu
说风流,shuo'feng'liu
铄绝竽瑟,shuo'jue'yu'se
说什么,shuo'shen'me
说什么脂正浓,shuo'shen'me'zhi'zheng'nong
死后性空灵,si'hou'xing'kong'ling
斯可云证,si'ke'yun'zheng
死里逃生,si'li'tao'sheng
厮配得才貌仙郎,si'pei'de'cai'mao'xian'lang
似涉无稽,si'she'wu'ji
丝丝柳带露初干,si'si'liu'dai'lu'chu'gan
死辖芙蓉,si'xia'fu'rong
私向花园掏蟋蟀,si'xiang'hua'yuan'tao'xi'shuai
肆行无碍凭来去,si'xing'wu'ai'ping'lai'qu
私掖偷携强撮成,si'ye'tou'xie'qiang'cuo'cheng
似这般,si'zhe'ban
四者虽微,si'zhe'sui'wei
松生空谷,song'sheng'kong'gu
送我上青云,song'wo'shang'qing'yun
松影一庭惟见鹤,song'ying'yi'ting'wei'jian'he
素彩接乾坤,su'cai'jie'qian'kun
宿孽总因情,su'nie'zong'yin'qing
素女约于桂岩,su'nv'yue'yu'gui'yan
宿雨还添泪一痕,su'yu'hai'tian'lei'yi'hen
酸心无恨亦成灰,suan'xin'wu'hen'yi'cheng'hui
遂抱膏肓之疚,sui'bao'gao'huang'zhi'jiu
虽被夫人时吊起,sui'bei'fu'ren'shi'diao'qi
虽不能言,sui'bu'neng'yan
遂成千古之佳谈,sui'cheng'qian'gu'zhi'jia'tan
隋堤点缀无穷,sui'di'dian'zhui'wu'qiong
隋堤风景近如何,sui'di'feng'jing'jin'ru'he
随花飞到天尽头,sui'hua'fei'dao'tian'jin'tou
遂教美女习骑射,sui'jiao'mei'nv'xi'qi'she
虽临于兹,sui'lin'yu'zi
虽善无征,sui'shan'wu'zheng
虽是半天风雨过,sui'shi'ban'tian'feng'yu'guo
虽说是,sui'shuo'shi
虽无千金酬,sui'wu'qian'jin'chou
虽一时之偶兴,sui'yi'shi'zhi'ou'xing
所以迷眩缠陷天下者也,suo'yi'mi'xuan'chan'xian'tian'xia'zhe'ye
他年葬侬知是谁,ta'nian'zang'nong'zhi'shi'shui
苔翠盈铺雨后盆,tai'cui'ying'pu'yu'hou'pen
太平不易之元,tai'ping'bu'yi'zhi'yuan
苔锁石纹容睡鹤,tai'suo'shi'wen'rong'shui'he
叹芳魂艳魄,tan'fang'hun'yan'po
叹今生谁舍谁收,tan'jin'sheng'shui'she'shui'shou
毯铺鱼獭,tan'pu'yu'ta
弹琴酌酒喜堪俦,tan'qin'zhuo'jiu'xi'kan'chou
叹人间,tan'ren'jian
叹人世,tan'ren'shi
桃红柳绿待如何,tao'hong'liu'lv'dai'ru'he
桃花带雨浓,tao'hua'dai'yu'nong
桃花帘内晨妆懒,tao'hua'lian'nei'chen'zhuang'lan
桃花帘外东风软,tao'hua'lian'wai'dong'feng'ruan
桃花帘外开仍旧,tao'hua'lian'wai'kai'reng'jiu
桃花桃叶乱纷纷,tao'hua'tao'ye'luan'fen'fen
桃李春风结子完,tao'li'chun'feng'jie'zi'wan
桃李明年能再发,tao'li'ming'nian'neng'zai'fa
讨岂从宽,tao'qi'cong'kuan
饕餮王孙应有酒,tao'tie'wang'sun'ying'you'jiu
桃未芳菲杏未红,tao'wei'fang'fei'xing'wei'hong
桃枝桃叶总分离,tao'zhi'tao'ye'zong'fen'li
桃之夭夭,tao'zhi'yao'yao
特不揣鄙俗之词,te'bu'chuai'bi'su'zhi'ci
剃度在莲台下,ti'du'zai'lian'tai'xia
啼谷一声猿,ti'gu'yi'sheng'yuan
剔银灯同入鸳帏俏,ti'yin'deng'tong'ru'yuan'wei'qiao
擿玉毁珠,ti'yu'hui'zhu
体自坚硬,ti'zi'jian'ying
天不拘兮地不羁,tian'bu'ju'xi'di'bu'ji
天地启宏慈赤子苍头同感戴,tian'di'qi'hong'ci'chi'zi'cang'tou'tong'gan'dai
天何如是之苍苍兮,tian'he'ru'shi'zhi'cang'cang'xi
天机断缟带,tian'ji'duan'gao'dai
天机烧破鸳鸯锦,tian'ji'shao'po'yuan'yang'jin
天尽头,tian'jin'tou
添来景物新,tian'lai'jing'wu'xin
天籁兮筼筜,tian'lai'xi'yun'dang
天伦呵,tian'lun'he
天上人间两渺茫,tian'shang'ren'jian'liang'miao'mang
天上人间诸景备,tian'shang'ren'jian'zhu'jing'bei
天上夭桃盛,tian'shang'yao'tao'sheng
天上一轮才捧出,tian'shang'yi'lun'cai'peng'chu
天生成孤癖人皆罕,tian'sheng'cheng'gu'pi'ren'jie'han
天下无能第一,tian'xia'wu'neng'di'yi
天有不测风云人有旦夕祸福,tian'you'bu'ce'feng'yun'ren'you'dan'xi'huo'fu
天运人功理不穷,tian'yun'ren'gong'li'bu'qiong
天子惊慌愁失守,tian'zi'jing'huang'chou'shi'shou
跳脱秋生腕底香,tiao'tuo'qiu'sheng'wan'di'xiang
铁笛无烦说子房,tie'di'wu'fan'shuo'zi'fang
铁甲长戈死未忘,tie'jia'chang'ge'si'wei'wang
铁甲无声夜气凉,tie'jia'wu'sheng'ye'qi'liang
听车轨而伊轧兮,ting'che'gui'er'yi'ya'xi
听环佩之铿锵,ting'huan'pei'zhi'keng'qiang
庭燎烧空,ting'liao'shao'kong
庭前春色倍伤情,ting'qian'chun'se'bei'shang'qing
听谯楼鼓敲,ting'qiao'lou'gu'qiao
听小婢之言,ting'xiao'bi'zhi'yan
庭烟敛夕棔,ting'yan'lian'xi'hun
桐阶月暗,tong'jie'yue'an
铜铸金镛振纪纲,tong'zhu'jin'yong'zhen'ji'gang
头白溪边尚浣纱,tou'bai'xi'bian'shang'huan'sha
骰彩红成点,tou'cai'hong'cheng'dian
偷来梨蕊三分白,tou'lai'li'rui'san'fen'bai
头上有青天,tou'shang'you'qing'tian
头胎养了双生子,tou'tai'yang'le'shuang'sheng'zi
投辖攀援,tou'xia'pan'yuan
偷下瑶池脱旧胎,tou'xia'yao'chi'tuo'jiu'tai
徒噭噭而何为耶,tu'chi'chi'er'he'wei'ye
徒垂络络丝,tu'chui'luo'luo'si
徒留名姓载空舟,tu'liu'ming'xing'zai'kong'zhou
徒悬七夕之针,tu'xuan'qi'xi'zhi'zhen
团圆莫忆春香到,tuan'yuan'mo'yi'chun'xiang'dao
瓦砾明珠一例抛,wa'li'ming'zhu'yi'li'pao
万里安能制夷狄,wan'li'an'neng'zhi'yi'di
万里寒云雁阵迟,wan'li'han'yun'yan'zhen'chi
万缕千丝终不改,wan'lv'qian'si'zhong'bu'gai
晚韶华,wan'shao'hua
万象争辉,wan'xiang'zheng'hui
忘不了新愁与旧愁,wang'bu'liao'xin'chou'yu'jiu'chou
枉费了,wang'fei'le
望家乡,wang'jia'xiang
枉凝眉,wang'ning'mei
枉入红尘若许年,wang'ru'hong'chen'ruo'xu'nian
望伞盖之陆离兮,wang'san'gai'zhi'lu'li'xi
望舒月以离耶,wang'shu'yue'yi'li'ye
王帅天兵思剿灭,wang'shuai'tian'bing'si'jiao'mie
枉送了性命,wang'song'le'xing'ming
王孙公子叹无缘,wang'sun'gong'zi'tan'wu'yuan
枉与他人作笑谈,wang'yu'ta'ren'zuo'xiao'tan
枉自温柔和顺,wang'zi'wen'rou'he'shun
未报身犹在,wei'bao'shen'you'zai
未卜侬身何日丧,wei'bu'nong'shen'he'ri'sang
未卜三生愿,wei'bu'san'sheng'yuan
未防风露所欺,wei'fang'feng'lu'suo'qi
为官的,wei'guan'de
威赫赫爵禄高登,wei'he'he'jue'lu'gao'deng
委金钿于草莽,wei'jin'dian'yu'cao'mang
为乞嫦娥槛外梅,wei'qi'chang'e'kan'wai'mei
未若锦囊收艳骨,wei'ruo'jin'nang'shou'yan'gu
苇蓑犹泊钓,wei'suo'you'bo'diao
卫危虚于傍耶,wei'wei'xu'yu'bang'ye
未许凡人到此来,wei'xu'fan'ren'dao'ci'lai
惟有功名忘不了,wei'you'gong'ming'wang'bu'liao
慰语重阳会有期,wei'yu'chong'yang'hui'you'qi
文瓟瓠以为觶斝兮,wen'bo'hu'yi'wei'zhi'jia'xi
文采风流,wen'cai'feng'liu
文风已著宸游夕,wen'feng'yi'zhu'chen'you'xi
闻馥郁而薆然兮,wen'fu'yu'er'ai'ran'xi
问古来将相可还存,wen'gu'lai'jiang'xiang'ke'hai'cun
问菊,wen'ju
温柔一旦付东洋,wen'rou'yi'dan'fu'dong'yang
闻麝兰之馥郁,wen'she'lan'zhi'fu'yu
问谁幻入华胥境,wen'shui'huan'ru'hua'xu'jing
闻说道,wen'shuo'dao
文章造化,wen'zhang'zao'hua
我本无缘卿何薄命,wo'ben'wu'yuan'qing'he'bo'ming
我不开了你怎么钻,wo'bu'kai'le'ni'zen'me'zuan
我说的话儿你全不信,wo'shuo'de'hua'er'ni'quan'bu'xin
我为四娘长太息,wo'wei'si'niang'chang'tai'xi
我也无回话,wo'ye'wu'hui'hua
物不平则鸣,wu'bu'ping'ze'ming
无材可去补苍天,wu'cai'ke'qu'bu'cang'tian
无才思之情矣,wu'cai'si'zhi'qing'yi
无愁意岂烦,wu'chou'yi'qi'fan
无端被诏出凡尘,wu'duan'bei'zhao'chu'fan'chen
无端弄笔是何人,wu'duan'nong'bi'shi'he'ren
无非蟋蟀,wu'fei'xi'shuai
无风仍脉脉,wu'feng'reng'mo'mo
无复相疑色相差,wu'fu'xiang'yi'se'xiang'cha
吴宫空自忆儿家,wu'gong'kong'zi'yi'er'jia
无故寻愁觅恨,wu'gu'xun'chou'mi'hen
雾裹烟封一万株,wu'guo'yan'feng'yi'wan'zhu
呜呼,wu'hu
呜呼哀哉,wu'hu'ai'zai
务结二三同志盘桓于其中,wu'jie'er'san'tong'zhi'pan'huan'yu'qi'zhong
无可奈何之日,wu'ke'nai'he'zhi'ri
无可云证,wu'ke'yun'zheng
无赖诗魔昏晓侵,wu'lai'shi'mo'hun'xiao'qin
无立足境,wu'li'zu'jing
无恋爱之心矣,wu'lian'ai'zhi'xin'yi
武陵别景桃红又是一年春,wu'ling'bie'jing'tao'hong'you'shi'yi'nian'chun
无奈虚廊夜色昏,wu'nai'xu'lang'ye'se'hun
无能者无所求,wu'neng'zhe'wu'suo'qiu
无钱去打桂花油,wu'qian'qu'da'gui'hua'you
无情的,wu'qing'de
