阿米芹属,a'mi'qin'shu
肉果草属,rou'guo'cao'shu
肉果兰属,rou'guo'lan'shu
肉菊属,rou'ju'shu
肉兰属,rou'lan'shu
肉珊瑚属,rou'shan'hu'shu
肉实树属,rou'shi'shu'shu
肉穗草属,rou'sui'cao'shu
肉托果属,rou'tuo'guo'shu
肉药兰属,rou'yao'lan'shu
肉叶荠属,rou'ye'ji'shu
乳豆属,ru'dou'shu
乳苣属,ru'ju'shu
乳突果属,ru'tu'guo'shu
乳菀属,ru'wan'shu
软荚豆属,ruan'jia'dou'shu
蕊木属,rui'mu'shu
瑞香科,rui'xiang'ke
瑞香属,rui'xiang'shu
润肺草属,run'fei'cao'shu
润楠属,run'nan'shu
箬竹属,ruo'zhu'shu
赛金莲木属,sai'jin'lian'mu'shu
赛葵属,sai'kui'shu
赛莨菪属,sai'lang'dang'shu
赛楠属,sai'nan'shu
赛山蓝属,sai'shan'lan'shu
三白草科,san'bai'cao'ke
三白草属,san'bai'cao'shu
三瓣果属,san'ban'guo'shu
三宝木属,san'bao'mu'shu
三叉刺属,san'cha'ci'shu
三翅萼属,san'chi'e'shu
伞花木属,san'hua'mu'shu
三尖杉科,san'jian'shan'ke
三尖杉属,san'jian'shan'shu
三角草属,san'jiao'cao'shu
三角车属,san'jiao'che'shu
三肋果属,san'lei'guo'shu
三棱瓜属,san'leng'gua'shu
三棱栎属,san'leng'li'shu
三裂瓜属,san'lie'gua'shu
三芒草属,san'mang'cao'shu
三毛草属,san'mao'cao'shu
散沫花属,san'mo'hua'shu
三蕊草属,san'rui'cao'shu
三蕊兰属,san'rui'lan'shu
散尾葵属,san'wei'kui'shu
三星果属,san'xing'guo'shu
伞形科,san'xing'ke
散血丹属,san'xue'dan'shu
三叶漆属,san'ye'qi'shu
三叶藤橘属,san'ye'teng'ju'shu
桑寄生科,sang'ji'sheng'ke
桑寄生属,sang'ji'sheng'shu
桑科,sang'ke
桑属,sang'shu
扫把蕨属,sao'ba'jue'shu
色萼花属,se'e'hua'shu
涩荠属,se'ji'shu
沙鞭属,sha'bian'shu
莎草科,sha'cao'ke
莎草属,sha'cao'shu
沙冬青属,sha'dong'qing'shu
沙拐枣属,sha'guai'zao'shu
莎禾属,sha'he'shu
沙戟属,sha'ji'shu
沙棘属,sha'ji'shu
沙芥属,sha'jie'shu
沙晶兰属,sha'jing'lan'shu
沙苦荬属,sha'ku'mai'shu
沙蓬属,sha'peng'shu
沙皮蕨属,sha'pi'jue'shu
沙参属,sha'shen'shu
沙穗属,sha'sui'shu
莎菀属,sha'wan'shu
砂苋属,sha'xian'shu
砂引草属,sha'yin'cao'shu
沙针属,sha'zhen'shu
山白树属,shan'bai'shu'shu
山槟榔属,shan'bing'lang'shu
山茶科,shan'cha'ke
山茶属,shan'cha'shu
山橙属,shan'cheng'shu
山慈姑属,shan'ci'gu'shu
山靛属,shan'dian'shu
山豆根属,shan'dou'gen'shu
山矾科,shan'fan'ke
山矾属,shan'fan'shu
山柑属,shan'gan'shu
山柑藤属,shan'gan'teng'shu
山拐枣属,shan'guai'zao'shu
山桂花属,shan'gui'hua'shu
山核桃属,shan'he'tao'shu
山荷叶属,shan'he'ye'shu
山黑豆属,shan'hei'dou'shu
山红树属,shan'hong'shu'shu
珊瑚菜属,shan'hu'cai'shu
珊瑚花属,shan'hu'hua'shu
山胡椒属,shan'hu'jiao'shu
珊瑚苣苔属,shan'hu'ju'tai'shu
珊瑚兰属,shan'hu'lan'shu
山黄菊属,shan'huang'ju'shu
山黄麻属,shan'huang'ma'shu
山茴香属,shan'hui'xiang'shu
山鸡谷草属,shan'ji'gu'cao'shu
山涧草属,shan'jian'cao'shu
山菅属,shan'jian'shu
山姜属,shan'jiang'shu
山芥属,shan'jie'shu
扇蕨属,shan'jue'shu
杉科,shan'ke
山壳骨属,shan'ke'gu'shu
山榄科,shan'lan'ke
山兰属,shan'lan'shu
山榄属,shan'lan'shu
山黧豆属,shan'li'dou'shu
山楝属,shan'lian'shu
山莨菪属,shan'liang'dang'shu
山蓼属,shan'liao'shu
山柳菊属,shan'liu'ju'shu
山龙眼科,shan'long'yan'ke
山龙眼属,shan'long'yan'shu
山罗花属,shan'luo'hua'shu
山麻杆属,shan'ma'gan'shu
山蚂蝗属,shan'ma'huang'shu
山麻树属,shan'ma'shu'shu
山麦冬属,shan'mai'dong'shu
山莓草属,shan'mei'cao'shu
山梅花属,shan'mei'hua'shu
山茉莉芹属,shan'mo'li'qin'shu
山茉莉属,shan'mo'li'shu
杉木属,shan'mu'shu
山柰属,shan'nai'shu
山牛蒡属,shan'niu'bang'shu
山牵牛属,shan'qian'niu'shu
山茄子属,shan'qie'zi'shu
山芹属,shan'qin'shu
山珊瑚属,shan'shan'hu'shu
山檨子属,shan'she'zi'shu
山石榴属,shan'shi'liu'shu
扇穗茅属,shan'sui'mao'shu
山桃草属,shan'tao'cao'shu
鳝藤属,shan'teng'shu
山铜材属,shan'tong'cai'shu
山桐子属,shan'tong'zi'shu
山莴苣属,shan'wo'ju'shu
山香属,shan'xiang'shu
山香圆属,shan'xiang'yuan'shu
山小橘属,shan'xiao'ju'shu
山芎属,shan'xiong'shu
山芫荽属,shan'yan'sui'shu
山羊草属,shan'yang'cao'shu
山羊豆属,shan'yang'dou'shu
山羊角树属,shan'yang'jiao'shu'shu
杉叶杜属,shan'ye'du'shu
杉叶藻科,shan'ye'zao'ke
杉叶藻属,shan'ye'zao'shu
山一笼鸡属,shan'yi'long'ji'shu
山油柑属,shan'you'gan'shu
山柚子科,shan'you'zi'ke
山柚子属,shan'you'zi'shu
山萮菜属,shan'yu'cai'shu
山楂属,shan'zha'shu
山芝麻属,shan'zhi'ma'shu
山茱萸科,shan'zhu'yu'ke
山茱萸属,shan'zhu'yu'shu
山紫茉莉属,shan'zi'mo'li'shu
商陆科,shang'lu'ke
商陆属,shang'lu'shu
上树南星属,shang'shu'nan'xing'shu
少穗竹属,shao'sui'zhu'shu
芍药属,shao'yao'shu
韶子属,shao'zi'shu
蛇床属,she'chuang'shu
舌唇兰属,she'chun'lan'shu
蛇根草属,she'gen'cao'shu
蛇根叶属,she'gen'ye'shu
蛇菰科,she'gu'ke
蛇菰属,she'gu'shu
舌喙兰属,she'hui'lan'shu
舌蕨科,she'jue'ke
舌蕨属,she'jue'shu
蛇莓属,she'mei'shu
蛇目菊属,she'mu'ju'shu
蛇皮果属,she'pi'guo'shu
蛇婆子属,she'po'zi'shu
蛇葡萄属,she'pu'tao'shu
蛇舌兰属,she'she'lan'shu
蛇藤属,she'teng'shu
蛇头荠属,she'tou'ji'shu
蛇尾草属,she'wei'cao'shu
舌柱麻属,she'zhu'ma'shu
肾苞草属,shen'bao'cao'shu
肾茶属,shen'cha'shu
肾蕨科,shen'jue'ke
肾蕨属,shen'jue'shu
神香草属,shen'xiang'cao'shu
省沽油科,sheng'gu'you'ke
省沽油属,sheng'gu'you'shu
圣蕨属,sheng'jue'shu
升麻属,sheng'ma'shu
省藤属,sheng'teng'shu
石斑木属,shi'ban'mu'shu
石笔木属,shi'bi'mu'shu
矢车菊属,shi'che'ju'shu
十齿花属,shi'chi'hua'shu
匙唇兰属,shi'chun'lan'shu
湿唇兰属,shi'chun'lan'shu
十大功劳属,shi'da'gong'lao'shu
石丁香属,shi'ding'xiang'shu
石豆兰属,shi'dou'lan'shu
石盖蕨属,shi'gai'jue'shu
石柑属,shi'gan'shu
匙羹藤属,shi'geng'teng'shu
石海椒属,shi'hai'jiao'shu
石核木属,shi'he'mu'shu
石蝴蝶属,shi'hu'die'shu
石斛属,shi'hu'shu
石胡荽属,shi'hu'sui'shu
匙荠属,shi'ji'shu
石荠苎属,shi'ji'zhu'shu
石椒草属,shi'jiao'cao'shu
实蕨科,shi'jue'ke
实蕨属,shi'jue'shu
石蕨属,shi'jue'shu
使君子科,shi'jun'zi'ke
使君子属,shi'jun'zi'shu
石栗属,shi'li'shu
石莲属,shi'lian'shu
十裂葵属,shi'lie'kui'shu
石榴科,shi'liu'ke
石榴属,shi'liu'shu
石龙刍属,shi'long'chu'shu
石龙尾属,shi'long'wei'shu
石萝藦属,shi'luo'mo'shu
莳萝属,shi'luo'shu
螫毛果属,shi'mao'guo'shu
石楠属,shi'nan'shu
石山苣苔属,shi'shan'ju'tai'shu
石山棕属,shi'shan'zong'shu
蓍属,shi'shu
柿树科,shi'shu'ke
柿树属,shi'shu'shu
石蒜科,shi'suan'ke
石蒜属,shi'suan'shu
石头花属,shi'tou'hua'shu
十万错属,shi'wan'cuo'shu
世纬苣苔属,shi'wei'ju'tai'shu
石韦属,shi'wei'shu
石仙桃属,shi'xian'tao'shu
匙叶草属,shi'ye'cao'shu
石竹科,shi'zhu'ke
矢竹属,shi'zhu'shu
石竹属,shi'zhu'shu
十字花科,shi'zi'hua'ke
十字苣苔属,shi'zi'ju'tai'shu
石梓属,shi'zi'shu
绶草属,shou'cao'shu
瘦房兰属,shou'fang'lan'shu
守宫木属,shou'gong'mu'shu
手参属,shou'shen'shu
鼠鞭草属,shu'bian'cao'shu
树参属,shu'can'shu
鼠刺属,shu'ci'shu
书带蕨科,shu'dai'jue'ke
书带蕨属,shu'dai'jue'shu
鼠耳芥属,shu'er'jie'shu
树番茄属,shu'fan'qie'shu
蜀葵属,shu'kui'shu
鼠李科,shu'li'ke
鼠李属,shu'li'shu
树萝卜属,shu'luo'bo'shu
鼠毛菊属,shu'mao'ju'shu
鼠茅属,shu'mao'shu
曙南芥属,shu'nan'jie'shu
鼠皮树属,shu'pi'shu'shu
鼠麴草属,shu'qu'cao'shu
黍属,shu'shu
鼠尾草属,shu'wei'cao'shu
束尾草属,shu'wei'cao'shu
鼠尾粟属,shu'wei'su'shu
薯蓣科,shu'yu'ke
薯蓣属,shu'yu'shu
栓果菊属,shuan'guo'ju'shu
栓果芹属,shuan'guo'qin'shu
双参属,shuang'can'shu
双唇蕨属,shuang'chun'jue'shu
双唇兰属,shuang'chun'lan'shu
双袋兰属,shuang'dai'lan'shu
双盾木属,shuang'dun'mu'shu
双稃草属,shuang'fu'cao'shu
双盖蕨属,shuang'gai'jue'shu
双果荠属,shuang'guo'ji'shu
双蝴蝶属,shuang'hu'die'shu
双花草属,shuang'hua'cao'shu
双花木属,shuang'hua'mu'shu
双脊荠属,shuang'ji'ji'shu
双角草属,shuang'jiao'cao'shu
双片苣苔属,shuang'pian'ju'tai'shu
双球芹属,shuang'qiu'qin'shu
双蕊兰属,shuang'rui'lan'shu
双扇蕨科,shuang'shan'jue'ke
双扇蕨属,shuang'shan'jue'shu
双药芒属,shuang'yao'mang'shu
双柱紫草属,shuang'zhu'zi'cao'shu
水八角属,shui'ba'jiao'shu
水柏枝属,shui'bai'zhi'shu
水鳖蕨属,shui'bie'jue'shu
水鳖科,shui'bie'ke
水鳖属,shui'bie'shu
睡菜属,shui'cai'shu
水车前属,shui'che'qian'shu
水东哥属,shui'dong'ge'shu
水飞蓟属,shui'fei'ji'shu
水甘草属,shui'gan'cao'shu
水鬼蕉属,shui'gui'jiao'shu
水禾属,shui'he'shu
水黄皮属,shui'huang'pi'shu
水茴草属,shui'hui'cao'shu
水棘针属,shui'ji'zhen'shu
睡茄属,shui'jia'shu
水角属,shui'jiao'shu
水锦树属,shui'jin'shu'shu
水晶兰属,shui'jing'lan'shu
水蕨科,shui'jue'ke
水蕨属,shui'jue'shu
水蜡烛属,shui'la'zhu'shu
睡莲科,shui'lian'ke
睡莲属,shui'lian'shu
水柳属,shui'liu'shu
水龙骨科,shui'long'gu'ke
水龙骨属,shui'long'gu'shu
水马齿科,shui'ma'chi'ke
水马齿属,shui'ma'chi'shu
水麻属,shui'ma'shu
水麦冬属,shui'mai'dong'shu
水茫草属,shui'mang'cao'shu
水毛茛属,shui'mao'gen'shu
水茅属,shui'mao'shu
水芹属,shui'qin'shu
水青冈属,shui'qing'gang'shu
水莎草属,shui'sha'cao'shu
水筛属,shui'shai'shu
水杉属,shui'shan'shu
水蛇麻属,shui'she'ma'shu
水石衣属,shui'shi'yi'shu
水丝梨属,shui'si'li'shu
水丝麻属,shui'si'ma'shu
水松属,shui'song'shu
水苏属,shui'su'shu
水蓑衣属,shui'suo'yi'shu
水塔花属,shui'ta'hua'shu
水团花属,shui'tuan'hua'shu
水蕹科,shui'weng'ke
水蕹属,shui'weng'shu
水翁属,shui'weng'shu
水蜈蚣属,shui'wu'gong'shu
水苋菜属,shui'xian'cai'shu
水仙属,shui'xian'shu
水椰属,shui'ye'shu
水芋属,shui'yu'shu
水玉簪科,shui'yu'zan'ke
水玉簪属,shui'yu'zan'shu
水芫花属,shui'yuan'hua'shu
水蔗草属,shui'zhe'cao'shu
水竹叶属,shui'zhu'ye'shu
蒴莲属,shuo'lian'shu
丝瓣芹属,si'ban'qin'shu
四苞蓝属,si'bao'lan'shu
四齿芥属,si'chi'jie'shu
丝带蕨属,si'dai'jue'shu
四带芹属,si'dai'qin'shu
丝粉藻属,si'fen'zao'shu
四福花属,si'fu'hua'shu
丝瓜属,si'gua'shu
四合木属,si'he'mu'shu
丝葵属,si'kui'shu
丝兰属,si'lan'shu
四棱草属,si'leng'cao'shu
四棱豆属,si'leng'dou'shu
四棱荠属,si'leng'ji'shu
四轮香属,si'lun'xiang'shu
四脉麻属,si'mai'ma'shu
思茅藤属,si'mao'teng'shu
四数苣苔属,si'shu'ju'tai'shu
四数木科,si'shu'mu'ke
四数木属,si'shu'mu'shu
四药门花属,si'yao'men'hua'shu
丝叶芥属,si'ye'jie'shu
丝叶芹属,si'ye'qin'shu
四照花属,si'zhao'hua'shu
嵩草属,song'cao'shu
松蒿属,song'hao'shu
松科,song'ke
菘蓝属,song'lan'shu
松毛翠属,song'mao'cui'shu
松属,song'shu
溲疏属,sou'shu'shu
宿苞豆属,su'bao'dou'shu
宿苞兰属,su'bao'lan'shu
粟草属,su'cao'shu
宿萼木属,su'e'mu'shu
粟米草属,su'mi'cao'shu
苏铁蕨属,su'tie'jue'shu
苏铁科,su'tie'ke
苏铁属,su'tie'shu
素馨属,su'xin'shu
酸豆属,suan'dou'shu
酸浆属,suan'jiang'shu
酸脚杆属,suan'jiao'gan'shu
酸蔹藤属,suan'lian'teng'shu
酸模芒属,suan'mo'mang'shu
酸模属,suan'mo'shu
算盘子属,suan'pan'zi'shu
酸藤子属,suan'teng'zi'shu
蒜头果属,suan'tou'guo'shu
酸味子属,suan'wei'zi'shu
算珠豆属,suan'zhu'dou'shu
酸竹属,suan'zhu'shu
穗花韭属,sui'hua'jiu'shu
穗花杉属,sui'hua'shan'shu
碎米荠属,sui'mi'ji'shu
碎米蕨属,sui'mi'jue'shu
笋兰属,sun'lan'shu
莎草蕨科,suo'cao'jue'ke
莎草蕨属,suo'cao'jue'shu
梭罗树属,suo'luo'shu'shu
唢呐草属,suo'na'cao'shu
梭梭属,suo'suo'shu
锁阳科,suo'yang'ke
锁阳属,suo'yang'shu
薹草属,tai'cao'shu
太行花属,tai'hang'hua'shu
太行菊属,tai'hang'ju'shu
泰来藻属,tai'lai'zao'shu
台闽苣苔属,tai'min'ju'tai'shu
台钱草属,tai'qian'cao'shu
台湾杉属,tai'wan'shan'shu
台湾山柚属,tai'wan'shan'you'shu
泰竹属,tai'zhu'shu
坛花兰属,tan'hua'lan'shu
昙花属,tan'hua'shu
檀栗属,tan'li'shu
檀梨属,tan'li'shu
檀香科,tan'xiang'ke
檀香属,tan'xiang'shu
唐菖蒲属,tang'chang'pu'shu
唐棣属,tang'di'shu
糖芥属,tang'jie'shu
糖蜜草属,tang'mi'cao'shu
唐松草属,tang'song'cao'shu
唐竹属,tang'zhu'shu
糖棕属,tang'zong'shu
桃儿七属,tao'er'qi'shu
桃花心木属,tao'hua'xin'mu'shu
桃金娘科,tao'jin'niang'ke
桃金娘属,tao'jin'niang'shu
桃榄属,tao'lan'shu
桃属,tao'shu
套叶兰属,tao'ye'lan'shu
桃叶珊瑚属,tao'ye'shan'hu'shu
藤春属,teng'chun'shu
藤荷包牡丹属,teng'he'bao'mu'dan'shu
藤槐属,teng'huai'shu
藤黄科,teng'huang'ke
藤黄属,teng'huang'shu
藤菊属,teng'ju'shu
藤蕨科,teng'jue'ke
藤蕨属,teng'jue'shu
藤铃儿草属,teng'ling'er'cao'shu
藤露兜树属,teng'lu'dou'shu'shu
藤麻属,teng'ma'shu
藤牡丹属,teng'mu'dan'shu
藤漆属,teng'qi'shu
藤山柳属,teng'shan'liu'shu
藤芋属,teng'yu'shu
藤枣属,teng'zao'shu
蹄盖蕨科,ti'gai'jue'ke
蹄盖蕨属,ti'gai'jue'shu
梯牧草属,ti'mu'cao'shu
甜菜属,tian'cai'shu
田葱科,tian'cong'ke
田葱属,tian'cong'shu
田繁缕属,tian'fan'lv'shu
天胡荽属,tian'hu'sui'shu
田基黄属,tian'ji'huang'shu
田基麻科,tian'ji'ma'ke
田基麻属,tian'ji'ma'shu
天芥菜属,tian'jie'cai'shu
田菁属,tian'jing'shu
天葵属,tian'kui'shu
天蓝绣球属,tian'lan'xiu'qiu'shu
天料木属,tian'liao'mu'shu
天麻属,tian'ma'shu
田麻属,tian'ma'shu
甜茅属,tian'mao'shu
天门冬属,tian'men'dong'shu
天名精属,tian'ming'jing'shu
天南星科,tian'nan'xing'ke
天南星属,tian'nan'xing'shu
天蓬子属,tian'peng'zi'shu
天人菊属,tian'ren'ju'shu
天山蓍属,tian'shan'shi'shu
天山泽芹属,tian'shan'ze'qin'shu
天仙藤属,tian'xian'teng'shu
天仙子属,tian'xian'zi'shu
天星蕨科,tian'xing'jue'ke
天星蕨属,tian'xing'jue'shu
天星藤属,tian'xing'teng'shu
天竺葵属,tian'zhu'kui'shu
条果芥属,tiao'guo'jie'shu
条蕨科,tiao'jue'ke
条蕨属,tiao'jue'shu
铁角蕨科,tie'jiao'jue'ke
铁角蕨属,tie'jiao'jue'shu
铁筷子属,tie'kuai'zi'shu
铁榄属,tie'lan'shu
铁力木属,tie'li'mu'shu
铁木属,tie'mu'shu
铁破锣属,tie'po'luo'shu
铁青树科,tie'qing'shu'ke
铁青树属,tie'qing'shu'shu
铁杉属,tie'shan'shu
铁苋菜属,tie'xian'cai'shu
铁线蕨科,tie'xian'jue'ke
铁线蕨属,tie'xian'jue'shu
铁线莲属,tie'xian'lian'shu
铁线子属,tie'xian'zi'shu
铁竹属,tie'zhu'shu
铁仔属,tie'zi'shu
庭菖蒲属,ting'chang'pu'shu
庭荠属,ting'ji'shu
葶菊属,ting'ju'shu
葶苈属,ting'li'shu
莛子藨属,ting'zi'biao'shu
筒瓣兰属,tong'ban'lan'shu
铜锤玉带属,tong'chui'yu'dai'shu
筒冠花属,tong'guan'hua'shu
茼蒿属,tong'hao'shu
筒花苣苔属,tong'hua'ju'tai'shu
筒距兰属,tong'ju'lan'shu
桐棉属,tong'mian'shu
铜钱树属,tong'qian'shu'shu
通泉草属,tong'quan'cao'shu
通脱木属,tong'tuo'mu'shu
同心结属,tong'xin'jie'shu
同钟花属,tong'zhong'hua'shu
筒轴茅属,tong'zhou'mao'shu
透骨草科,tou'gu'cao'ke
透骨草属,tou'gu'cao'shu
头九节属,tou'jiu'jie'shu
头蕊兰属,tou'rui'lan'shu
头嘴菊属,tou'zui'ju'shu
秃疮花属,tu'chuang'hua'shu
兔唇花属,tu'chun'hua'shu
土丁桂属,tu'ding'gui'shu
兔耳草属,tu'er'cao'shu
兔儿风属,tu'er'feng'shu
兔儿伞属,tu'er'san'shu
土黄芪属,tu'huang'qi'shu
菟葵属,tu'kui'shu
土连翘属,tu'lian'qiao'shu
土圞儿属,tu'luan'er'shu
土蜜树属,tu'mi'shu'shu
土楠属,tu'nan'shu
土人参属,tu'ren'shen'shu
菟丝子属,tu'si'zi'shu
土田七属,tu'tian'qi'shu
凸轴蕨属,tu'zhou'jue'shu
团花属,tuan'hua'shu
团扇荠属,tuan'shan'ji'shu
团扇蕨属,tuan'shan'jue'shu
豚草属,tun'cao'shu
臀果木属,tun'guo'mu'shu
驼峰藤属,tuo'feng'teng'shu
脱喙荠属,tuo'hui'ji'shu
陀螺果属,tuo'luo'guo'shu
驼绒藜属,tuo'rong'li'shu
驼舌草属,tuo'she'cao'shu
驼蹄瓣属,tuo'ti'ban'shu
橐吾属,tuo'wu'shu
洼瓣花属,wa'ban'hua'shu
娃儿藤属,wa'er'teng'shu
瓦理棕属,wa'li'zong'shu
瓦莲属,wa'lian'shu
瓦松属,wa'song'shu
瓦韦属,wa'wei'shu
万代兰属,wan'dai'lan'shu
豌豆属,wan'dou'shu
弯梗芥属,wan'geng'jie'shu
弯管花属,wan'guan'hua'shu
碗蕨属,wan'jue'shu
万年青属,wan'nian'qing'shu
弯蕊芥属,wan'rui'jie'shu
万寿菊属,wan'shou'ju'shu
万寿竹属,wan'shou'zhu'shu
弯穗草属,wan'sui'cao'shu
晚香玉属,wan'xiang'yu'shu
菵草属,wang'cao'shu
网萼木属,wang'e'mu'shu
网蕨属,wang'jue'shu
网球花属,wang'qiu'hua'shu
网藤蕨属,wang'teng'jue'shu
网籽草属,wang'zi'cao'shu
王棕属,wang'zong'shu
猬草属,wei'cao'shu
尾稃草属,wei'fu'cao'shu
苇谷草属,wei'gu'cao'shu
微果草属,wei'guo'cao'shu
微花藤属,wei'hua'teng'shu
蝟菊属,wei'ju'shu
微孔草属,wei'kong'cao'shu
委陵菜属,wei'ling'cai'shu
卫矛科,wei'mao'ke
卫矛属,wei'mao'shu
尾囊草属,wei'nang'cao'shu
尾球木属,wei'qiu'mu'shu
蝟实属,wei'shi'shu
伪针茅属,wei'zhen'mao'shu
微柱麻属,wei'zhu'ma'shu
纹苞菊属,wen'bao'ju'shu
榲桲属,wen'bo'shu
文冠果属,wen'guan'guo'shu
紊蒿属,wen'hao'shu
吻兰属,wen'lan'shu
蚊母树属,wen'mu'shu'shu
文殊兰属,wen'shu'lan'shu
蚊子草属,wen'zi'cao'shu
莴苣属,wo'ju'shu
倭竹属,wo'zhu'shu
雾冰藜属,wu'bing'li'shu
五彩芋属,wu'cai'yu'shu
舞草属,wu'cao'shu
五层龙属,wu'ceng'long'shu
五齿萼属,wu'chi'e'shu
五唇兰属,wu'chun'lan'shu
五福花科,wu'fu'hua'ke
五福花属,wu'fu'hua'shu
无隔荠属,wu'ge'ji'shu
无根藤属,wu'gen'teng'shu
蜈蚣草属,wu'gong'cao'shu
舞鹤草属,wu'he'cao'shu
舞花姜属,wu'hua'jiang'shu
无患子科,wu'huan'zi'ke
无患子属,wu'huan'zi'shu
无喙兰属,wu'hui'lan'shu
五加科,wu'jia'ke
五加属,wu'jia'shu
乌桕属,wu'jiu'shu
无距花属,wu'ju'hua'shu
乌蕨属,wu'jue'shu
乌口树属,wu'kou'shu'shu
乌蔹莓属,wu'lian'mei'shu
五列木科,wu'lie'mu'ke
五列木属,wu'lie'mu'shu
乌毛蕨科,wu'mao'jue'ke
乌毛蕨属,wu'mao'jue'shu
五膜草属,wu'mo'cao'shu
乌木蕨属,wu'mu'jue'shu
芜萍属,wu'ping'shu
五蕊寄生属,wu'rui'ji'sheng'shu
午时花属,wu'shi'hua'shu
雾水葛属,wu'shui'ge'shu
乌檀属,wu'tan'shu
梧桐科,wu'tong'ke
梧桐属,wu'tong'shu
乌头荠属,wu'tou'ji'shu
乌头属,wu'tou'shu
勿忘草属,wu'wang'cao'shu
无尾果属,wu'wei'guo'shu
五味子属,wu'wei'zi'shu
无心菜属,wu'xin'cai'shu
五星花属,wu'xing'hua'shu
无须藤属,wu'xu'teng'shu
五桠果科,wu'ya'guo'ke
五桠果属,wu'ya'guo'shu
五叶参属,wu'ye'can'shu
无叶豆属,wu'ye'dou'shu
无叶兰属,wu'ye'lan'shu
无叶莲属,wu'ye'lian'shu
无忧花属,wu'you'hua'shu
五月茶属,wu'yue'cha'shu
无柱兰属,wu'zhu'lan'shu
吴茱萸属,wu'zhu'yu'shu
溪边蕨属,xi'bian'jue'shu
细柄草属,xi'bing'cao'shu
膝柄木属,xi'bing'mu'shu
细柄芋属,xi'bing'yu'shu
喜冬草属,xi'dong'cao'shu
西番莲科,xi'fan'lian'ke
西番莲属,xi'fan'lian'shu
西风芹属,xi'feng'qin'shu
喜峰芹属,xi'feng'qin'shu
西瓜属,xi'gua'shu
喜光花属,xi'guang'hua'shu
西归芹属,xi'gui'qin'shu
喜花草属,xi'hua'cao'shu
细画眉草属,xi'hua'mei'cao'shu
锡兰莲属,xi'lan'lian'shu
锡兰莓属,xi'lan'mei'shu
细裂芹属,xi'lie'qin'shu
喜林芋属,xi'lin'yu'shu
觿茅属,xi'mao'shu
菥蓂属,xi'mi'shu
溪楠属,xi'nan'shu
喜鹊苣苔属,xi'que'ju'tai'shu
锡生藤属,xi'sheng'teng'shu
喜树属,xi'shu'shu
细蒴苣苔属,xi'shuo'ju'tai'shu
细穗草属,xi'sui'cao'shu
细穗玄参属,xi'sui'xuan'shen'shu
溪桫属,xi'suo'shu
细筒苣苔属,xi'tong'ju'tai'shu
细莴苣属,xi'wo'ju'shu
豨莶属,xi'xian'shu
细辛蕨属,xi'xin'jue'shu
细辛属,xi'xin'shu
喜盐草属,xi'yan'cao'shu
细叶芹属,xi'ye'qin'shu
锡叶藤属,xi'ye'teng'shu
喜荫草属,xi'yin'cao'shu
喜雨草属,xi'yu'cao'shu
细圆藤属,xi'yuan'teng'shu
细钟花属,xi'zhong'hua'shu
稀子蕨科,xi'zi'jue'ke
稀子蕨属,xi'zi'jue'shu
细子龙属,xi'zi'long'shu
虾海藻属,xia'hai'zao'shu
虾脊兰属,xia'ji'lan'shu
夏枯草属,xia'ku'cao'shu
夏蜡梅属,xia'la'mei'shu
狭腔芹属,xia'qiang'qin'shu
下田菊属,xia'tian'ju'shu
虾尾兰属,xia'wei'lan'shu
虾须草属,xia'xu'cao'shu
夏须草属,xia'xu'cao'shu
夏至草属,xia'zhi'cao'shu
虾子草属,xia'zi'cao'shu
虾子花属,xia'zi'hua'shu
鲜卑花属,xian'bei'hua'shu
腺背蓝属,xian'bei'lan'shu
腺萼木属,xian'e'mu'shu
纤冠藤属,xian'guan'teng'shu
线果兜铃属,xian'guo'dou'ling'shu
线果芥属,xian'guo'jie'shu
腺果藤属,xian'guo'teng'shu
鲜黄连属,xian'huang'lian'zhu
线蕨属,xian'jue'shu
苋科,xian'ke
仙客来属,xian'ke'lai'shu
仙茅属,xian'mao'shu
蚬木属,xian'mu'shu
仙女木属,xian'nv'mu'shu
仙人掌科,xian'ren'zhang'ke
仙人掌属,xian'ren'zhang'shu
苋属,xian'shu
纤穗爵床属,xian'sui'jue'chuang'shu
线叶菊属,xian'ye'ju'shu
腺叶藤属,xian'ye'teng'shu
线柱苣苔属,xian'zhu'ju'tai'shu
线柱兰属,xian'zhu'lan'shu
显子草属,xian'zi'cao'shu
象鼻兰属,xiang'bi'lan'shu
香茶菜属,xiang'cha'cai'shu
香椿属,xiang'chun'shu
象耳豆属,xiang'er'dou'shu
香根草属,xiang'gen'cao'shu
香根芹属,xiang'gen'qin'shu
香果树属,xiang'guo'shu'shu
响盒子属,xiang'he'zi'shu
香花芥属,xiang'hua'jie'shu
香花藤属,xiang'hua'teng'shu
香槐属,xiang'huai'shu
香荚兰属,xiang'jia'lan'shu
香简草属,xiang'jian'cao'shu
橡胶树属,xiang'jiao'shu'shu
香芥属,xiang'jie'shu
象橘属,xiang'ju'shu
香科科属,xiang'ke'ke'shu
香兰属,xiang'lan'shu
香茅属,xiang'mao'shu
香蒲科,xiang'pu'ke
香蒲属,xiang'pu'shu
香茜属,xiang'qian'shu
香青属,xiang'qing'shu
向日葵属,xiang'ri'kui'shu
香肉果属,xiang'rou'guo'shu
香薷属,xiang'ru'shu
相思子属,xiang'si'zi'shu
香桃木属,xiang'tao'mu'shu
象腿蕉属,xiang'tui'jiao'shu
