爱好由来落笔难,ai'hao'you'lai'luo'bi'nan
记绣榻闲时,ji'xiu'ta'xian'shi
急雪乍翻香阁絮,ji'xue'zha'fan'xiang'ge'xu
即以其人之道,ji'yi'qi'ren'zhi'dao
几欲先走,ji'yu'xian'zou
记醉踏南屏,ji'zui'ta'nan'ping
驾长车踏破,jia'chang'che'ta'po
甲光向日金鳞开,jia'guang'xiang'ri'jin'lin'kai
家祭无忘告乃翁,jia'ji'wu'wang'gao'nai'weng
家祭毋忘告乃翁,jia'ji'wu'wang'gao'nai'weng
家家扶得醉人归,jia'jia'fu'de'zui'ren'gui
假金方用真金镀,jia'jin'fang'yong'zhen'jin'du
佳木秀而繁阴,jia'mu'xiu'er'fan'yin
佳期如梦,jia'qi'ru'meng
家人万里传消息,jia'ren'wan'li'chuan'xiao'xi
家事,jia'shi
家事国事天下事事事关心,jia'shi'guo'shi'tian'xia'shi'shi'shi'guan'xin
家书抵万金,jia'shu'di'wan'jin
家信墨痕新,jia'xin'mo'hen'xin
假作真时真亦假,jia'zuo'zhen'shi'zhen'yi'jia
渐把旧衫重剪,jian'ba'jiu'shan'zhong'jian
剪不断,jian'bu'duan
剪灯深夜语,jian'deng'shen'ye'yu
渐渐人声绝,jian'jian'ren'sheng'jue
减尽荀衣昨日香,jian'jin'xun'yi'zuo'ri'xiang
剑门道中遇微雨,jian'men'dao'zhong'yu'wei'yu
见面怜清瘦,jian'mian'lian'qing'shou
艰难苦恨繁霜鬓,jian'nan'ku'hen'fan'shuang'bin
鉴前世之兴衰,jian'qian'shi'zhi'xing'shuai
溅清泪,jian'qing'lei
见人羞涩却回头,jian'ren'xiu'se'que'hui'tou
见善则迁,jian'shan'ze'qian
笺书直恁无凭据,jian'shu'zhi'nen'wu'ping'ju
兼听则明,jian'ting'ze'ming
剑外忽传收蓟北,jian'wai'hu'chuan'shou'ji'bei
俭以养德,jian'yi'yang'de
减字木兰花,jian'zi'mu'lan'hua
江船火独明,jiang'chuan'huo'du'ming
将登太行雪满山,jiang'deng'tai'hang'xue'man'shan
江东子弟多才俊,jiang'dong'zi'di'duo'cai'jun
江枫渔火对愁眠,jiang'feng'yu'huo'dui'chou'mian
江海寄馀生,jiang'hai'ji'yu'sheng
江间波浪兼天涌,jiang'jian'bo'lang'jian'tian'yong
将军夜引弓,jiang'jun'ye'yin'gong
江流天地外,jiang'liu'tian'di'wai
江流宛转绕芳甸,jiang'liu'wan'zhuan'rao'fang'dian
江南,jiang'nan
江南春,jiang'nan'chun
江南逢李龟年,jiang'nan'feng'li'gui'nian
江南好,jiang'nan'hao
江南可采莲,jiang'nan'ke'cai'lian
江南忆,jiang'nan'yi
江畔独步寻花,jiang'pan'du'bu'xun'hua
江畔何人初见月,jiang'pan'he'ren'chu'jian'yue
江清月近人,jiang'qing'yue'jin'ren
江入大荒流,jiang'ru'da'huang'liu
江山代有才人出,jiang'shan'dai'you'cai'ren'chu
江上秋风动客情,jiang'shang'qiu'feng'dong'ke'qing
江上往来人,jiang'shang'wang'lai'ren
江上渔者,jiang'shang'yu'zhe
江水流春去欲尽,jiang'shui'liu'chun'qu'yu'jin
江潭落月复西斜,jiang'tan'luo'yue'fu'xi'xie
江天一色无纤尘,jiang'tian'yi'se'wu'xian'chen
江晚正愁余,jiang'wan'zheng'chou'yu
将谓偷闲学少年,jiang'wei'tou'xian'xue'shao'nian
僵卧孤村不自哀,jiang'wo'gu'cun'bu'zi'ai
姜西溟言别赋此赠之,jiang'xi'ming'yan'bie'fu'ci'zeng'zhi
浆向蓝桥易乞,jiang'xiang'lan'qiao'yi'qi
江雪,jiang'xue
将欲取之,jiang'yu'qu'zhi
江月何年初照人,jiang'yue'he'nian'chu'zhao'ren
江月年年望相似,jiang'yue'nian'nian'wang'xiang'si
教,jiao
搅翠澜,jiao'cui'lan
皎皎空中孤月轮,jiao'jiao'kong'zhong'gu'yue'lun
教然后知困,jiao'ran'hou'zhi'kun
角声满天秋色里,jiao'sheng'man'tian'qiu'se'li
骄嘶过,jiao'si'guo
教他珍重护风流,jiao'ta'zhen'zhong'hu'feng'liu
解把飞花蒙日月,jie'ba'fei'hua'meng'ri'yue
皆不是,jie'bu'shi
节妇吟,jie'fu'yin
解铃还须系铃人,jie'ling'hai'xu'xi'ling'ren
解落三叶秋,jie'luo'san'ye'qiu
碣石潇湘无限路,jie'shi'xiao'xiang'wu'xian'lu
接天莲叶无穷碧,jie'tian'lian'ye'wu'qiong'bi
借问酒家何处有,jie'wen'jiu'jia'he'chu'you
借问梅花何处落,jie'wen'mei'hua'he'chu'luo
嗟余听鼓应官去,jie'yu'ting'gu'ying'guan'qu
锦城丝管日纷纷,jin'cheng'si'guan'ri'fen'fen
金错刀行,jin'cuo'dao'xing
金风玉露一相逢,jin'feng'yu'lu'yi'xiang'feng
金戈铁马,jin'ge'tie'ma
锦官城外柏森森,jin'guan'cheng'wai'bai'sen'sen
金就砺则利,jin'jiu'li'ze'li
近来人事半消磨,jin'lai'ren'shi'ban'xiao'mo
近来无限伤心事,jin'lai'wu'xian'shang'xin'shi
金陵怀古,jin'ling'huai'gu
金缕曲,jin'lv'qu
近墨者黑,jin'mo'zhe'hei
今年欢笑复明年,jin'nian'huan'xiao'fu'ming'nian
尽荞麦青青,jin'qiao'mai'qing'qing
金人捧露盘,jin'ren'peng'lu'pan
今日听君歌一曲,jin'ri'ting'jun'ge'yi'qu
金石可镂,jin'shi'ke'lou
金石为开,jin'shi'wei'kai
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
今我来思,jin'wo'lai'si
今夕是何年,jin'xi'shi'he'nian
近乡情更怯,jin'xiang'qing'geng'qie
今宵酒醒何处,jin'xiao'jiu'xing'he'chu
尽信书,jin'xin'shu
今夜偏知春气暖,jin'ye'pian'zhi'chun'qi'nuan
今夜偏知春意暖,jin'ye'pian'zhi'chun'yi'nuan
今夜相思几许,jin'ye'xiang'si'ji'xu
今夜玉清眠不眠,jin'ye'yu'qing'mian'bu'mian
今夜月明人尽望,jin'ye'yue'ming'ren'jin'wang
金玉其外,jin'yu'qi'wai
近朱者赤,jin'zhu'zhe'chi
惊飙从卷乌纱去,jing'biao'cong'juan'wu'sha'qu
精诚所至,jing'cheng'suo'zhi
经冬复历春,jing'dong'fu'li'chun
京华结交尽奇士,jing'hua'jie'jiao'jin'qi'shi
靖康耻,jing'kang'chi
京口瓜洲一水间,jing'kou'gua'zhou'yi'shui'jian
晶帘一片伤心白,jing'lian'yi'pian'shang'xin'bai
竟抛弃,jing'pao'qi
旌旗十万斩阎罗,jing'qi'shi'wan'zhan'yan'luo
惊起一滩鸥鹭,jing'qi'yi'tan'ou'lu
静如处女,jing'ru'chu'nv
静数秋天,jing'shu'qiu'tian
竟无语凝噎,jing'wu'yu'ning'ye
景行行止,jing'xing'xing'zhi
静夜思,jing'ye'si
净业寺观莲,jing'ye'si'guan'lian
静以修身,jing'yi'xiu'shen
镜中衰鬓已先斑,jing'zhong'shuai'bin'yi'xian'ban
九层之台,jiu'ceng'zhi'tai
旧恨新欢相半,jiu'hen'xin'huan'xiang'ban
九曲黄河万里沙,jiu'qu'huang'he'wan'li'sha
旧时茅店社林边,jiu'shi'mao'dian'she'lin'bian
旧时王谢堂前燕,jiu'shi'wang'xie'tang'qian'yan
旧书不厌百回读,jiu'shu'bu'yan'bai'hui'du
酒醒已见残红舞,jiu'xing'yi'jian'can'hong'wu
酒醒只在花前坐,jiu'xing'zhi'zai'hua'qian'zuo
酒筵歌席莫辞频,jiu'yan'ge'xi'mo'ci'pin
旧游时节好花天,jiu'you'shi'jie'hao'hua'tian
旧游踪,jiu'you'zong
九月九日忆山东兄弟,jiu'yue'jiu'ri'yi'shan'dong'xiong'di
久在樊笼里,jiu'zai'fan'long'li
酒债寻常行处有,jiu'zhai'xun'chang'xing'chu'you
酒盏花枝贫者缘,jiu'zhan'hua'zhi'pin'zhe'yuan
九州生气恃风雷,jiu'zhou'sheng'qi'shi'feng'lei
酒醉还来花下眠,jiu'zui'hai'lai'hua'xia'mian
居安思危,ju'an'si'wei
举杯消愁愁更愁,ju'bei'xiao'chou'chou'geng'chou
举杯销愁愁更愁,ju'bei'xiao'chou'chou'geng'chou
举杯邀明月,ju'bei'yao'ming'yue
菊残犹有傲霜枝,ju'can'you'you'ao'shuang'zhi
居高声自远,ju'gao'sheng'zi'yuan
鞠躬尽瘁,ju'gong'jin'cui
俱怀逸兴壮思飞,ju'huai'yi'xing'zhuang'si'fei
居庙堂之高,ju'miao'tang'zhi'gao
橘生淮南则为橘,ju'sheng'huai'nan'ze'wei'ju
举世皆浊我独清,ju'shi'jie'zhuo'wo'du'qing
举手长劳劳,ju'shou'chang'lao'lao
举头红日近,ju'tou'hong'ri'jin
举头望明月,ju'tou'wang'ming'yue
句有可削,ju'you'ke'xue
卷地风来忽吹散,juan'di'feng'lai'hu'chui'san
倦梦不知蛮素,juan'meng'bu'zhi'man'su
捐躯赴国难,juan'qu'fu'guo'nan
卷土重来未可知,juan'tu'chong'lai'wei'ke'zhi
倦眼乍低缃帙乱,juan'yan'zha'di'xiang'zhi'luan
倦倚玉兰看月晕,juan'yi'yu'lan'kan'yue'yun
觉后感赋,jue'hou'gan'fu
绝句,jue'ju
绝色天下无,jue'se'tian'xia'wu
决胜千里之外,jue'sheng'qian'li'zhi'wai
绝胜烟柳满皇都,jue'sheng'yan'liu'man'huang'du
绝知此事要躬行,jue'zhi'ci'shi'yao'gong'xing
决眦入归鸟,jue'zi'ru'gui'niao
君不见黄河之水天上来,jun'bu'jian'huang'he'zhi'shui'tian'shang'lai
君不见咫尺长门闭阿娇,jun'bu'jian'zhi'chi'chang'men'bi'a'jiao
君看一叶舟,jun'kan'yi'ye'zhou
军听了军愁,jun'ting'le'jun'chou
郡亭枕上看潮头,jun'ting'zhen'shang'kan'chao'tou
君为轻,jun'wei'qing
君问归期未有期,jun'wen'gui'qi'wei'you'qi
君知妾有夫,jun'zhi'qie'you'fu
君自故乡来,jun'zi'gu'xiang'lai
君子好逑,jun'zi'hao'qiu
君子坦荡荡,jun'zi'tan'dang'dang
君子之交淡如水,jun'zi'zhi'jiao'dan'ru'shui
开窗放入大江来,kai'chuang'fang'ru'da'jiang'lai
慨当以慷,kai'dang'yi'kang
开轩面场圃,kai'xuan'mian'chang'pu
看菜吃饭,kan'cai'chi'fan
看尽人间兴废事,kan'jin'ren'jian'xing'fei'shi
槛菊愁烟兰泣露,kan'ju'chou'yan'lan'qi'lu
看你横行到几时,kan'ni'heng'xing'dao'ji'shi
看似寻常最奇崛,kan'si'xun'chang'zui'qi'jue
堪笑翰林陶学士,kan'xiao'han'lin'tao'xue'shi
看燕燕,kan'yan'yan
考当今之得失,kao'dang'jin'zhi'de'shi
可怜春半不还家,ke'lian'chun'ban'bu'huan'jia
可怜九月初三夜,ke'lian'jiu'yue'chu'san'ye
可怜楼上月裴回,ke'lian'lou'shang'yue'pei'hui
可怜青冢已芜没,ke'lian'qing'zhong'yi'wu'mei
可怜身上衣正单,ke'lian'shen'shang'yi'zheng'dan
可怜无数山,ke'lian'wu'shu'shan
可怜着尽汉宫衣,ke'lian'zhe'jin'han'gong'yi
可奈今生,ke'nai'jin'sheng
客尚淹留,ke'shang'yan'liu
客舍青青柳色新,ke'she'qing'qing'liu'se'xin
客舍似家家似寄,ke'she'si'jia'jia'si'ji
可笑不自量,ke'xiao'bu'zi'liang
可笑灵均楚泽畔,ke'xiao'ling'jun'chu'ze'pan
客行悲故乡,ke'xing'bei'gu'xiang
可以攻玉,ke'yi'gong'yu
可以见兴替,ke'yi'jian'xing'ti
可以为师矣,ke'yi'wei'shi'yi
可以正衣冠,ke'yi'zheng'yi'guan
可以知得失,ke'yi'zhi'de'shi
肯将衰朽惜残年,ken'jiang'shuai'xiu'xi'can'nian
空悲切,kong'bei'qie
空乏其身,kong'fa'qi'shen
箜篌别后谁能鼓,kong'hou'bie'hou'shui'neng'gu
空里流霜不觉飞,kong'li'liu'shuang'bu'jue'fei
空山不见人,kong'shan'bu'jian'ren
空山新雨后,kong'shan'xin'yu'hou
空剩当时月,kong'sheng'dang'shi'yue
空倚相思树,kong'yi'xiang'si'shu
孔子登东山而小鲁,kong'zi'deng'dong'shan'er'xiao'lu
空作相思字,kong'zuo'xiang'si'zi
苦恨年年压金线,ku'hen'nian'nian'ya'jin'xian
枯藤老树昏鸦,ku'teng'lao'shu'hun'ya
快阁东西倚晚晴,kuai'ge'dong'xi'yi'wan'qing
快走踏清秋,kuai'zou'ta'qing'qiu
狂风日暮起,kuang'feng'ri'mu'qi
溃于蚁穴,kui'yu'yi'xue
焜黄华叶衰,kun'huang'hua'ye'shuai
昆山玉碎凤凰叫,kun'shan'yu'sui'feng'huang'jiao
困倚危楼,kun'yi'wei'lou
困于心,kun'yu'xin
喇叭,la'ba
蜡炬成灰泪始干,la'ju'cheng'hui'lei'shi'gan
蜡烛有心还惜别,la'zhu'you'xin'hai'xi'bie
来寄修椽,lai'ji'xiu'chuan
来日绮窗前,lai'ri'qi'chuang'qian
来着犹可追,lai'zhe'you'ke'zhui
来者犹可追,lai'zhe'you'ke'zhui
阑珊,lan'shan
郎骑竹马来,lang'qi'zhu'ma'lai
浪淘风簸自天涯,lang'tao'feng'bo'zi'tian'ya
浪陶风簸自天涯,lang'tao'feng'bo'zi'tian'ya
浪淘尽,lang'tao'jin
浪淘沙,lang'tao'sha
狼亦黠矣,lang'yi'xia'yi
老大徒伤悲,lao'da'tu'shang'bei
老当益壮,lao'dang'yi'zhuang
老骥伏枥,lao'ji'fu'li
老来情味减,lao'lai'qing'wei'jian
劳其筋骨,lao'qi'jin'gu
老树春深更著花,lao'shu'chun'shen'geng'zhu'hua
老死不相往来,lao'si'bu'xiang'wang'lai
老吾老,lao'wu'lao
乐游原,le'you'yuan
泪空垂,lei'kong'chui
泪湿春风鬓脚垂,lei'shi'chun'feng'bin'jiao'chui
泪似秋霖挥不尽,lei'si'qiu'lin'hui'bu'jin
泪偷零,lei'tou'ling
泪咽却无声,lei'yan'que'wu'sheng
泪眼问花花不语,lei'yan'wen'hua'hua'bu'yu
泪与灯花落,lei'yu'deng'hua'luo
泪雨零铃终不怨,lei'yu'ling'ling'zhong'bu'yuan
冷冷清清,leng'leng'qing'qing
冷清清,leng'qing'qing
冷入鬓丝吹老,leng'ru'bin'si'chui'lao
冷透疏衾刚欲醒,leng'tou'shu'qin'gang'yu'xing
冷香萦遍红桥梦,leng'xiang'ying'bian'hong'qiao'meng
冷烟寒月,leng'yan'han'yue
冷雨凄风打画桥,leng'yu'qi'feng'da'hua'qiao
冷月无声,leng'yue'wu'sheng
李白乘舟将欲行,li'bai'cheng'zhou'jiang'yu'xing
离别家乡岁月多,li'bie'jia'xiang'sui'yue'duo
李杜诗篇万口传,li'du'shi'pian'wan'kou'chuan
立根原在破岩中,li'gen'yuan'zai'po'yan'zhong
理还乱,li'hai'luan
离恨,li'hen
梨花院落溶溶月,li'hua'yuan'luo'rong'rong'yue
离魂入夜倩谁招,li'hun'ru'ye'qian'shui'zhao
历鉴前朝国与家,li'jian'qian'chao'guo'yu'jia
粒粒皆辛苦,li'li'jie'xin'ku
离离原上草,li'li'yuan'shang'cao
篱落疏疏一径深,li'luo'shu'shu'yi'jing'shen
礼轻情意重,li'qing'qing'yi'zhong
离人偏识长更苦,li'ren'pian'shi'chang'geng'ku
离骚憔悴愁独醒,li'sao'qiao'cui'chou'du'xing
骊山语罢清宵半,li'shan'yu'ba'qing'xiao'ban
离思,li'si
李下不正冠,li'xia'bu'zheng'guan
礼义兴于富足,li'yi'xing'yu'fu'zu
敛步随音,lian'bu'sui'yin
莲动下渔舟,lian'dong'xia'yu'zhou
帘卷西风,lian'juan'xi'feng
莲漏三声烛半条,lian'lou'san'sheng'zhu'ban'tiao
莲露冷,lian'lu'leng
帘外落花红小,lian'wai'luo'hua'hong'xiao
莲叶何田田,lian'ye'he'tian'tian
帘影谁摇,lian'ying'shui'yao
连棹横塘,lian'zhao'heng'tang
廉者不受嗟来之食,lian'zhe'bu'shou'jie'lai'zhi'shi
两岸青山相对出,liang'an'qing'shan'xiang'dui'chu
两岸猿声啼不住,liang'an'yuan'sheng'ti'bu'zhu
两鬓飘萧未遇,liang'bin'piao'xiao'wei'yu
两朝开济老臣心,liang'chao'kai'ji'lao'chen'xin
良辰美景奈何天,liang'chen'mei'jing'nai'he'tian
两处茫茫皆不见,liang'chu'mang'mang'jie'bu'jian
两处闲愁,liang'chu'xian'chou
两个黄鹂鸣翠柳,liang'ge'huang'li'ming'cui'liu
两股战战,liang'gu'zhan'zhan
两行斜雁碧天长,liang'hang'xie'yan'bi'tian'chang
两句三年得,liang'ju'san'nian'de
两情若是久长时,liang'qing'ruo'shi'jiu'chang'shi
良人执戟明光里,liang'ren'zhi'ji'ming'guang'li
两三点山前,liang'san'dian'shan'qian
两三点雨山前,liang'san'dian'yu'shan'qian
两山排闼送青来,liang'shan'pai'ta'song'qing'lai
凉生露气湘弦润,liang'sheng'lu'qi'xiang'xian'run
量体裁衣,liang'ti'cai'yi
梁燕自双归,liang'yan'zi'shuang'gui
良药苦口利于病,liang'yao'ku'kou'li'yu'bing
凉月趖西,liang'yue'suo'xi
两只黄鹂鸣翠柳,liang'zhi'huang'li'ming'cui'liu
凉州词,liang'zhou'ci
潦倒新停浊酒杯,liao'dao'xin'ting'zhuo'jiu'bei
料得年年肠断处,liao'de'nian'nian'chang'duan'chu
料短发,liao'duan'fa
撩乱边愁听不尽,liao'luan'bian'chou'ting'bu'jin
料强似,liao'qiang'si
料也觉,liao'ye'jue
料应情尽,liao'ying'qing'jin
烈火焚烧若等闲,lie'huo'fen'shao'ruo'deng'xian
烈士暮年,lie'shi'mu'nian
林暗草惊风,lin'an'cao'jing'feng
临风泪数行,lin'feng'lei'shu'hang
临江仙,lin'jiang'xian
鳞鳞居大厦,lin'lin'ju'da'sha
林下荒苔道韫家,lin'xia'huang'tai'dao'yun'jia
临行密密缝,lin'xing'mi'mi'feng
临行密密逢,lin'xing'mi'mi'feng
临渊羡鱼,lin'yuan'xian'yu
凌波翠陌,ling'bo'cui'mo
零丁洋里叹零丁,ling'ding'yang'li'tan'ling'ding
凌寒独自开,ling'han'du'zi'kai
零落成泥碾作尘,ling'luo'cheng'ni'nian'zuo'chen
零落鸳鸯,ling'luo'yuan'yang
岭外音书断,ling'wai'yin'shu'duan
领异标新二月花,ling'yi'biao'xin'er'yue'hua
柳暗花明又一村,liu'an'hua'ming'you'yi'cun
流到瓜洲古渡头,liu'dao'gua'zhou'gu'du'tou
六宫粉黛无颜色,liu'gong'fen'dai'wu'yan'se
刘客庄,liu'ke'zhuang
流连戏蝶时时舞,liu'lian'xi'die'shi'shi'wu
留连戏蝶时时舞,liu'lian'xi'die'shi'shi'wu
留取丹心照汗青,liu'qu'dan'xin'zhao'han'qing
流水不腐,liu'shui'bu'fu
流水落花春去也,liu'shui'luo'hua'chun'qu'ye
流水前波让后波,liu'shui'qian'bo'rang'hou'bo
柳絮池塘淡淡风,liu'xu'chi'tang'dan'dan'feng
柳烟丝一把,liu'yan'si'yi'ba
六月二十七日望湖楼醉书,liu'yue'er'shi'qi'ri'wang'hu'lou'zui'shu
六州歌头,liu'zhou'ge'tou
笼盖四野,long'gai'si'ye
笼天地于形内,long'tian'di'yu'xing'nei
楼船夜雪瓜洲渡,lou'chuan'ye'xue'gua'zhou'du
楼高四面风,lou'gao'si'mian'feng
蒌蒿满地芦芽短,lou'hao'man'di'lu'ya'duan
楼前有雁斜书,lou'qian'you'yan'xie'shu
鹿柴,lu'chai
露从今夜白,lu'cong'jin'ye'bai
露滴鸳鸯瓦,lu'di'yuan'yang'wa
路漫漫其修远兮,lu'man'man'qi'xiu'yuan'xi
鲁难未已,lu'nan'wei'yi
路人借问遥招手,lu'ren'jie'wen'yao'zhao'shou
路人皆知,lu'ren'jie'zhi
路上行人欲断魂,lu'shang'xing'ren'yu'duan'hun
露湿琅玕影,lu'shi'lang'gan'ying
露似真珠月似弓,lu'si'zhen'zhu'yue'si'gong
路遥知马力,lu'yao'zhi'ma'li
路有冻死骨,lu'you'dong'si'gu
路转溪桥忽见,lu'zhuan'xi'qiao'hu'jian
乱红飞过秋千去,luan'hong'fei'guo'qiu'qian'qu
乱花渐欲迷人眼,luan'hua'jian'yu'mi'ren'yan
乱山千叠横江,luan'shan'qian'die'heng'jiang
乱条犹未变初黄,luan'tiao'you'wei'bian'chu'huang
论诗,lun'shi
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
落红满路无人惜,luo'hong'man'lu'wu'ren'xi
落花如梦凄迷,luo'hua'ru'meng'qi'mi
落花时,luo'hua'shi
落花时节又逢君,luo'hua'shi'jie'you'feng'jun
落尽繁花小院幽,luo'jin'fan'hua'xiao'yuan'you
落尽犁花月又西,luo'jin'li'hua'yue'you'xi
落木千山天远大,luo'mu'qian'shan'tian'yuan'da
罗幕轻寒,luo'mu'qing'han
落日故人情,luo'ri'gu'ren'qing
落霞与孤鹜齐飞,luo'xia'yu'gu'wu'qi'fei
洛阳亲友如相问,luo'yang'qin'you'ru'xiang'wen
落叶都愁,luo'ye'dou'chou
落月成孤倚,luo'yue'cheng'gu'yi
落月摇情满江树,luo'yue'yao'qing'man'jiang'shu
绿遍山原白满川,lv'bian'shan'yuan'bai'man'chuan
绿波依旧东流,lv'bo'yi'jiu'dong'liu
绿窗红泪,lv'chuang'hong'lei
绿树村边合,lv'shu'cun'bian'he
绿蓑衣,lv'suo'yi
绿杨烟外晓寒轻,lv'yang'yan'wai'xiao'han'qing
绿杨阴里白沙堤,lv'yang'yin'li'bai'sha'di
绿阴不减来时路,lv'yin'bu'jian'lai'shi'lu
马迹车尘忙未了,ma'ji'che'chen'mang'wei'liao
马上琵琶关塞黑,ma'shang'pi'pa'guan'sai'hei
马上相逢无纸笔,ma'shang'xiang'feng'wu'zhi'bi
马诗,ma'shi
麦花雪白菜花稀,mai'hua'xue'bai'cai'hua'xi
卖炭得钱何所营,mai'tan'de'qian'he'suo'ying
满川风雨看潮生,man'chuan'feng'yu'kan'chao'sheng
满架蔷薇一院香,man'jia'qiang'wei'yi'yuan'xiang
满江红,man'jiang'hong
漫卷诗书喜欲狂,man'juan'shi'shu'xi'yu'kuang
满离忧,man'li'you
满砌落花红冷,man'qi'luo'hua'hong'leng
满庭芳,man'ting'fang
满庭蝴蝶儿,man'ting'hu'die'er
满眼春风百事非,man'yan'chun'feng'bai'shi'fei
满招损,man'zhao'sun
忙趁东风放纸鸢,mang'chen'dong'feng'fang'zhi'yuan
茫茫百感,mang'mang'bai'gan
茫茫碧落,mang'mang'bi'luo
毛将焉附,mao'jiang'yan'fu
茅檐长扫净无苔,mao'yan'chang'sao'jing'wu'tai
茅檐长扫静无苔,mao'yan'chang'sao'jing'wu'tai
茅檐低小,mao'yan'di'xiao
每逢佳节倍思亲,mei'feng'jia'jie'bei'si'qin
梅花,mei'hua
梅柳渡江春,mei'liu'du'jiang'chun
美目盼兮,mei'mu'pan'xi
美人帐下犹歌舞,mei'ren'zhang'xia'you'ge'wu
每闻巧言宜可憎,mei'wen'qiao'yan'yi'ke'zeng
媚妩,mei'wu
梅须逊雪三分白,mei'xu'xun'xue'san'fen'bai
美言不信,mei'yan'bu'xin
没在石棱中,mei'zai'shi'leng'zhong
梅子黄时日日晴,mei'zi'huang'shi'ri'ri'qing
梅子金黄杏子肥,mei'zi'jin'huang'xing'zi'fei
门泊东吴万里船,men'bo'dong'wu'wan'li'chuan
门外若无南北路,men'wai'ruo'wu'nan'bei'lu
门掩梨花,men'yan'li'hua
梦断香消四十年,meng'duan'xiang'xiao'si'shi'nian
梦好难留,meng'hao'nan'liu
梦江南,meng'jiang'nan
梦觉城笳,meng'jue'cheng'jia
梦里寒花隔玉箫,meng'li'han'hua'ge'yu'xiao
梦里菱讴,meng'li'ling'ou
梦里轻螺谁扫,meng'li'qing'luo'shui'sao
梦里砧声浑未歇,meng'li'zhen'sheng'hun'wei'xie
梦亡妇淡装素服,meng'wang'fu'dan'zhuang'su'fu
梦向家山绕,meng'xiang'jia'shan'rao
梦也何曾到谢桥,meng'ye'he'ceng'dao'xie'qiao
梦也须留,meng'ye'xu'liu
猛志固常在,meng'zhi'gu'chang'zai
靡不有初,mi'bu'you'chu
密绾同心苣,mi'wan'tong'xin'ju
密意未曾休,mi'yi'wei'ceng'xiu
密愿难酬,mi'yuan'nan'chou
妙手偶得之,miao'shou'ou'de'zhi
妙手著文章,miao'shou'zhu'wen'zhang
民不畏死,min'bu'wei'si
敏而好学,min'er'hao'xue
敏捷诗千首,min'jie'shi'qian'shou
悯农,min'nong
民听了民怕,min'ting'le'min'pa
民为贵,min'wei'gui
民以食为天,min'yi'shi'wei'tian
明辨之,ming'bian'zhi
明妃初出汉宫时,ming'fei'chu'chu'han'gong'shi
明妃初嫁与胡儿,ming'fei'chu'jia'yu'hu'er
明妃曲,ming'fei'qu
明妃曲和王介甫作,ming'fei'qu'he'wang'jie'fu'zuo
明妃去时泪,ming'fei'qu'shi'lei
明明如月,ming'ming'ru'yue
明日复明日,ming'ri'fu'ming'ri
明日何其多,ming'ri'he'qi'duo
明日客程还几许,ming'ri'ke'cheng'hai'ji'xu
暝色笼鸳瓦,ming'se'long'yuan'wa
明月别枝惊鹊,ming'yue'bie'zhi'jing'que
明月不谙离恨苦,ming'yue'bu'an'li'hen'ku
明月何时照我还,ming'yue'he'shi'zhao'wo'huan
明月几时有,ming'yue'ji'shi'you
明月来相照,ming'yue'lai'xiang'zhao
明月松间照,ming'yue'song'jian'zhao
明月夜,ming'yue'ye
谬以千里,miu'yi'qian'li
莫愁前路无知己,mo'chou'qian'lu'wu'zhi'ji
莫道不凄凉,mo'dao'bu'qi'liang
莫道不消魂,mo'dao'bu'xiao'hun
莫道不销魂,mo'dao'bu'xiao'hun
莫道芳时易度,mo'dao'fang'shi'yi'du
莫道桑榆晚,mo'dao'sang'yu'wan
蓦地一相逢,mo'de'yi'xiang'feng
莫等闲,mo'deng'xian
莫将戏事扰真情,mo'jiang'xi'shi'rao'zhen'qing
莫教磨涅,mo'jiao'mo'nie
墨梅,mo'mei
脉脉不得语,mo'mo'bu'de'yu
脉脉此情谁诉,mo'mo'ci'qing'shui'su
脉脉情微逗,mo'mo'qing'wei'dou
蓦然回首,mo'ran'hui'shou
莫说离情,mo'shuo'li'qing
莫误双鱼到谢桥,mo'wu'shuang'yu'dao'xie'qiao
莫向光阴惰寸功,mo'xiang'guang'yin'duo'cun'gong
莫笑农家腊酒浑,mo'xiao'nong'jia'la'jiu'hun
摸鱼儿,mo'yu'er
莫怨春风当自嗟,mo'yuan'chun'feng'dang'zi'jie
目断千山阻,mu'duan'qian'shan'zu
目断四天垂,mu'duan'si'tian'chui
目见不如足践,mu'jian'bu'ru'zu'jian
暮江吟,mu'jiang'yin
木兰花,mu'lan'hua
木兰花令,mu'lan'hua'ling
牧马长嘶,mu'ma'chang'si
木受绳则直,mu'shou'sheng'ze'zhi
暮天修竹,mu'tian'xiu'zhu
牧童归去横牛背,mu'tong'gui'qu'heng'niu'bei
牧童骑黄牛,mu'tong'qi'huang'niu
牧童遥指杏花村,mu'tong'yao'zhi'xing'hua'cun
木欣欣以向荣,mu'xin'xin'yi'xiang'rong
那得分明语,na'dei'fen'ming'yu
那更乱蛩悲咽,na'geng'luan'qiong'bei'ye
那将红豆寄无聊,na'jiang'hong'dou'ji'wu'liao
哪里去辨什么真共假,na'li'qu'bian'shen'me'zhen'gong'jia
那人却在灯火阑珊处,na'ren'que'zai'deng'huo'lan'shan'chu
那是今生,na'shi'jin'sheng
那时元夜,na'shi'yuan'ye
奈何以死惧之,nai'he'yi'si'ju'zhi
乃知其密,nai'zhi'qi'mi
