阿柏麻属,a'bai'ma'shu
苔属,tai'shu
台湾杉属,tai'wan'shan'shu
台湾五加属,tai'wan'wu'jia'shu
泰竹属,tai'zhu'shu
坛花兰属,tan'hua'lan'shu
昙花属,tan'hua'shu
檀栗属,tan'li'shu
檀梨属,tan'li'shu
檀属,tan'shu
檀香科,tan'xiang'ke
唐菖蒲属,tang'chang'pu'shu
唐棣属,tang'di'shu
糖芥属,tang'jie'shu
糖蜜草属,tang'mi'cao'shu
唐松草属,tang'song'cao'shu
唐竹属,tang'zhu'shu
桃儿七属,tao'er'qi'shu
桃花心木属,tao'hua'xin'mu'shu
桃金娘科,tao'jin'niang'ke
桃金娘属,tao'jin'niang'shu
桃榄属,tao'lan'shu
套叶兰属,tao'ye'lan'shu
桃叶珊瑚属,tao'ye'shan'hu'shu
藤春属,teng'chun'shu
藤槐属,teng'huai'shu
藤梨竹属,teng'li'zhu'shu
藤露兜属,teng'lu'dou'shu
藤麻属,teng'ma'shu
藤牡丹属,teng'mu'dan'shu
藤漆属,teng'qi'shu
藤山柳属,teng'shan'liu'shu
藤芋属,teng'yu'shu
藤枣属,teng'zao'shu
梯牧草属,ti'mu'cao'shu
梯木属,ti'mu'shu
甜菜属,tian'cai'shu
田葱科,tian'cong'ke
田葱属,tian'cong'shu
田繁缕属,tian'fan'lv'shu
甜瓜属,tian'gua'shu
甜果藤属,tian'guo'teng'shu
天胡荽属,tian'hu'sui'shu
田基黄属,tian'ji'huang'shu
田基麻科,tian'ji'ma'ke
田基麻属,tian'ji'ma'shu
天芥菜属,tian'jie'cai'shu
田菁属,tian'jing'shu
甜菊属,tian'ju'shu
天葵属,tian'kui'shu
天蓝绣球属,tian'lan'xiu'qiu'shu
天料木科,tian'liao'mu'ke
天栌属,tian'lu'shu
天麻属,tian'ma'shu
田麻属,tian'ma'shu
甜茅属,tian'mao'shu
天门冬属,tian'men'dong'shu
天名精属,tian'ming'jing'shu
天南星科,tian'nan'xing'ke
天南星属,tian'nan'xing'shu
天人菊属,tian'ren'ju'shu
天山芹属,tian'shan'qin'shu
天山蓍属,tian'shan'shi'shu
天山邪蒿属,tian'shan'xie'hao'shu
天山泽芹属,tian'shan'ze'qin'shu
天仙藤属,tian'xian'teng'shu
天星藤属,tian'xing'teng'shu
天竺葵属,tian'zhu'kui'shu
条果芥属,tiao'guo'jie'shu
铁筷子属,tie'kuai'zi'shu
铁榄属,tie'lan'shu
铁力木属,tie'li'mu'shu
铁木属,tie'mu'shu
铁破锣属,tie'po'luo'shu
铁青树科,tie'qing'shu'ke
铁青树属,tie'qing'shu'shu
铁杉属,tie'shan'shu
铁苋菜属,tie'xian'cai'shu
铁线莲属,tie'xian'lian'shu
铁线子属,tie'xian'zi'shu
铁仔属,tie'zi'shu
庭菖蒲属,ting'chang'pu'shu
庭荠属,ting'ji'shu
葶菊属,ting'ju'shu
葶苈属,ting'li'shu
莛子藨属,ting'zi'biao'shu
同瓣草属,tong'ban'cao'shu
筒瓣兰属,tong'ban'lan'shu
铜锤玉带草属,tong'chui'yu'dai'cao'shu
筒冠花属,tong'guan'hua'shu
桐花树属,tong'hua'shu'shu
筒距兰属,tong'ju'lan'shu
筒穗草属,tong'sui'cao'shu
通脱木属,tong'tuo'mu'shu
同心结属,tong'xin'jie'shu
筒轴茅属,tong'zhou'mao'shu
透骨草科,tou'gu'cao'ke
透骨草属,tou'gu'cao'shu
头九节属,tou'jiu'jie'shu
头蕊兰属,tou'rui'lan'shu
头嘴苣属,tou'zui'ju'shu
秃疮花属,tu'chuang'hua'shu
兔唇花属,tu'chun'hua'shu
土丁桂属,tu'ding'gui'shu
兔儿风属,tu'er'feng'shu
兔儿伞属,tu'er'san'shu
兔苣属,tu'ju'shu
菟葵属,tu'kui'shu
土连翘属,tu'lian'qiao'shu
土圞儿属,tu'luan'er'shu
土密树属,tu'mi'shu'shu
土楠属,tu'nan'shu
土人参属,tu'ren'shen'shu
菟丝子属,tu'si'zi'shu
土田七属,tu'tian'qi'shu
兔尾草属,tu'wei'cao'shu
团花属,tuan'hua'shu
团扇荠属,tuan'shan'ji'shu
豚草属,tun'cao'shu
臀果木属,tun'guo'mu'shu
驼峰藤属,tuo'feng'teng'shu
脱喙荠属,tuo'hui'ji'shu
驼绒藜属,tuo'rong'li'shu
驼舌草属,tuo'she'cao'shu
橐吾属,tuo'wu'shu
洼瓣花属,wa'ban'hua'shu
娃儿藤属,wa'er'teng'shu
瓦莲属,wa'lian'shu
瓦松属,wa'song'shu
万带兰属,wan'dai'lan'shu
豌豆属,wan'dou'shu
弯梗芥属,wan'geng'jie'shu
弯管花属,wan'guan'hua'shu
弯果鹤虱属,wan'guo'he'shi'shu
万年青属,wan'nian'qing'shu
弯蕊芥属,wan'rui'jie'shu
万寿菊属,wan'shou'ju'shu
万寿竹属,wan'shou'zhu'shu
晚香玉属,wan'xiang'yu'shu
弯柱杜鹃属,wan'zhu'du'juan'shu
王不留行属,wang'bu'liu'xing'shu
菵草属,wang'cao'shu
网萼木属,wang'e'mu'shu
王莲属,wang'lian'shu
网球花属,wang'qiu'hua'shu
网籽草属,wang'zi'cao'shu
王棕属,wang'zong'shu
猬草属,wei'cao'shu
尾稃草属,wei'fu'cao'shu
苇谷草属,wei'gu'cao'shu
微核草属,wei'he'cao'shu
微花兰属,wei'hua'lan'shu
微花藤属,wei'hua'teng'shu
蝟菊属,wei'ju'shu
微兰属,wei'lan'shu
委陵菜属,wei'ling'cai'shu
卫矛科,wei'mao'ke
卫矛属,wei'mao'shu
尾囊草属,wei'nang'cao'shu
微萍属,wei'ping'shu
猬实属,wei'shi'shu
伪针茅属,wei'zhen'mao'shu
葨芝属,wei'zhi'shu
微柱麻属,wei'zhu'ma'shu
微紫草属,wei'zi'cao'shu
纹苞菊属,wen'bao'ju'shu
榅桲属,wen'bo'shu
文定果属,wen'ding'guo'shu
文冠果属,wen'guan'guo'shu
紊蒿属,wen'hao'shu
吻兰属,wen'lan'shu
蚊母树属,wen'mu'shu'shu
文珠兰属,wen'zhu'lan'shu
莴苣属,wo'ju'shu
倭竹属,wo'zhu'shu
雾冰藜属,wu'bing'li'shu
五层龙属,wu'ceng'long'shu
五翅莓属,wu'chi'mei'shu
五唇兰属,wu'chun'lan'shu
无耳兰属,wu'er'lan'shu
乌饭树科,wu'fan'shu'ke
乌饭树属,wu'fan'shu'shu
五福花科,wu'fu'hua'ke
五福花属,wu'fu'hua'shu
无隔芥属,wu'ge'jie'shu
无根藤属,wu'gen'teng'shu
舞鹤草属,wu'he'cao'shu
舞花姜属,wu'hua'jiang'shu
无患子科,wu'huan'zi'ke
无患子属,wu'huan'zi'shu
无喙兰属,wu'hui'lan'shu
五加科,wu'jia'ke
五加属,wu'jia'shu
无茎荠属,wu'jing'ji'shu
乌桕属,wu'jiu'shu
无距花属,wu'ju'hua'shu
无距兰属,wu'ju'lan'shu
乌口树属,wu'kou'shu'shu
乌蔹莓属,wu'lian'mei'shu
五列木科,wu'lie'mu'ke
五列木属,wu'lie'mu'shu
五膜草属,wu'mo'cao'shu
五蕊寄生属,wu'rui'ji'sheng'shu
雾水葛属,wu'shui'ge'shu
乌檀属,wu'tan'shu
乌头属,wu'tou'shu
勿忘草属,wu'wang'cao'shu
无尾果属,wu'wei'guo'shu
五星花属,wu'xing'hua'shu
无须藤属,wu'xu'teng'shu
无叶兰属,wu'ye'lan'shu
无忧花属,wu'you'hua'shu
五月茶属,wu'yue'cha'shu
无柱兰属,wu'zhu'lan'shu
吴茱萸属,wu'zhu'yu'shu
细柄草属,xi'bing'cao'shu
细柄茅属,xi'bing'mao'shu
膝柄木属,xi'bing'mu'shu
细柄芋属,xi'bing'yu'shu
喜冬草属,xi'dong'cao'shu
西番莲科,xi'fan'lian'ke
西番莲属,xi'fan'lian'shu
西瓜属,xi'gua'shu
喜光花属,xi'guang'hua'shu
细画眉草属,xi'hua'mei'cao'shu
锡兰莲属,xi'lan'lian'shu
细裂芹属,xi'lie'qin'shu
喜林芋属,xi'lin'yu'shu
锡生藤属,xi'sheng'teng'shu
喜树属,xi'shu'shu
溪桫属,xi'suo'shu
希藤科翅子藤科,xi'teng'ke'chi'zi'teng'ke
豨莶属,xi'xian'shu
细辛属,xi'xin'shu
喜盐草属,xi'yan'cao'shu
细叶芹属,xi'ye'qin'shu
锡叶藤属,xi'ye'teng'shu
喜雨草属,xi'yu'cao'shu
细圆藤属,xi'yuan'teng'shu
细子龙属,xi'zi'long'shu
狭瓣木属,xia'ban'mu'shu
狭管紫草属,xia'guan'zi'cao'shu
虾海藻属,xia'hai'zao'shu
虾脊兰属,xia'ji'lan'shu
夏枯草属,xia'ku'cao'shu
夏蜡梅属,xia'la'mei'shu
虾钳菜属,xia'qian'cai'shu
狭腔芹属,xia'qiang'qin'shu
下田菊属,xia'tian'ju'shu
虾须草属,xia'xu'cao'shu
夏须草属,xia'xu'cao'shu
虾衣花属,xia'yi'hua'shu
夏至草属,xia'zhi'cao'shu
虾子花属,xia'zi'hua'shu
鲜卑花属,xian'bei'hua'shu
腺萼木属,xian'e'mu'shu
腺梗菜属,xian'geng'cai'shu
纤冠藤属,xian'guan'teng'shu
线果芥属,xian'guo'jie'shu
腺果藤属,xian'guo'teng'shu
鲜黄连属,xian'huang'lian'zhu
苋科,xian'ke
仙茅科,xian'mao'ke
仙茅属,xian'mao'shu
蚬木属,xian'mu'shu
仙女木属,xian'nv'mu'shu
仙人掌科,xian'ren'zhang'ke
仙人掌属,xian'ren'zhang'shu
仙人柱属,xian'ren'zhu'shu
苋属,xian'shu
线叶菊属,xian'ye'ju'shu
腺叶藤属,xian'ye'teng'shu
线柱苣苔属,xian'zhu'ju'tai'shu
线柱兰属,xian'zhu'lan'shu
显子草属,xian'zi'cao'shu
线嘴苣属,xian'zui'ju'shu
香茶菜属,xiang'cha'cai'shu
香茶属,xiang'cha'shu
香椿属,xiang'chun'shu
象耳豆属,xiang'er'dou'shu
香芙木属,xiang'fu'mu'shu
香根草属,xiang'gen'cao'shu
香根芹属,xiang'gen'qin'shu
香果兰属,xiang'guo'lan'shu
香果树属,xiang'guo'shu'shu
香花芥属,xiang'hua'jie'shu
香花藤属,xiang'hua'teng'shu
香槐属,xiang'huai'shu
香简草属,xiang'jian'cao'shu
橡胶树属,xiang'jiao'shu'shu
香芥属,xiang'jie'shu
香科科属,xiang'ke'ke'shu
香兰属,xiang'lan'shu
香茅属,xiang'mao'shu
香蒲科,xiang'pu'ke
香蒲属,xiang'pu'shu
香茜科四角果科,xiang'qian'ke'si'jiao'guo'ke
香茜属,xiang'qian'shu
香青属,xiang'qing'shu
向日葵属,xiang'ri'kui'shu
香肉果属,xiang'rou'guo'shu
香茹属,xiang'ru'shu
香薷属,xiang'ru'shu
相思子属,xiang'si'zi'shu
香桃木属,xiang'tao'mu'shu
象腿蕉属,xiang'tui'jiao'shu
香豌豆属,xiang'wan'dou'shu
香雪兰属,xiang'xue'lan'shu
香雪球属,xiang'xue'qiu'shu
象牙参属,xiang'ya'can'shu
香叶木属,xiang'ye'mu'shu
香竹属,xiang'zhu'shu
小白菊属,xiao'bai'ju'shu
小苞爵床属,xiao'bao'jue'chuang'shu
小檗科,xiao'bo'ke
小檗属,xiao'bo'shu
小草属,xiao'cao'shu
小疮菊属,xiao'chuang'ju'shu
小二仙草科,xiao'er'xian'cao'ke
小二仙草属,xiao'er'xian'cao'shu
小甘菊属,xiao'gan'ju'shu
小勾儿茶属,xiao'gou'er'cha'shu
小冠花属,xiao'guan'hua'shu
小冠熏属,xiao'guan'xun'shu
小果滨藜属,xiao'guo'bin'li'shu
小花苣苔属,xiao'hua'ju'tai'shu
小花藤属,xiao'hua'teng'shu
小黄管属,xiao'huang'guan'shu
小黄菊属,xiao'huang'ju'shu
小金梅草属,xiao'jin'mei'cao'shu
肖槿属,xiao'jin'shu
小堇棕属,xiao'jin'zong'shu
小葵子属,xiao'kui'zi'shu
肖榄属,xiao'lan'shu
小蓝雪花属,xiao'lan'xue'hua'shu
小丽草属,xiao'li'cao'shu
肖柃属,xiao'ling'shu
肖笼鸡属,xiao'long'ji'shu
小麦属,xiao'mai'shu
肖牧根草属,xiao'mu'gen'cao'shu
小盘木属,xiao'pan'mu'shu
小蓬属,xiao'peng'shu
肖蒲桃属,xiao'pu'tao'shu
小牵牛属,xiao'qian'niu'shu
小芹属,xiao'qin'shu
肖乳香属,xiao'ru'xiang'shu
小舌菊属,xiao'she'ju'shu
小石积属,xiao'shi'ji'shu
小狮子草属,xiao'shi'zi'cao'shu
小蒜芥属,xiao'suan'jie'shu
小牙草属,xiao'ya'cao'shu
小野芝麻属,xiao'ye'zhi'ma'shu
肖鸢尾属,xiao'yuan'wei'shu
小芸木属,xiao'yun'mu'shu
小柱芥属,xiao'zhu'jie'shu
筱竹属,xiao'zhu'shu
肖竹芋属,xiao'zhu'yu'shu
缬草属,xie'cao'shu
斜萼草属,xie'e'cao'shu
斜果菊属,xie'guo'ju'shu
邪蒿属,xie'hao'shu
蟹甲草属,xie'jia'cao'shu
蝎尾菊属,xie'wei'ju'shu
斜翼科,xie'yi'ke
斜翼属,xie'yi'shu
楔颖草属,xie'ying'cao'shu
蟹爪兰属,xie'zhao'lan'shu
斜柱苣苔属,xie'zhu'ju'tai'shu
蝎子草属,xie'zi'cao'shu
新蝶豆属,xin'die'dou'shu
心萼薯属,xin'e'shu'shu
新耳草属,xin'er'cao'shu
新风轮属,xin'feng'lun'shu
辛果漆属,xin'guo'qi'shu
新疆藜属,xin'jiang'li'shu
新麦草属,xin'mai'cao'shu
新木姜子属,xin'mu'jiang'zi'shu
辛木属,xin'mu'shu
新塔花属,xin'ta'hua'shu
新乌檀属,xin'wu'tan'shu
新型兰属,xin'xing'lan'shu
心叶石蚕属,xin'ye'shi'can'shu
心翼果属,xin'yi'guo'shu
新樟属,xin'zhang'shu
莕菜科,xing'cai'ke
莕菜属,xing'cai'shu
星果草属,xing'guo'cao'shu
星果紫草属,xing'guo'zi'cao'shu
星花草属,xing'hua'cao'shu
星叶科,xing'ye'ke
星叶属,xing'ye'shu
绣球防风属,xiu'qiu'fang'feng'shu
绣球科,xiu'qiu'ke
绣球茜属,xiu'qiu'qian'shu
绣球属,xiu'qiu'shu
绣线菊属,xiu'xian'ju'shu
绣线梅属,xiu'xian'mei'shu
秀柱花属,xiu'zhu'hua'shu
须花藤属,xu'hua'teng'shu
絮菊属,xu'ju'shu
须芒草属,xu'mang'cao'shu
须药藤属,xu'yao'teng'shu
萱草属,xuan'cao'shu
旋覆花属,xuan'fu'hua'shu
悬钩子属,xuan'gou'zi'shu
旋花豆属,xuan'hua'dou'shu
旋花科,xuan'hua'ke
旋花属,xuan'hua'shu
悬铃花属,xuan'ling'hua'shu
悬铃木科,xuan'ling'mu'ke
悬铃木属,xuan'ling'mu'shu
旋蒴苣苔属,xuan'shuo'ju'tai'shu
悬竹属,xuan'zhu'shu
雪胆属,xue'dan'shu
穴果木属,xue'guo'mu'shu
雪花属,xue'hua'shu
雪柳属,xue'liu'shu
穴盘木属,xue'pan'mu'shu
雪片莲属,xue'pian'lian'shu
血水草属,xue'shui'cao'shu
穴丝荠属,xue'si'ji'shu
雪松属,xue'song'shu
血桐属,xue'tong'shu
血苋属,xue'xian'shu
雪香兰属,xue'xiang'lan'shu
血叶兰属,xue'ye'lan'shu
熏倒牛属,xun'dao'niu'shu
蕈树属,xun'shu'shu
薰衣草属,xun'yi'cao'shu
栒子属,xun'zi'shu
崖柏属,ya'bai'shu
鸦葱属,ya'cong'shu
崖豆藤属,ya'dou'teng'shu
鸭儿芹属,ya'er'qin'shu
亚飞廉属,ya'fei'lian'shu
崖角藤属,ya'jiao'teng'shu
鸭咀花属,ya'ju'hua'shu
亚麻荠属,ya'ma'ji'shu
亚麻科,ya'ma'ke
亚麻属,ya'ma'shu
鸭茅属,ya'mao'shu
崖摩属,ya'mo'shu
崖爬藤属,ya'pa'teng'shu
丫蕊花属,ya'rui'hua'shu
鸭舌黄属,ya'she'huang'shu
崖藤属,ya'teng'shu
鸭跖草科,ya'zhi'cao'ke
鸭跖草属,ya'zhi'cao'shu
鸦跖花属,ya'zhi'hua'shu
鸭嘴草属,ya'zui'cao'shu
岩参属,yan'can'shu
岩菖蒲属,yan'chang'pu'shu
盐豆木属,yan'dou'mu'shu
岩风属,yan'feng'shu
岩高兰科,yan'gao'lan'ke
岩高兰属,yan'gao'lan'shu
沿沟草属,yan'gou'cao'shu
岩黄蓍属,yan'huang'shi'shu
岩黄树属,yan'huang'shu'shu
盐角草属,yan'jiao'cao'shu
沿阶草属,yan'jie'cao'shu
盐节木属,yan'jie'mu'shu
盐芥属,yan'jie'shu
岩菊属,yan'ju'shu
延龄草科,yan'ling'cao'ke
延龄草属,yan'ling'cao'shu
偃麦草属,yan'mai'cao'shu
燕麦草属,yan'mai'cao'shu
燕麦属,yan'mai'shu
岩梅科,yan'mei'ke
岩梅属,yan'mei'shu
盐蓬属,yan'peng'shu
盐千屈菜属,yan'qian'qu'cai'shu
燕茜属,yan'qian'shu
岩扇属,yan'shan'shu
岩上珠属,yan'shang'zhu'shu
盐生草属,yan'sheng'cao'shu
岩匙属,yan'shi'shu
眼树莲属,yan'shu'lian'shu
盐穗木属,yan'sui'mu'shu
芫荽属,yan'sui'shu
烟筒花属,yan'tong'hua'shu
岩芋属,yan'yu'shu
盐爪爪属,yan'zhao'zhao'shu
眼子菜科,yan'zi'cai'ke
眼子菜属,yan'zi'cai'shu
洋椿属,yang'chun'shu
羊耳蒜属,yang'er'suan'shu
洋狗尾草属,yang'gou'wei'cao'shu
羊胡子草属,yang'hu'zi'cao'shu
羊角拗属,yang'jiao'niu'shu
羊角芹属,yang'jiao'qin'shu
杨柳科,yang'liu'ke
羊茅属,yang'mao'shu
杨梅科,yang'mei'ke
杨梅属,yang'mei'shu
杨属,yang'shu
阳桃属,yang'tao'shu
羊蹄甲属,yang'ti'jia'shu
杨桐属,yang'tong'shu
腰骨藤属,yao'gu'teng'shu
腰果属,yao'guo'shu
耀花豆属,yao'hua'dou'shu
药囊花属,yao'nang'hua'shu
药水苏属,yao'shui'su'shu
野百合属,ye'bai'he'shu
野扁豆属,ye'bian'dou'shu
野长蒲属,ye'chang'pu'shu
叶底珠属,ye'di'zhu'shu
野靛棵属,ye'dian'ke'shu
野丁香属,ye'ding'xiang'shu
野独活属,ye'du'huo'shu
射干属,ye'gan'shu
野古草属,ye'gu'cao'shu
野菰属,ye'gu'shu
野海棠属,ye'hai'tang'shu
腋花芥属,ye'hua'jie'shu
叶花苣苔属,ye'hua'ju'tai'shu
夜花属,ye'hua'shu
夜花藤属,ye'hua'teng'shu
叶苣苔属,ye'ju'tai'shu
野决明属,ye'jue'ming'shu
夜来香属,ye'lai'xiang'shu
叶轮木属,ye'lun'mu'shu
野牡丹科,ye'mu'dan'ke
野牡丹属,ye'mu'dan'shu
野木瓜属,ye'mu'gua'shu
野牛草属,ye'niu'cao'shu
业平竹属,ye'ping'zhu'shu
野青茅属,ye'qing'mao'shu
野扇花属,ye'shan'hua'shu
野黍属,ye'shu'shu
野桐属,ye'tong'shu
叶下珠属,ye'xia'zhu'shu
野芝麻属,ye'zhi'ma'shu
野珠兰属,ye'zhu'lan'shu
叶子花属,ye'zi'hua'shu
椰子属,ye'zi'shu
一本芒属,yi'ben'mang'shu
虉草属,yi'cao'shu
异唇兰属,yi'chun'lan'shu
一担柴属,yi'dan'chai'shu
一点红属,yi'dian'hong'shu
异萼木属,yi'e'mu'shu
异果刺草属,yi'guo'ci'cao'shu
异果芥属,yi'guo'jie'shu
翼核木属,yi'he'mu'shu
异花草属,yi'hua'cao'shu
蚁花属,yi'hua'shu
仪花属,yi'hua'shu
异喙菊属,yi'hui'ju'shu
翼茎草属,yi'jing'cao'shu
依兰属,yi'lan'shu
伊犁花属,yi'li'hua'shu
伊犁芹属,yi'li'qin'shu
翼蓼属,yi'liao'shu
异裂菊属,yi'lie'ju'shu
异芒菊属,yi'mang'ju'shu
益母草属,yi'mu'cao'shu
异木患属,yi'mu'huan'shu
翼朴属,yi'pu'shu
异蕊草属,yi'rui'cao'shu
异蕊芥属,yi'rui'jie'shu
翼首花属,yi'shou'hua'shu
异腺草属,yi'xian'cao'shu
异型菊属,yi'xing'ju'shu
异形木属,yi'xing'mu'shu
异燕麦属,yi'yan'mai'shu
异药花属,yi'yao'hua'shu
翼药花属,yi'yao'hua'shu
异药芥属,yi'yao'jie'shu
异叶苣苔属,yi'ye'ju'tai'shu
异野芝麻属,yi'ye'zhi'ma'shu
薏苡属,yi'yi'shu
栘衣属,yi'yi'shu
异颖草属,yi'ying'cao'shu
一枝黄花属,yi'zhi'huang'hua'shu
异钟花属,yi'zhong'hua'shu
异子蓬属,yi'zi'peng'shu
隐棒花属,yin'bang'hua'shu
银柴属,yin'chai'shu
银钩花属,yin'gou'hua'shu
银合欢属,yin'he'huan'shu
隐花草属,yin'hua'cao'shu
银桦属,yin'hua'shu
银胶菊属,yin'jiao'ju'shu
隐棱芹属,yin'leng'qin'shu
银莲花属,yin'lian'hua'shu
银脉爵床属,yin'mai'jue'chuang'shu
隐盘芹属,yin'pan'qin'shu
阴山荠属,yin'shan'ji'shu
银杉属,yin'shan'shu
银穗草属,yin'sui'cao'shu
银杏科,yin'xing'ke
银杏属,yin'xing'shu
银须草属,yin'xu'cao'shu
淫羊藿属,yin'yang'huo'shu
隐翼科,yin'yi'ke
隐翼属,yin'yi'shu
茵芋属,yin'yu'shu
隐柱兰属,yin'zhu'lan'shu
隐子草属,yin'zi'cao'shu
隐子芥属,yin'zi'jie'shu
硬草属,ying'cao'shu
硬骨草属,ying'gu'cao'shu
硬骨凌霄属,ying'gu'ling'xiao'shu
硬核属,ying'he'shu
樱井草科无叶莲科,ying'jing'cao'ke'wu'ye'lian'ke
樱井草属,ying'jing'cao'shu
鹰咀豆属,ying'ju'dou'shu
硬皮豆属,ying'pi'dou'shu
罂粟科,ying'su'ke
罂粟莲花属,ying'su'lian'hua'shu
罂粟属,ying'su'shu
樱桃属,ying'tao'shu
鹰爪豆属,ying'zhao'dou'shu
鹰爪花属,ying'zhao'hua'shu
蝇子草属,ying'zi'cao'shu
永瓣藤属,yong'ban'teng'shu
鼬瓣花属,you'ban'hua'shu
油丹属,you'dan'shu
油点草属,you'dian'cao'shu
疣冠麻属,you'guan'ma'shu
油果樟属,you'guo'zhang'shu
油芒属,you'mang'shu
柚木属,you'mu'shu
油楠属,you'nan'shu
油杉寄生属,you'shan'ji'sheng'shu
油杉属,you'shan'shu
莸属,you'shu
油桐属,you'tong'shu
油渣果属,you'zha'guo'shu
莠竹属,you'zhu'shu
油棕属,you'zong'shu
鱼鳔槐属,yu'biao'huai'shu
羽唇兰属,yu'chun'lan'shu
羽萼木属,yu'e'mu'shu
玉凤花属,yu'feng'hua'shu
娱蚣草属,yu'gong'cao'shu
鱼骨木属,yu'gu'mu'shu
鱼黄草属,yu'huang'cao'shu
郁金香属,yu'jin'xiang'shu
雨久花科,yu'jiu'hua'ke
雨久花属,yu'jiu'hua'shu
榆桔属,yu'ju'shu
榆科,yu'ke
芋兰属,yu'lan'shu
盂兰属,yu'lan'shu
玉帘属,yu'lian'shu
羽裂荠属,yu'lie'ji'shu
榆绿木属,yu'lv'mu'shu
羽芒菊属,yu'mang'ju'shu
玉蕊科,yu'rui'ke
玉蕊属,yu'rui'shu
羽扇豆属,yu'shan'dou'shu
玉山竹属,yu'shan'zhu'shu
芋属,yu'shu
榆属,yu'shu
雨树属,yu'shu'shu
玉蜀黍属,yu'shu'shu'shu
羽穗草属,yu'sui'cao'shu
鱼藤属,yu'teng'shu
鱼尾葵属,yu'wei'kui'shu
鱼眼草属,yu'yan'cao'shu
羽叶点地梅属,yu'ye'dian'di'mei'shu
玉叶金花属,yu'ye'jin'hua'shu
羽叶楸属,yu'ye'qiu'shu
羽叶五加属,yu'ye'wu'jia'shu
羽衣草属,yu'yi'cao'shu
玉簪属,yu'zan'shu
圆柏属,yuan'bai'shu
圆唇苣苔属,yuan'chun'ju'tai'shu
鸢尾科,yuan'wei'ke
鸢尾兰属,yuan'wei'lan'shu
鸢尾属,yuan'wei'shu
远志科,yuan'zhi'ke
远志属,yuan'zhi'shu
圆籽荷属,yuan'zi'he'shu
月光花属,yue'guang'hua'shu
月桂属,yue'gui'shu
月见草属,yue'jian'cao'shu
越桔科,yue'jie'ke
云木香属,yun'mu'xiang'shu
云杉属,yun'shan'shu
云实科,yun'shi'ke
云实属,yun'shi'shu
芸苔属,yun'tai'shu
芸香草属,yun'xiang'cao'shu
芸香科,yun'xiang'ke
芸香属,yun'xiang'shu
云叶兰属,yun'ye'lan'shu
雜属,za'shu
藏香叶芹属,zang'xiang'ye'qin'shu
藏药木属,zang'yao'mu'shu
藻百年属,zao'bai'nian'shu
蚤草属,zao'cao'shu
皂荚属,zao'jia'shu
皂帽花属,zao'mao'hua'shu
枣属,zao'shu
早熟禾属,zao'shu'he'shu
燥原荠属,zao'yuan'ji'shu
蚤缀属,zao'zhui'shu
泽兰属,ze'lan'shu
泽芹属,ze'qin'shu
泽苔草属,ze'tai'cao'shu
泽泻科,ze'xie'ke
泽泻属,ze'xie'shu
粘木科,zhan'mu'ke
粘木属,zhan'mu'shu
旃檀属,zhan'tan'shu
獐耳细辛属,zhang'er'xi'xin'shu
胀果芹属,zhang'guo'qin'shu
长角豆属,zhang'jiao'dou'shu
樟科,zhang'ke
獐毛属,zhang'mao'shu
樟属,zhang'shu
樟味藜属,zhang'wei'li'shu
獐牙菜属,zhang'ya'cai'shu
掌叶木属,zhang'ye'mu'shu
掌叶石蚕属,zhang'ye'shi'can'shu
掌叶树属,zhang'ye'shu'shu
爪耳木属,zhao'er'mu'shu
沼菊属,zhao'ju'shu
沼兰属,zhao'lan'shu
爪哇木棉属,zhao'wa'mu'mian'shu
照夜白属,zhao'ye'bai'shu
沼原草属,zhao'yuan'cao'shu
折柄茶属,zhe'bing'cha'shu
鹧鸪草属,zhe'gu'cao'shu
鹧鸪花属,zhe'gu'hua'shu
蔗茅属,zhe'mao'shu
针苞菊属,zhen'bao'ju'shu
针果芹属,zhen'guo'qin'shu
针茅属,zhen'mao'shu
榛木科,zhen'mu'ke
榛木属,zhen'mu'shu
真穗草属,zhen'sui'cao'shu
针叶苋属,zhen'ye'xian'shu
针枝属,zhen'zhi'shu
珍珠菜属,zhen'zhu'cai'shu
珍珠茅属,zhen'zhu'mao'shu
珍珠梅属,zhen'zhu'mei'shu
针子草属,zhen'zi'cao'shu
直瓣苣苔属,zhi'ban'ju'tai'shu
直唇姜属,zhi'chun'jiang'shu
指甲花属,zhi'jia'hua'shu
指甲兰属,zhi'jia'lan'shu
枳椇属,zhi'ju'shu
芝麻菜属,zhi'ma'cai'shu
直芒草属,zhi'mang'cao'shu
知母属,zhi'mu'shu
治疝草属,zhi'shan'cao'shu
枝实属,zhi'shi'shu
枳属,zhi'shu
止泻木属,zhi'xie'mu'shu
栉叶蒿属,zhi'ye'hao'shu
蜘蛛抱蛋属,zhi'zhu'bao'dan'shu
蜘蛛花属,zhi'zhu'hua'shu
蜘蛛兰属,zhi'zhu'lan'shu
栀子皮属,zhi'zi'pi'shu
栀子属,zhi'zi'shu
肿柄菊属,zhong'bing'ju'shu
种阜草属,zhong'fu'cao'shu
中国种子植物科属词典,zhong'guo'zhong'zi'zhi'wu'ke'shu'ci'dian
钟花草属,zhong'hua'cao'shu
钟花属,zhong'hua'shu
肿荚豆属,zhong'jia'dou'shu
中美木棉属,zhong'mei'mu'mian'shu
钟木属,zhong'mu'shu
重羽菊属,zhong'yu'ju'shu
舟瓣芹属,zhou'ban'qin'shu
帚灯草科,zhou'deng'cao'ke
舟果荠属,zhou'guo'ji'shu
