阿保之功,a'bao'zhi'gong
切理厌心,qie'li'yan'xin
切切私语,qie'qie'si'yu
窃窃私语,qie'qie'si'yu
切身体会,qie'shen'ti'hui
惬心贵当,qie'xin'gui'dang
窃玉偷香,qie'yu'tou'xiang
切中时弊,qie'zhong'shi'bi
切中时病,qie'zhong'shi'bing
且住为佳,qie'zhu'wei'jia
寝不安席,qin'bu'an'xi
琴断朱弦,qin'duan'zhu'xian
琴歌酒赋,qin'ge'jiu'fu
琴剑飘零,qin'jian'piao'ling
秦晋之好,qin'jin'zhi'hao
秦镜高悬,qin'jing'gao'xuan
禽困覆车,qin'kun'fu'che
亲离众叛,qin'li'zhong'pan
亲临其境,qin'lin'qi'jing
秦楼楚馆,qin'lou'chu'guan
亲密无间,qin'mi'wu'jian
勤能补拙,qin'neng'bu'zhuo
琴棋书画,qin'qi'shu'hua
寝丘之志,qin'qiu'zhi'zhi
沁人肺腑,qin'ren'fei'fu
亲仁善邻,qin'ren'shan'lin
沁人心肺,qin'ren'xin'fei
沁人心腑,qin'ren'xin'fu
沁人心脾,qin'ren'xin'pi
亲如骨肉,qin'ru'gu'rou
亲如手足,qin'ru'shou'zu
沁入心脾,qin'ru'xin'pi
琴瑟和好,qin'se'he'hao
琴瑟失调,qin'se'shi'tiao
琴瑟调和,qin'se'tiao'he
琴瑟之好,qin'se'zhi'hao
亲上加亲,qin'shang'jia'qin
寝食不安,qin'shi'bu'an
秦失其鹿,qin'shi'qi'lu
螓首蛾眉,qin'shou'e'mei
琴挑文君,qin'tiao'wen'jun
秦庭之哭,qin'ting'zhi'ku
亲痛仇快,qin'tong'chou'kuai
禽息鸟视,qin'xi'niao'shi
亲贤远佞,qin'xian'yuan'ning
琴心剑胆,qin'xin'jian'dan
勤学好问,qin'xue'hao'wen
勤学苦练,qin'xue'ku'lian
衾影无惭,qin'ying'wu'can
擒贼擒王,qin'zei'qin'wang
擒贼先擒王,qin'zei'xian'qin'wang
情不可却,qing'bu'ke'que
情不自禁,qing'bu'zi'jin
情不自已,qing'bu'zi'yi
轻财贵义,qing'cai'gui'yi
倾肠倒肚,qing'chang'dao'du
情长纸短,qing'chang'zhi'duan
倾巢出动,qing'chao'chu'dong
倾巢而出,qing'chao'er'chu
轻车简从,qing'che'jian'cong
轻车熟路,qing'che'shu'lu
清尘浊水,qing'chen'zhuo'shui
青出于蓝,qing'chu'yu'lan
清词丽句,qing'ci'li'ju
清辞丽曲,qing'ci'li'qu
青灯古佛,qing'deng'gu'fo
庆吊不行,qing'diao'bu'xing
情窦初开,qing'dou'chu'kai
清都紫微,qing'dou'zi'wei
轻而易举,qing'er'yi'ju
清耳悦心,qing'er'yue'xin
倾耳注目,qing'er'zhu'mu
情非得已,qing'fei'de'yi
清风高节,qing'feng'gao'jie
清风峻节,qing'feng'jun'jie
清风朗月,qing'feng'lang'yue
清风亮节,qing'feng'liang'jie
清风两袖,qing'feng'liang'xiu
清风明月,qing'feng'ming'yue
倾盖如故,qing'gai'ru'gu
清歌曼舞,qing'ge'man'wu
轻歌曼舞,qing'ge'man'wu
清歌妙舞,qing'ge'miao'wu
清宫除道,qing'gong'chu'dao
清规戒律,qing'gui'jie'lv
倾国倾城,qing'guo'qing'cheng
青过于蓝,qing'guo'yu'lan
青红皂白,qing'hong'zao'bai
青黄不接,qing'huang'bu'jie
青黄沟木,qing'huang'gou'mu
青黄未接,qing'huang'wei'jie
清灰冷火,qing'hui'leng'huo
情急智生,qing'ji'zhi'sheng
倾家荡产,qing'jia'dang'chan
清净寂灭,qing'jing'ji'mie
情景交融,qing'jing'jiao'rong
清净无为,qing'jing'wu'wei
清静无为,qing'jing'wu'wei
轻举妄动,qing'ju'wang'dong
请君入瓮,qing'jun'ru'weng
顷刻之间,qing'ke'zhi'jian
青蓝冰水,qing'lan'bing'shui
情理难容,qing'li'nan'rong
清廉正直,qing'lian'zheng'zhi
青林黑塞,qing'lin'hei'sai
青楼楚馆,qing'lou'chu'guan
青梅竹马,qing'mei'zhu'ma
青面獠牙,qing'mian'liao'ya
情面难却,qing'mian'nan'que
轻描淡写,qing'miao'dan'xie
青鸟殷勤,qing'niao'yin'qin
轻诺寡信,qing'nuo'gua'xin
倾盆大雨,qing'pen'da'yu
清贫如洗,qing'pin'ru'xi
清平世界,qing'ping'shi'jie
青钱万选,qing'qian'wan'xuan
轻敲缓击,qing'qiao'huan'ji
清清楚楚,qing'qing'chu'chu
卿卿我我,qing'qing'wo'wo
轻裘肥马,qing'qiu'fei'ma
轻裘缓带,qing'qiu'huan'dai
青裙缟袂,qing'qun'gao'mei
轻饶素放,qing'rao'su'fang
情人眼里出西施,qing'ren'yan'li'chu'xi'shi
轻如鸿毛,qing'ru'hong'mao
轻若鸿毛,qing'ruo'hong'mao
青山不老,qing'shan'bu'lao
青山绿水,qing'shan'lv'shui
青衫司马,qing'shan'si'ma
青山一发,qing'shan'yi'fa
情深似海,qing'shen'si'hai
轻身殉义,qing'shen'xun'yi
情深一往,qing'shen'yi'wang
情深义重,qing'shen'yi'zhong
情深意重,qing'shen'yi'zhong
轻视傲物,qing'shi'ao'wu
青史流芳,qing'shi'liu'fang
青史留芳,qing'shi'liu'fang
青史留名,qing'shi'liu'ming
轻手蹑脚,qing'shou'nie'jiao
轻手轻脚,qing'shou'qing'jiao
情恕理遣,qing'shu'li'qian
青丝白马,qing'si'bai'ma
情随事迁,qing'sui'shi'qian
清天白日,qing'tian'bai'ri
青天白日,qing'tian'bai'ri
擎天架海,qing'tian'jia'hai
情天孽海,qing'tian'nie'hai
晴天霹雳,qing'tian'pi'li
青天霹雳,qing'tian'pi'li
擎天之柱,qing'tian'zhi'zhu
蜻蜓点水,qing'ting'dian'shui
情同骨肉,qing'tong'gu'rou
情同手足,qing'tong'shou'zu
情同一家,qing'tong'yi'jia
情投意合,qing'tou'yi'he
清微淡远,qing'wei'dan'yuan
清渭浊泾,qing'wei'zhuo'jing
情文并茂,qing'wen'bing'mao
情见乎辞,qing'xian'hu'ci
清闲自在,qing'xian'zi'zai
倾箱倒箧,qing'xiang'dao'qie
青霄直上,qing'xiao'zhi'shang
青鞋布袜,qing'xie'bu'wa
清心寡欲,qing'xin'gua'yu
清新俊逸,qing'xin'jun'yi
倾心吐胆,qing'xin'tu'dan
轻言寡信,qing'yan'gua'xin
轻言轻语,qing'yan'qing'yu
轻言软语,qing'yan'ruan'yu
轻言细语,qing'yan'xi'yu
青眼相看,qing'yan'xiang'kan
轻徭薄税,qing'yao'bao'shui
轻徭薄赋,qing'yao'bo'fu
倾摇懈弛,qing'yao'xie'chi
清夜扪心,qing'ye'men'xin
情意绵绵,qing'yi'mian'mian
清音幽韵,qing'yin'you'yun
情有可原,qing'you'ke'yuan
情逾骨肉,qing'yu'gu'rou
轻于鸿毛,qing'yu'hong'mao
清源正本,qing'yuan'zheng'ben
青云独步,qing'yun'du'bu
青云万里,qing'yun'wan'li
青云直上,qing'yun'zhi'shang
情真意切,qing'zhen'yi'qie
轻重倒置,qing'zhong'dao'zhi
轻重缓急,qing'zhong'huan'ji
青州从事,qing'zhou'cong'shi
青竹丹枫,qing'zhu'dan'feng
罄竹难书,qing'zhu'nan'shu
轻装简从,qing'zhuang'jian'cong
轻装上阵,qing'zhuang'shang'zhen
请自隗始,qing'zi'wei'shi
穷兵黩武,qiong'bing'du'wu
穷不失义,qiong'bu'shi'yi
穷当益坚,qiong'dang'yi'jian
琼岛春云,qiong'dao'chun'yun
琼堆玉砌,qiong'dui'yu'qi
穷而后工,qiong'er'hou'gong
穷极思变,qiong'ji'si'bian
穷极无聊,qiong'ji'wu'liao
琼浆玉液,qiong'jiang'yu'ye
穷寇莫追,qiong'kou'mo'zhui
穷寇勿追,qiong'kou'wu'zhui
穷困潦倒,qiong'kun'liao'dao
穷理尽性,qiong'li'jin'xing
琼林玉树,qiong'lin'yu'shu
琼林玉质,qiong'lin'yu'zhi
琼楼金阙,qiong'lou'jin'que
穷鸟入怀,qiong'niao'ru'huai
穷且益坚,qiong'qie'yi'jian
茕茕孑立,qiong'qiong'jie'li
穷山恶水,qiong'shan'e'shui
穷山僻壤,qiong'shan'pi'rang
穷奢极侈,qiong'she'ji'chi
穷奢极欲,qiong'she'ji'yu
穷鼠啮狸,qiong'shu'nie'li
穷途末路,qiong'tu'mo'lu
穷途之哭,qiong'tu'zhi'ku
穷巷陋室,qiong'xiang'lou'shi
穷乡僻壤,qiong'xiang'pi'rang
穷形尽相,qiong'xing'jin'xiang
穷凶极恶,qiong'xiong'ji'e
穷原竟委,qiong'yuan'jing'wei
穷源竟委,qiong'yuan'jing'wei
穷源溯流,qiong'yuan'su'liu
穷则思变,qiong'ze'si'bian
琼枝玉树,qiong'zhi'yu'shu
琼枝玉叶,qiong'zhi'yu'ye
秋波盈盈,qiu'bo'ying'ying
求道于盲,qiu'dao'yu'mang
秋风过耳,qiu'feng'guo'er
秋风落叶,qiu'feng'luo'ye
秋风扫落叶,qiu'feng'sao'luo'ye
秋风扫叶,qiu'feng'sao'ye
秋风团扇,qiu'feng'tuan'shan
秋风纨扇,qiu'feng'wan'shan
秋高气爽,qiu'gao'qi'shuang
求过于供,qiu'guo'yu'gong
秋毫不犯,qiu'hao'bu'fan
秋毫见捐,qiu'hao'jian'juan
秋毫无犯,qiu'hao'wu'fan
秋毫之末,qiu'hao'zhi'mo
秋后算账,qiu'hou'suan'zhang
裘马轻肥,qiu'ma'qing'fei
裘马轻狂,qiu'ma'qing'kuang
求马唐肆,qiu'ma'tang'si
求其友声,qiu'qi'you'sheng
求亲告友,qiu'qin'gao'you
求全责备,qiu'quan'ze'bei
求全之毁,qiu'quan'zhi'hui
求仁得仁,qiu'ren'de'ren
秋色平分,qiu'se'ping'fen
秋扇见捐,qiu'shan'jian'juan
求神问卜,qiu'shen'wen'bu
秋实春华,qiu'shi'chun'hua
秋收冬藏,qiu'shou'dong'cang
囚首垢面,qiu'shou'gou'mian
秋水盈盈,qiu'shui'ying'ying
求田问舍,qiu'tian'wen'she
求同存异,qiu'tong'cun'yi
秋荼密网,qiu'tu'mi'wang
求贤若渴,qiu'xian'ruo'ke
秋月春风,qiu'yue'chun'feng
秋月春花,qiu'yue'chun'hua
秋月寒江,qiu'yue'han'jiang
求之不得,qiu'zhi'bu'de
求知若渴,qiu'zhi'ruo'ke
祛病延年,qu'bing'yan'nian
曲不离口,qu'bu'li'kou
取长补短,qu'chang'bu'duan
取长弃短,qu'chang'qi'duan
去粗取精,qu'cu'qu'jing
屈打成招,qu'da'cheng'zhao
祛蠹除奸,qu'du'chu'jian
曲高和寡,qu'gao'he'gua
曲肱而枕,qu'gong'er'zhen
屈节辱命,qu'jie'ru'ming
曲尽其妙,qu'jin'qi'miao
曲径通幽,qu'jing'tong'you
取精用宏,qu'jing'yong'hong
取精用弘,qu'jing'yong'hong
劬劳之恩,qu'lao'zhi'en
驱雷策电,qu'lei'ce'dian
趋利避害,qu'li'bi'hai
曲里拐弯,qu'li'guai'wan
曲眉丰颊,qu'mei'feng'jia
取巧图便,qu'qiao'tu'bian
取青媲白,qu'qing'pi'bai
区区此心,qu'qu'ci'xin
区区小事,qu'qu'xiao'shi
阒然无声,qu'ran'wu'sheng
取舍两难,qu'she'liang'nan
去甚去泰,qu'shen'qu'tai
去天尺五,qu'tian'chi'wu
曲突徙薪,qu'tu'xi'xin
曲突移薪,qu'tu'yi'xin
去伪存真,qu'wei'cun'zhen
取信于人,qu'xin'yu'ren
曲学阿世,qu'xue'a'shi
趋炎附势,qu'yan'fu'shi
驱羊攻虎,qu'yang'gong'hu
驱羊战狼,qu'yang'zhan'lang
取义成仁,qu'yi'cheng'ren
曲意逢迎,qu'yi'feng'ying
曲意迎合,qu'yi'ying'he
取予有节,qu'yu'you'jie
取之不尽,qu'zhi'bu'jin
屈指可数,qu'zhi'ke'shu
趋之若骛,qu'zhi'ruo'wu
趋之若鹜,qu'zhi'ruo'wu
曲终奏雅,qu'zhong'zou'ya
去住两难,qu'zhu'liang'nan
屈尊就卑,qu'zun'jiu'bei
劝百讽一,quan'bai'feng'yi
拳不离手,quan'bu'li'shou
犬吠之警,quan'fei'zhi'jing
全功尽弃,quan'gong'jin'qi
全国一盘棋,quan'guo'yi'pan'qi
权衡利弊,quan'heng'li'bi
权衡轻重,quan'heng'qing'zhong
全军覆灭,quan'jun'fu'mie
全军覆没,quan'jun'fu'mo
权均力齐,quan'jun'li'qi
全力以赴,quan'li'yi'fu
犬马之报,quan'ma'zhi'bao
犬马之劳,quan'ma'zhi'lao
犬马之恋,quan'ma'zhi'lian
全民皆兵,quan'min'jie'bing
全盘托出,quan'pan'tuo'chu
权倾天下,quan'qing'tian'xia
拳拳服膺,quan'quan'fu'ying
拳拳盛意,quan'quan'sheng'yi
劝善惩恶,quan'shan'cheng'e
全神关注,quan'shen'guan'zhu
全神灌注,quan'shen'guan'zhu
全神贯注,quan'shen'guan'zhu
全身远害,quan'shen'yuan'hai
泉石膏肓,quan'shi'gao'huang
全始全终,quan'shi'quan'zhong
权时制宜,quan'shi'zhi'yi
犬兔俱毙,quan'tu'ju'bi
全无心肝,quan'wu'xin'gan
全心全意,quan'xin'quan'yi
犬牙交错,quan'ya'jiao'cuo
犬牙相错,quan'ya'xiang'cuo
犬牙相制,quan'ya'xiang'zhi
权移马鹿,quan'yi'ma'lu
权宜之策,quan'yi'zhi'ce
权宜之计,quan'yi'zhi'ji
全智全能,quan'zhi'quan'neng
全知全能,quan'zhi'quan'neng
却病延年,que'bing'yan'nian
鹊巢鸠居,que'chao'jiu'ju
鹊巢鸠踞,que'chao'jiu'ju
鹊巢鸠占,que'chao'jiu'zhan
确乎不拔,que'hu'bu'ba
雀角鼠牙,que'jiao'shu'ya
却金暮夜,que'jin'mu'ye
雀目鼠步,que'mu'shu'bu
雀屏中选,que'ping'zhong'xuan
确确实实,que'que'shi'shi
鹊笑鸠舞,que'xiao'jiu'wu
雀小脏全,que'xiao'zang'quan
缺一不可,que'yi'bu'ke
缺衣少食,que'yi'shao'shi
确凿不移,que'zao'bu'yi
却之不恭,que'zhi'bu'gong
裙带关系,qun'dai'guan'xi
群而不党,qun'er'bu'dang
群鸿戏海,qun'hong'xi'hai
群居穴处,qun'ju'xue'chu
群空冀北,qun'kong'ji'bei
群龙无首,qun'long'wu'shou
群魔乱舞,qun'mo'luan'wu
群起而攻之,qun'qi'er'gong'zhi
群起效尤,qun'qi'xiao'you
群情鼎沸,qun'qing'ding'fei
群轻折轴,qun'qing'zhe'zhou
群威群胆,qun'wei'qun'dan
群雄逐鹿,qun'xiong'zhu'lu
群蚁附膻,qun'yi'fu'shan
群英荟萃,qun'ying'hui'cui
然荻读书,ran'di'du'shu
然糠照薪,ran'kang'zhao'xin
然糠自照,ran'kang'zi'zhao
燃糠自照,ran'kang'zi'zhao
染蓝涅皂,ran'lan'nie'zao
燃眉之急,ran'mei'zhi'ji
燃萁煎豆,ran'qi'jian'dou
燃萁之敏,ran'qi'zhi'min
染神乱志,ran'shen'luan'zhi
染指垂涎,ran'zhi'chui'xian
染指于鼎,ran'zhi'yu'ding
攘来熙往,rang'lai'xi'wang
让礼一寸,rang'li'yi'cun
穰穰满家,rang'rang'man'jia
攘攘熙熙,rang'rang'xi'xi
攘人之美,rang'ren'zhi'mei
攘往熙来,rang'wang'xi'lai
让枣推梨,rang'zao'tui'li
绕梁三日,rao'liang'san'ri
绕梁之音,rao'liang'zhi'yin
饶有风趣,rao'you'feng'qu
饶有兴味,rao'you'xing'wei
热熬翻饼,re'ao'fan'bing
惹草拈花,re'cao'nian'hua
热肠古道,re'chang'gu'dao
热锅上蝼蚁,re'guo'shang'lou'yi
热锅上蚂蚁,re'guo'shang'ma'yi
热火朝天,re'huo'chao'tian
惹火烧身,re'huo'shao'shen
惹祸招殃,re'huo'zhao'yang
热可炙手,re'ke'zhi'shou
热泪盈眶,re'lei'ying'kuang
热情洋溢,re'qing'yang'yi
惹事生非,re'shi'sheng'fei
惹是生非,re'shi'sheng'fei
惹事招非,re'shi'zhao'fei
热心快肠,re'xin'kuai'chang
热血沸腾,re'xue'fei'teng
惹灾招祸,re'zai'zhao'huo
人百其身,ren'bai'qi'shen
人不可貌相,ren'bu'ke'mao'xiang
人不聊生,ren'bu'liao'sheng
人不自安,ren'bu'zi'an
人才辈出,ren'cai'bei'chu
人才出众,ren'cai'chu'zhong
人才济济,ren'cai'ji'ji
人财两空,ren'cai'liang'kong
人财两失,ren'cai'liang'shi
人才难得,ren'cai'nan'de
人稠物穰,ren'chou'wu'rang
人存政举,ren'cun'zheng'ju
任达不拘,ren'da'bu'ju
人单势孤,ren'dan'shi'gu
人地生疏,ren'di'sheng'shu
人定胜天,ren'ding'sheng'tian
人丁兴旺,ren'ding'xing'wang
人多口杂,ren'duo'kou'za
人多阙少,ren'duo'que'shao
人多势众,ren'duo'shi'zhong
人多手杂,ren'duo'shou'za
人多嘴杂,ren'duo'zui'za
人非草木,ren'fei'cao'mu
人非木石,ren'fei'mu'shi
人非物是,ren'fei'wu'shi
人浮于事,ren'fu'yu'shi
人各有志,ren'ge'you'zhi
人喊马嘶,ren'han'ma'si
人欢马叫,ren'huan'ma'jiao
人己一视,ren'ji'yi'shi
人间地狱,ren'jian'di'yu
人间天上,ren'jian'tian'shang
人间天堂,ren'jian'tian'tang
人间重晚晴,ren'jian'zhong'wan'qing
仁浆义粟,ren'jiang'yi'su
人杰地灵,ren'jie'di'ling
人尽可夫,ren'jin'ke'fu
人尽其才,ren'jin'qi'cai
忍俊不住,ren'jun'bu'zhu
人困马乏,ren'kun'ma'fa
人来人往,ren'lai'ren'wang
任劳任怨,ren'lao'ren'yuan
人老珠黄,ren'lao'zhu'huang
人离乡贱,ren'li'xiang'jian
人满为患,ren'man'wei'huan
人面兽心,ren'mian'shou'xin
人面桃花,ren'mian'tao'hua
仁民爱物,ren'min'ai'wu
人民城郭,ren'min'cheng'guo
人命关天,ren'ming'guan'tian
人命危浅,ren'ming'wei'qian
人莫予毒,ren'mo'yu'du
人模狗样,ren'mu'gou'yang
忍气吞声,ren'qi'tun'sheng
人弃我取,ren'qi'wo'qu
任其自流,ren'qi'zi'liu
任其自然,ren'qi'zi'ran
人千人万,ren'qian'ren'wan
人强马壮,ren'qiang'ma'zhuang
人琴俱亡,ren'qin'ju'wang
人情冷暖,ren'qing'leng'nuan
人情世故,ren'qing'shi'gu
人情世态,ren'qing'shi'tai
人情之常,ren'qing'zhi'chang
人穷志短,ren'qiong'zhi'duan
人穷智短,ren'qiong'zhi'duan
人去楼空,ren'qu'lou'kong
人人皆知,ren'ren'jie'zhi
任人唯亲,ren'ren'wei'qin
任人唯贤,ren'ren'wei'xian
任人宰割,ren'ren'zai'ge
仁人志士,ren'ren'zhi'shi
人人自危,ren'ren'zi'wei
忍辱负重,ren'ru'fu'zhong
忍辱含垢,ren'ru'han'gou
忍辱含羞,ren'ru'han'xiu
忍辱偷生,ren'ru'tou'sheng
人山人海,ren'shan'ren'hai
人神共愤,ren'shen'gong'fen
人神同嫉,ren'shen'tong'ji
人声鼎沸,ren'sheng'ding'fei
人生路不熟,ren'sheng'lu'bu'shu
人生七十古来稀,ren'sheng'qi'shi'gu'lai'xi
人生如寄,ren'sheng'ru'ji
人生如朝露,ren'sheng'ru'zhao'lu
人生若寄,ren'sheng'ruo'ji
人事不省,ren'shi'bu'xing
人事不醒,ren'shi'bu'xing
人事不知,ren'shi'bu'zhi
人世沧桑,ren'shi'cang'sang
人事代谢,ren'shi'dai'xie
人寿年丰,ren'shou'nian'feng
人手一册,ren'shou'yi'ce
人死留名,ren'si'liu'ming
人所共知,ren'suo'gong'zhi
人头畜鸣,ren'tou'chu'ming
人亡邦瘁,ren'wang'bang'cui
人亡家破,ren'wang'jia'po
人亡物在,ren'wang'wu'zai
人微望轻,ren'wei'wang'qing
人微言贱,ren'wei'yan'jian
人微言轻,ren'wei'yan'qing
人文荟萃,ren'wen'hui'cui
人我是非,ren'wo'shi'fei
忍无可忍,ren'wu'ke'ren
人无完人,ren'wu'wan'ren
任贤使能,ren'xian'shi'neng
人心不古,ren'xin'bu'gu
人心大快,ren'xin'da'kuai
忍心害理,ren'xin'hai'li
人心涣散,ren'xin'huan'san
人心惶惶,ren'xin'huang'huang
人心叵测,ren'xin'po'ce
仁心仁术,ren'xin'ren'shu
仁心仁闻,ren'xin'ren'wen
人心如面,ren'xin'ru'mian
人心所向,ren'xin'suo'xiang
人心惟危,ren'xin'wei'wei
人心向背,ren'xin'xiang'bei
人烟稠密,ren'yan'chou'mi
人言籍籍,ren'yan'ji'ji
人言藉藉,ren'yan'ji'ji
人言可畏,ren'yan'ke'wei
仁言利博,ren'yan'li'bo
仁言利溥,ren'yan'li'pu
人言啧啧,ren'yan'ze'ze
人仰马翻,ren'yang'ma'fan
仁义道德,ren'yi'dao'de
人一己百,ren'yi'ji'bai
仁义君子,ren'yi'jun'zi
人以群分,ren'yi'qun'fen
仁义之兵,ren'yi'zhi'bing
仁义之师,ren'yi'zhi'shi
刃迎缕解,ren'ying'lv'jie
人欲横流,ren'yu'heng'liu
任怨任劳,ren'yuan'ren'lao
人怨神怒,ren'yuan'shen'nu
人怨天怒,ren'yuan'tian'nu
人云亦云,ren'yun'yi'yun
认贼为父,ren'zei'wei'fu
认贼为子,ren'zei'wei'zi
认贼作父,ren'zei'zuo'fu
认贼作子,ren'zei'zuo'zi
仁至义尽,ren'zhi'yi'jin
任重道远,ren'zhong'dao'yuan
人中龙虎,ren'zhong'long'hu
人中骐骥,ren'zhong'qi'ji
人众胜天,ren'zhong'sheng'tian
人中狮子,ren'zhong'shi'zi
人中之龙,ren'zhong'zhi'long
任重至远,ren'zhong'zhi'yuan
任重致远,ren'zhong'zhi'yuan
人自为战,ren'zi'wei'zhan
认祖归宗,ren'zu'gui'zong
仍陋袭简,reng'lou'xi'jian
日薄虞渊,ri'bao'yu'yuan
日薄西山,ri'bo'xi'shan
日不暇给,ri'bu'xia'ji
日长似岁,ri'chang'si'sui
日长一线,ri'chang'yi'xian
日出不穷,ri'chu'bu'qiong
日出三竿,ri'chu'san'gan
日东月西,ri'dong'yue'xi
日锻月炼,ri'duan'yue'lian
日复一日,ri'fu'yi'ri
日旰忘餐,ri'gan'wang'can
日旰忘食,ri'gan'wang'shi
日和风暖,ri'he'feng'nuan
日积月累,ri'ji'yue'lei
日居月诸,ri'ji'yue'zhu
日角龙庭,ri'jiao'long'ting
日角龙颜,ri'jiao'long'yan
日角偃月,ri'jiao'yan'yue
日角珠庭,ri'jiao'zhu'ting
日近长安远,ri'jin'chang'an'yuan
日进斗金,ri'jin'dou'jin
日久天长,ri'jiu'tian'chang
日就月将,ri'jiu'yue'jiang
日丽风和,ri'li'feng'he
日丽风清,ri'li'feng'qing
日理万机,ri'li'wan'ji
日落千丈,ri'luo'qian'zhang
日落西山,ri'luo'xi'shan
日暮途穷,ri'mu'tu'qiong
日暮途远,ri'mu'tu'yuan
日暖风和,ri'nuan'feng'he
日暖风恬,ri'nuan'feng'tian
日日夜夜,ri'ri'ye'ye
日上三竿,ri'shang'san'gan
日慎一日,ri'shen'yi'ri
日甚一日,ri'shen'yi'ri
日升月恒,ri'sheng'yue'heng
日食万钱,ri'shi'wan'qian
日试万言,ri'shi'wan'yan
日往月来,ri'wang'yue'lai
日无暇晷,ri'wu'xia'gui
日新月异,ri'xin'yue'yi
日新月著,ri'xin'yue'zhu
日行千里,ri'xing'qian'li
日省月修,ri'xing'yue'xiu
日以继夜,ri'yi'ji'ye
日异月更,ri'yi'yue'geng
日异月新,ri'yi'yue'xin
日月重光,ri'yue'chong'guang
日月蹉跎,ri'yue'cuo'tuo
日月合璧,ri'yue'he'bi
日月交食,ri'yue'jiao'shi
日月经天,ri'yue'jing'tian
日月丽天,ri'yue'li'tian
日月其除,ri'yue'qi'chu
日月入怀,ri'yue'ru'huai
日月如梭,ri'yue'ru'suo
日月参辰,ri'yue'shen'chen
日月无光,ri'yue'wu'guang
日月逾迈,ri'yue'yu'mai
日昃忘食,ri'ze'wang'shi
日增月盛,ri'zeng'yue'sheng
日臻完善,ri'zhen'wan'shan
日炙风筛,ri'zhi'feng'shai
日中必彗,ri'zhong'bi'hui
日中必移,ri'zhong'bi'yi
日中必昃,ri'zhong'bi'ze
日中为市,ri'zhong'wei'shi
日中则移,ri'zhong'ze'yi
日中则昃,ri'zhong'ze'ze
日坐愁城,ri'zuo'chou'cheng
熔古铸今,rong'gu'zhu'jin
容光焕发,rong'guang'huan'fa
荣华富贵,rong'hua'fu'gui
融会贯通,rong'hui'guan'tong
戎马倥偬,rong'ma'kong'zong
戎马生郊,rong'ma'sheng'jiao
戎马生涯,rong'ma'sheng'ya
融洽无间,rong'qia'wu'jian
融为一体,rong'wei'yi'ti
容膝之地,rong'xi'zhi'di
荣谐伉俪,rong'xie'kang'li
熔于一炉,rong'yu'yi'lu
荣宗耀祖,rong'zong'yao'zu
肉薄骨并,rou'bo'gu'bing
柔肠百结,rou'chang'bai'jie
柔肠百转,rou'chang'bai'zhuan
柔肠寸断,rou'chang'cun'duan
柔情绰态,rou'qing'chuo'tai
柔情媚态,rou'qing'mei'tai
柔情蜜意,rou'qing'mi'yi
柔情侠骨,rou'qing'xia'gu
肉山脯林,rou'shan'fu'lin
肉食者鄙,rou'shi'zhe'bi
肉袒面缚,rou'tan'mian'fu
肉袒牵羊,rou'tan'qian'yang
肉跳心惊,rou'tiao'xin'jing
柔心弱骨,rou'xin'ruo'gu
肉眼凡胎,rou'yan'fan'tai
柔枝嫩条,rou'zhi'nen'tiao
柔枝嫩叶,rou'zhi'nen'ye
如臂使指,ru'bi'shi'zhi
入不敷出,ru'bu'fu'chu
如不胜衣,ru'bu'sheng'yi
如痴如狂,ru'chi'ru'kuang
如痴如梦,ru'chi'ru'meng
如痴如醉,ru'chi'ru'zui
如痴似醉,ru'chi'si'zui
如出一口,ru'chu'yi'kou
如出一辙,ru'chu'yi'zhe
如椽大笔,ru'chuan'da'bi
如登春台,ru'deng'chun'tai
入地无门,ru'di'wu'men
如堕五里雾中,ru'duo'wu'li'wu'zhong
如堕烟海,ru'duo'yan'hai
如堕烟雾,ru'duo'yan'wu
如风过耳,ru'feng'guo'er
如鲠在喉,ru'geng'zai'hou
茹古涵今,ru'gu'han'jin
入骨相思,ru'gu'xiang'si
辱国丧师,ru'guo'sang'shi
如虎傅翼,ru'hu'fu'yi
如虎生翼,ru'hu'sheng'yi
如虎添翼,ru'hu'tian'yi
如花似朵,ru'hua'si'duo
如花似锦,ru'hua'si'jin
如花似玉,ru'hua'si'yu
如花似月,ru'hua'si'yue
如火燎原,ru'huo'liao'yuan
如火如荼,ru'huo'ru'tu
如获至宝,ru'huo'zhi'bao
如饥如渴,ru'ji'ru'ke
如饥似渴,ru'ji'si'ke
如见肺肝,ru'jian'fei'gan
乳间股脚,ru'jian'gu'jiao
如见其人,ru'jian'qi'ren
如箭在弦,ru'jian'zai'xian
如胶如漆,ru'jiao'ru'qi
如胶似漆,ru'jiao'si'qi
入境问禁,ru'jing'wen'jin
入境问俗,ru'jing'wen'su
茹苦含辛,ru'ku'han'xin
如狼牧羊,ru'lang'mu'yang
如狼如虎,ru'lang'ru'hu
如狼似虎,ru'lang'si'hu
如雷灌耳,ru'lei'guan'er
如雷贯耳,ru'lei'guan'er
如临大敌,ru'lin'da'di
如临深谷,ru'lin'shen'gu
如临深渊,ru'lin'shen'yuan
如龙似虎,ru'long'si'hu
如履平地,ru'lv'ping'di
如履如临,ru'lv'ru'lin
如芒刺背,ru'mang'ci'bei
如芒在背,ru'mang'zai'bei
茹毛饮血,ru'mao'yin'xue
辱门败户,ru'men'bai'hu
如梦初醒,ru'meng'chu'xing
如梦方醒,ru'meng'fang'xing
入木三分,ru'mu'san'fen
