阿鼻地狱,a'bi'di'yu
扭转乾坤,niu'zhuan'qian'kun
攀蟾折桂,pan'chan'she'gui
攀车卧辙,pan'che'wo'zhe
攀高结贵,pan'gao'jie'gui
槃根错节,pan'gen'cuo'jie
盘根错节,pan'gen'cuo'jie
蟠根错节,pan'gen'cuo'jie
盘根究底,pan'gen'jiu'di
攀花折柳,pan'hua'she'liu
攀花问柳,pan'hua'wen'liu
潘江陆海,pan'jiang'lu'hai
攀今吊古,pan'jin'diao'gu
蟠据固结,pan'ju'gu'jie
攀鳞附翼,pan'lin'fu'yi
攀龙附凤,pan'long'fu'feng
攀龙附骥,pan'long'fu'ji
蟠龙踞虎,pan'long'ju'hu
盘龙卧虎,pan'long'wo'hu
蟠龙卧虎,pan'long'wo'hu
盘龙之癖,pan'long'zhi'pi
盘马弯弓,pan'ma'wan'gong
槃木朽株,pan'mu'xiu'zhu
盘木朽株,pan'mu'xiu'zhu
蟠木朽株,pan'mu'xiu'zhu
攀亲托熟,pan'qin'tuo'shu
蟠青丛翠,pan'qing'cong'cui
判然不同,pan'ran'bu'tong
判若鸿沟,pan'ruo'hong'gou
判若两人,pan'ruo'liang'ren
判若水火,pan'ruo'shui'huo
判若天渊,pan'ruo'tian'yuan
判若云泥,pan'ruo'yun'ni
盘石桑苞,pan'shi'sang'bao
磐石之安,pan'shi'zhi'an
盘石之固,pan'shi'zhi'gu
攀藤附葛,pan'teng'fu'ge
攀藤揽葛,pan'teng'lan'ge
蟠天际地,pan'tian'ji'di
攀炎附热,pan'yan'fu're
盘游无度,pan'you'wu'du
攀辕卧辙,pan'yuan'wo'zhe
齐镳并驱,qi'biao'bing'qu
齐大非偶,qi'da'fei'ou
齐大非耦,qi'da'fei'ou
齐东野语,qi'dong'ye'yu
齐轨连辔,qi'gui'lian'pei
齐家治国,qi'jia'zhi'guo
齐眉举案,qi'mei'ju'an
齐名并价,qi'ming'bing'jia
齐趋并驾,qi'qu'bing'jia
齐驱并驾,qi'qu'bing'jia
齐驱并进,qi'qu'bing'jin
齐驱并骤,qi'qu'bing'zhou
齐人攫金,qi'ren'jue'jin
齐天洪福,qi'tian'hong'fu
齐头并进,qi'tou'bing'jin
齐纨鲁缟,qi'wan'lu'gao
齐心并力,qi'xin'bing'li
齐心合力,qi'xin'he'li
齐心戮力,qi'xin'lu'li
齐心同力,qi'xin'tong'li
齐心协力,qi'xin'xie'li
齐心一力,qi'xin'yi'li
齐烟九点,qi'yan'jiu'dian
齐足并驱,qi'zu'bing'qu
前跋后疐,qian'ba'hou'zhi
千变万化,qian'bian'wan'hua
千变万状,qian'bian'wan'zhuang
千兵万马,qian'bing'wan'ma
千补百衲,qian'bu'bai'na
千部一腔,qian'bu'yi'qiang
千仓万箱,qian'cang'wan'xiang
千差万别,qian'cha'wan'bie
千差万错,qian'cha'wan'cuo
前车可鉴,qian'che'ke'jian
前车之鉴,qian'che'zhi'jian
前尘影事,qian'chen'ying'shi
前程万里,qian'cheng'wan'li
千愁万恨,qian'chou'wan'hen
千愁万绪,qian'chou'wan'xu
千疮百孔,qian'chuang'bai'kong
千疮百痍,qian'chuang'bai'yi
千锤百炼,qian'chui'bai'lian
千村万落,qian'cun'wan'luo
千刀万剁,qian'dao'wan'duo
千刀万剐,qian'dao'wan'gua
千叮万嘱,qian'ding'wan'zhu
前度刘郎,qian'du'liu'lang
千端万绪,qian'duan'wan'xu
千恩万谢,qian'en'wan'xie
千方百计,qian'fang'bai'ji
千峰百嶂,qian'feng'bai'zhang
千峰万壑,qian'feng'wan'he
前赴后继,qian'fu'hou'ji
前覆后戒,qian'fu'hou'jie
前俯后仰,qian'fu'hou'yang
千夫所指,qian'fu'suo'zhi
前歌后舞,qian'ge'hou'wu
前功皆弃,qian'gong'jie'qi
前功尽废,qian'gong'jin'fei
前功尽灭,qian'gong'jin'mie
前功尽弃,qian'gong'jin'qi
千沟万壑,qian'gou'wan'he
千古不磨,qian'gu'bu'mo
千古不朽,qian'gu'bu'xiu
千古独步,qian'gu'du'bu
千古绝唱,qian'gu'jue'chang
千古绝调,qian'gu'jue'diao
千古奇闻,qian'gu'qi'wen
前古未闻,qian'gu'wei'wen
前古未有,qian'gu'wei'you
千古一律,qian'gu'yi'lv
千古一时,qian'gu'yi'shi
千古一辙,qian'gu'yi'zhe
前合后仰,qian'he'hou'yang
前呼后拥,qian'hu'hou'yong
千呼万唤,qian'hu'wan'huan
千回百折,qian'hui'bai'zhe
千回百转,qian'hui'bai'zhuan
千回万转,qian'hui'wan'zhuan
千汇万状,qian'hui'wan'zhuang
千家万户,qian'jia'wan'hu
千娇百媚,qian'jiao'bai'mei
前街后巷,qian'jie'hou'xiang
千金弊帚,qian'jin'bi'zhou
千金敝帚,qian'jin'bi'zhou
千金买赋,qian'jin'mai'fu
千金买古,qian'jin'mai'gu
千金买邻,qian'jin'mai'lin
千金买笑,qian'jin'mai'xiao
千金市骨,qian'jin'shi'gu
千金一瓠,qian'jin'yi'hu
千金一刻,qian'jin'yi'ke
千金一诺,qian'jin'yi'nuo
千金一笑,qian'jin'yi'xiao
千金一掷,qian'jin'yi'zhi
千金之家,qian'jin'zhi'jia
千金之子,qian'jin'zhi'zi
前倨后卑,qian'ju'hou'bei
前倨后恭,qian'ju'hou'gong
千军万马,qian'jun'wan'ma
千钧一发,qian'jun'yi'fa
千钧重负,qian'jun'zhong'fu
千了万当,qian'le'wan'dang
千里莼羹,qian'li'chun'geng
千里结言,qian'li'jie'yan
千里骏骨,qian'li'jun'gu
千里命驾,qian'li'ming'jia
千里神交,qian'li'shen'jiao
千里迢迢,qian'li'tiao'tiao
千里同风,qian'li'tong'feng
千里无烟,qian'li'wu'yan
千里一曲,qian'li'yi'qu
千里犹面,qian'li'you'mian
千里之任,qian'li'zhi'ren
千里之足,qian'li'zhi'zu
千了百当,qian'liao'bai'dang
千了百了,qian'liao'bai'liao
千伶百俐,qian'ling'bai'li
千龄万代,qian'ling'wan'dai
千虑一得,qian'lv'yi'de
千虑一失,qian'lv'yi'shi
千门万户,qian'men'wan'hu
千人所指,qian'ren'suo'zhi
千仞无枝,qian'ren'wu'zhi
千人一面,qian'ren'yi'mian
千日醉酒,qian'ri'zui'jiu
千山万壑,qian'shan'wan'he
千山万水,qian'shan'wan'shui
千生万劫,qian'sheng'wan'jie
千乘万骑,qian'sheng'wan'qi
千生万死,qian'sheng'wan'si
千水万山,qian'shui'wan'shan
千丝万缕,qian'si'wan'lv
千思万虑,qian'si'wan'lv
千思万想,qian'si'wan'xiang
千随百顺,qian'sui'bai'shun
千岁一时,qian'sui'yi'shi
千态万状,qian'tai'wan'zhuang
千条万端,qian'tiao'wan'duan
千条万缕,qian'tiao'wan'lv
千条万序,qian'tiao'wan'xu
千条万绪,qian'tiao'wan'xu
千头木奴,qian'tou'mu'nu
千头万绪,qian'tou'wan'xu
千推万阻,qian'tui'wan'zu
千万买邻,qian'wan'mai'lin
千辛万苦,qian'xin'wan'ku
率尔成章,shuai'er'cheng'zhang
率以为常,shuai'yi'wei'chang
无边风月,wu'bian'feng'yue
无边无际,wu'bian'wu'ji
无边无沿,wu'bian'wu'yan
无边无垠,wu'bian'wu'yin
无病呻吟,wu'bing'shen'yin
无病自炙,wu'bing'zi'zhi
扬长避短,yang'chang'bi'duan
扬长而去,yang'chang'er'qu
羊肠鸟道,yang'chang'niao'dao
羊肠小道,yang'chang'xiao'dao
扬幡招魂,yang'fan'zhao'hun
羊狠狼贪,yang'hen'lang'tan
殃及池鱼,yang'ji'chi'yu
扬己露才,yang'ji'lu'cai
扬厉铺张,yang'li'pu'zhang
扬铃打鼓,yang'ling'da'gu
羊落虎口,yang'luo'hu'kou
扬眉瞬目,yang'mei'shun'mu
扬眉吐气,yang'mei'tu'qi
扬名四海,yang'ming'si'hai
扬葩振藻,yang'pa'zhen'zao
扬清激浊,yang'qing'ji'zhuo
扬清厉俗,yang'qing'li'su
扬清抑浊,yang'qing'yi'zhuo
羊入虎群,yang'ru'hu'qun
羊踏菜园,yang'ta'cai'yuan
羊头狗肉,yang'tou'gou'rou
扬威曜武,yang'wei'yao'wu
扬威耀武,yang'wei'yao'wu
扬武耀威,yang'wu'yao'wei
泱泱大风,yang'yang'da'feng
泱泱大国,yang'yang'da'guo
扬扬得意,yang'yang'de'yi
扬扬止沸,yang'yang'zhi'fei
扬扬自得,yang'yang'zi'de
羊质虎皮,yang'zhi'hu'pi
愚不可及,yu'bu'ke'ji
愚夫蠢妇,yu'fu'chun'fu
愚夫愚妇,yu'fu'yu'fu
愚公移山,yu'gong'yi'shan
愚眉肉眼,yu'mei'rou'yan
愚昧无知,yu'mei'wu'zhi
